wavelength,Back_HapUnif,Belly_HapUnif,Breast_HapUnif,Crissum_HapUnif,Crown_HapUnif,DorTail_HapUnif,Patch10_HapUnif,Rump_HapUnif,Throat_HapUnif,WingTip_HapUnif
184.87,118.558533333,96.8918666666,78.5584666667,95.1352666666,119.279333333,106.846933333,135.405466667,110.585566667,88.3784666667,95.7658666667
185.25,117.037133334,99.6759666667,81.2036666667,99.2590666666,120.648066667,109.444566667,137.222266667,109.4444,95.0926666667,100.1852
185.63,124.193466667,109.623633333,92.9031333334,106.344066667,137.8494,125.537533333,158.172,121.2903,104.086,112.5806
186.01,111.770733333,103.9583,96.9792000001,99.8957333333,131.979066667,112.916633334,149.479,114.4271,96.9790666666,108.645733333
186.39,123.410933333,113.178333333,115.0388,108.992266667,158.604733333,127.751933333,173.953466667,129.379866667,104.651133333,117.5196
186.77,112.698333333,104.6823,120.634933333,113.333266667,147.142933333,120.476333333,162.8572,124.603133334,102.381,104.9206
187.15,114.962933333,103.259266667,126.370466667,112.1482,147.1112,114.296233333,150.962933333,118.962866667,100.740666667,95.2591999999
187.53,134.4716,123.5771,152.5202,133.9838,173.170666667,118.617933333,180.487733333,145.853766667,116.2602,110.081266666
187.91,152.916666667,142.291666667,180.0,175.625,211.041666667,147.604166667,215.625,176.354166667,140.625,127.291666667
188.29,140.925933333,135.2777,186.851933333,165.5554,199.4444,148.240633333,196.6666,165.6481,139.0742,128.333333333
188.67,348.666666667,332.666666667,522.666666667,419.333333333,555.333333333,365.333333333,514.666666667,422.666666667,330.0,262.666666667
189.05,238.333333333,173.125,353.75,255.416666667,364.166666667,245.416666667,356.25,275.625,226.25,176.25
189.43,127.967533333,97.3170333332,163.902466667,135.284666667,171.056933333,127.479566667,168.943066667,140.813066667,120.487733333,95.1219333333
189.81,115.666733333,96.0556666666,149.555533333,126.111133333,146.888866667,118.611166667,146.2222,130.611266667,117.6666,93.1110666667
190.19,131.333333333,108.733333333,176.666666667,142.0,170.8,141.333333333,170.533333333,151.666666667,137.333333333,103.466666667
190.57,120.444466667,103.2777,164.444466667,130.999933333,154.777933333,131.222166667,156.4444,140.833366667,129.3334,98.6666666667
