wavelength,Back_PorCaef,Belly_PorCaef,Breast_PorCaef,Crissum_PorCaef,Crown_PorCaef,DorTail_PorCaef,Rump_PorCaef,Throat_PorCaef,WingTip_PorCaef
223.11,-16.5590666667,-33.871,-36.3440666666,-18.4946,-25.6990666667,-41.9355333333,-26.6130333333,-40.4300666667,-39.7848666667
223.49,-56.6668,-78.6957333333,-80.5796666666,-57.8261333333,-77.3913333333,-92.1739333333,-70.7247333333,-84.0580000001,-85.3623333332
223.87,-61.3334,-74.2222666667,-82.2221999999,-64.7407333333,-82.3703999999,-92.0000000001,-74.2963,-81.1852,-70.6666666668
224.24,-124.166666667,-139.166666667,-158.333333333,-127.5,-154.375,-156.25,-138.4375,-150.0,-127.291666667
224.62,-125.691266667,-138.6992,-144.390266666,-126.3414,-157.723666667,-146.504066667,-139.430866667,-147.642333333,-125.365733333
225.00,-142.074,-156.888866667,-160.740866667,-139.4074,-174.074066667,-159.259333333,-155.5556,-159.259266667,-140.740733333
225.38,-190.175466667,-213.684133333,-213.6842,-194.561333333,-231.4036,-206.1402,-208.771933333,-211.052666667,-191.579066667
225.75,-166.5,-190.333333333,-196.833333333,-181.833333333,-212.833333333,-182.833333333,-190.416666667,-185.666666667,-169.333333333
226.13,-264.086,-290.537533333,-297.849333333,-287.741866667,-323.871,-278.279466667,-287.4193,-287.096866667,-278.709533333
226.51,-160.522866667,-175.9478,-175.686266667,-174.7712,-192.810333333,-166.535933333,-165.424833333,-167.320266667,-168.496866667
226.88,-118.6274,-131.960866667,-130.2942,-128.9216,-146.372533333,-124.607866667,-123.382366667,-123.2354,-123.921533333
227.26,-70.1032,-78.7629333333,-78.8316666667,-76.7011333333,-91.7525333332,-73.7456666667,-75.1547333333,-72.6462,-74.6390666667
227.64,-42.0803333333,-47.4704,-47.234,-46.5720666667,-55.9811333333,-42.7895333333,-44.7517666667,-42.6478,-44.1606666667
228.01,-34.5877333333,-39.534,-39.7132666667,-39.0679333333,-44.9463333333,-36.0215333333,-37.2402333333,-34.8387333333,-38.2078666667
228.39,-26.5199333333,-31.2186666667,-31.1307333333,-31.6593333333,-34.6548,-27.4303333333,-29.5301,-27.4302666667,-29.5448666667
228.76,-25.9808666667,-30.6446,-31.8242666667,-31.4950666667,-32.2085333333,-25.7339333334,-29.1632,-25.7612666667,-27.6817333333
229.14,-19.4949333333,-23.4849333333,-25.1262666667,-24.4950666667,-25.6818666667,-18.5857333333,-22.5,-20.2778,-20.0757333333
229.52,-11.1338666667,-15.1474,-16.1224666667,-15.6689333333,-17.6642666667,-11.2925333333,-14.7958333333,-13.0158666667,-12.4943333333
229.89,-11.1966,-14.5938666666,-14.9144666667,-15.1922666667,-17.5641333333,-11.5811333333,-15.0213333333,-12.4785333333,-12.2648
230.27,-3.68673333333,-7.18240000001,-7.60273333335,-7.35433333335,-9.8186,-5.11926666667,-8.19473333332,-5.23393333333,-4.37446666666
230.65,-3.2016,-7.23173333334,-7.51413333332,-6.34646666667,-9.4916,-5.5556,-7.90973333333,-4.93420000001,-3.8606
231.02,-4.7728,-8.14393333334,-9.5644,-7.59480000001,-10.2461333333,-7.14013333333,-9.10983333333,-5.77660000001,-5.60600000001
231.40,-5.79380000001,-8.6908,-10.7334,-8.57940000001,-10.4364666667,-8.24519999999,-9.85150000001,-7.33513333333,-7.07526666665
231.78,-8.38706666667,-11.9648,-13.5874,-11.6128666667,-12.7468666667,-11.3978,-12.4341,-11.4369333333,-9.77526666666
232.15,-6.68773333333,-10.1376666667,-11.4918666667,-10.2222,-11.9575333333,-9.37566666666,-11.0687333333,-11.6824666667,-8.35973333335
232.53,-6.57786666667,-9.91119999999,-10.7778,-9.57773333333,-11.6001333333,-9.73326666666,-10.6556333333,-12.0887333333,-7.55553333333
232.90,-5.77493333334,-8.56193333334,-9.40919999999,-8.13826666668,-10.5908666667,-10.0334,-9.25313333334,-12.3078666667,-6.75593333333
233.28,-11.2244,-13.2879333333,-14.3084,-13.152,-14.6258666667,-16.1224,-14.1157,-16.8934,-12.1995333333
233.66,-15.1052666667,-15.2602,-17.6302,-15.1051333333,-16.9434666667,-19.2248666667,-17.7078,-18.981,-14.4629333333
234.03,-12.2012666667,-12.3269333333,-14.13,-10.6288666667,-12.8930666666,-15.1152666667,-13.7734666667,-15.4716666667,-11.0482666667
234.41,-13.8666,-12.8408666666,-14.318,-11.5282,-14.1332,-15.0975333333,-14.1025333333,-14.4204666667,-11.7334
234.78,-10.9523333333,-9.56193333333,-10.4571333333,-9.00960000001,-10.8952666667,-11.0286,-11.2380333333,-11.2,-7.99993333333
235.16,-10.2563333333,-8.62640000001,-8.36993333335,-8.26006666667,-8.57133333333,-8.8646,-9.76193333334,-10.1283333333,-5.67766666667
235.54,-11.3586666667,-10.1268,-9.23899999999,-9.92753333335,-9.32973333332,-9.36593333335,-10.6521333333,-10.7788666667,-5.50726666667
235.91,-8.40873333333,-7.23600000001,-6.61633333333,-7.06859999999,-6.985,-6.047,-7.4036,-7.92300000001,-3.43386666667
236.29,-6.84039999999,-5.35526666666,-5.9558,-4.94466666667,-4.83413333333,-4.5814,-5.78193333333,-6.16113333333,-2.496
236.66,-5.80173333333,-3.7136,-5.6526,-4.2358,-4.0566,-3.01273333333,-4.77256666667,-4.44446666667,-1.46166666667
237.04,-4.72333333333,-2.12773333333,-4.1844,-2.86513333333,-2.72346666667,-1.305,-3.24813333333,-2.62406666667,-0.198800000001
237.41,-1.48733333333,0.730533333333,-1.31766666667,-0.0391333333326,0.313066666667,2.06133333333,-0.287066666667,0.1044,2.75273333333
237.79,-0.847466666667,1.54333333333,-0.506133333333,0.303600000001,1.1512,3.2384,0.676699999999,1.088,3.95953333333
238.17,0.145333333333,2.21413333333,0.0121999999986,1.1496,1.331,3.9444,1.3733,2.02053333333,5.2148
238.54,-0.136600000001,1.77466666667,-0.500533333333,0.841866666667,1.2854,3.21966666667,0.619999999999,1.3196,4.94866666666
238.92,-2.4698,-0.360733333335,-2.99446666667,-1.2786,-1.04926666667,0.841533333334,-1.89066666667,-1.03833333333,2.99466666667
239.29,-2.56173333333,-0.689266666667,-3.68333333333,-2.2222,-2.51033333333,-0.0720666666674,-2.34063333333,-1.85186666667,2.03706666667
239.67,-1.25653333333,0.853666666666,-1.88973333333,-0.613933333333,-1.33326666667,1.33326666666,-0.652399999999,-0.469999999999,3.16539999999
240.04,-0.933666666667,1.1256,-0.986133333334,-0.261799999999,-0.663133333333,1.9634,-0.440699999999,0.0262666666672,3.50793333333
240.42,0.441333333332,2.18426666667,0.707800000001,1.0046,0.585800000001,3.5464,1.06923333333,1.14906666667,4.77173333333
240.79,1.28126666667,2.58273333333,1.33466666667,1.76846666667,1.15466666667,3.89733333333,1.69826666667,1.3414,5.05839999999
241.17,1.45006666667,2.16013333333,1.065,1.82306666667,0.673866666666,3.74846666667,1.35686666667,1.053,5.21646666667
241.54,1.44066666667,2.1748,1.07373333333,1.88426666667,0.684733333332,3.96606666667,1.4024,1.06266666667,5.39019999999
241.92,1.79166666667,2.252,1.28673333333,2.29153333333,0.994933333333,4.33566666667,1.898,1.21253333333,5.75593333333
242.29,1.70773333333,2.4566,1.42013333333,2.26033333333,1.4384,4.61653333333,2.19863333333,1.29673333333,5.65746666666
242.67,1.76873333333,2.45773333333,1.5184,2.31306666667,1.38246666667,4.70933333333,2.28223333333,1.0884,5.64413333333
243.05,2.86926666667,3.505,2.49193333333,3.382,2.30973333333,5.8402,3.4201,2.12746666667,6.52260000001
243.42,3.16866666667,3.76186666667,2.6452,3.7948,2.76893333333,6.3824,3.79266666667,2.53826666667,6.99633333333
243.80,2.61233333333,3.03366666667,1.80633333333,3.07,2.0494,5.6136,3.13283333334,1.8874,6.39133333333
244.17,2.8406,3.21313333333,1.73873333333,3.32133333333,2.1032,5.693,3.2032,2.2476,6.79086666667
244.55,2.2778,2.61973333333,1.0376,2.82253333333,1.5662,5.1162,2.67343333333,1.8088,6.50759999999
244.92,2.48093333333,3.0084,1.4332,3.30266666667,1.9916,5.6994,3.1269,2.30893333333,7.01073333334
245.30,2.53493333333,3.183,1.7172,3.4058,2.3828,5.76726666667,3.43786666667,2.64106666667,7.05273333334
245.67,2.56766666667,3.27133333333,1.92586666667,3.52886666667,2.3818,5.7608,3.59073333333,2.81853333333,7.14899999999
246.05,2.7244,3.4402,2.24006666667,3.68993333334,2.49253333333,5.77846666667,3.7612,2.95606666667,7.10346666667
