wavelength,Back_CamPsim,Belly_CamPsim,Breast_CamPsim,Crissum_CamPsim,Crown_CamPsim,DorTail_CamPsim,Rump_CamPsim,Throat_CamPsim,WingTip_CamPsim
781.26,19.6876,47.6889,14.3686666667,52.6234166667,11.8117333333,21.5581333333,24.9379333333,15.3416666667,18.8563
781.57,19.7031111111,47.7813333333,13.9413333333,53.1233333333,11.2853333333,21.9893333334,24.6453333333,15.4186666667,18.448
781.88,20.0344333333,48.3183333333,14.3773666667,53.4410416667,11.4512,22.2619333333,24.8062,16.0728666666,18.3593
782.19,19.3798666667,47.0167,13.4304,51.5582916667,10.77,21.3784666667,23.7857333333,15.3528,17.4825666667
782.50,19.2682555556,47.3204,13.0718,51.5012916667,10.5991333333,21.3182,23.8506,14.8474,17.3937666667
782.81,18.8480555556,47.2956,12.429,51.2902916667,9.8498,20.6177333333,23.3779333333,14.3572666667,16.8783333333
783.12,18.2117888889,46.8089666667,11.5129,50.8652916667,9.20233333333,20.1937333333,22.9514666667,13.4530666667,16.6239333333
783.43,18.7711,47.069,11.6868333333,51.4045,9.85640000001,20.7758666667,23.431,13.793,17.3649333333
783.74,19.8789333333,47.5122,12.2726666667,52.3504166667,10.8166,21.4648,23.9349333333,14.4958,18.3289666667
784.05,19.0253666667,46.3509333333,11.3421,51.1915,10.1636666667,20.6489333333,23.1286,13.7777333333,17.4560333333
784.36,19.6399,46.1281,11.9842666667,51.0352916667,10.6585333333,20.8956,23.5995333333,14.1820666667,17.8781333333
784.67,20.1224666667,46.1741666667,12.0716,50.3862083333,10.4604,20.7694,23.4614666667,14.1666,17.7620666667
784.98,19.5020111111,45.9578333333,11.5522333333,50.0037083333,9.8886,19.9942,23.4211333333,13.4740666667,17.4897
785.29,19.9236333333,46.3021666667,11.599,50.2828333333,10.0412,20.3939333333,23.886,13.8624666667,17.7718666667
785.60,20.1654444445,47.2158666667,11.8569666667,50.9227083333,10.4104666667,20.7264,24.4227333333,14.225,18.4794
785.91,20.3453444444,47.456,12.1154,50.7225,10.7277333333,20.8743333333,24.3368666667,14.4190666667,18.9025666667
786.22,20.8144666666,47.5398,12.8685,49.57825,11.7064,21.4344,24.8469333333,15.1247333333,19.3819333333
786.53,21.4405111111,47.7129333333,13.4388333333,49.823125,11.929,21.3598666666,25.2845333333,15.9591333334,19.8862
786.84,21.1937444445,47.6467666667,13.3764666667,49.0742916667,11.9924666667,21.3461333333,24.992,16.042,19.8438333333
787.14,20.1388222222,47.3317333333,12.3825333333,48.380625,11.0950666667,20.4487333333,24.4178,15.0694666667,19.2575333333
787.45,20.7135555555,48.6315,12.9020666667,49.1745833333,11.7304,21.1076,25.0746,15.82,19.9386666667
787.76,20.3171,48.6772,12.2160666667,49.268625,11.6257333333,21.1278666667,24.7114666667,15.8314666667,19.8947333333
788.07,20.4955555556,48.9665,12.8362333333,49.6728333333,12.0774666667,21.5434666667,25.2016,16.3894,20.3821
788.38,21.2853888889,48.9755666667,13.6978,49.3309583333,13.0072,22.2172,25.5912666667,17.1712666667,21.2692333333
788.69,21.7552333333,49.1137666667,14.4843333333,49.6972916667,13.628,22.7265333333,25.7678666667,17.6630666667,21.8428333333
789.00,22.2280111111,49.3420666667,15.1171666667,49.9470833334,13.7568,23.2635333333,26.0138666667,18.3058666667,21.9456
789.31,22.1924111111,49.0628666667,15.0411,49.65825,13.6863333333,23.4104,25.9209333333,18.429,21.8444666667
789.62,22.4150222222,49.0455333333,14.8359333333,50.0757916666,13.6162,23.7626,25.6464666667,18.4142666667,21.9798666667
789.92,22.7941555556,49.8272333333,15.1702,50.3966666667,14.2362666667,24.5357333333,26.0679333334,18.9008,22.5540666667
790.23,22.2682222222,49.7364333333,14.8268666667,50.0132916667,13.4025333333,23.8764,25.5484666667,18.0991333333,21.9941666667
790.54,22.7925777778,50.1641666667,15.4506666667,49.9765416667,13.8768,24.7673333333,25.9186666667,19.1336,22.4212333333
790.85,23.1321777778,50.1958666667,15.7695,49.9456666667,14.1054,25.0842666667,26.2860666667,19.5160666667,22.9255333333
791.16,23.1798222222,50.4829333333,15.8924333333,49.9652916667,14.0772666667,24.9902666667,26.6944,19.9889333333,22.8921333333
791.47,23.2766,50.5384666667,15.9947666667,49.7697916667,14.3084,24.9942,26.9332,20.3118,23.2738666667
791.78,22.3587555556,49.7736,15.2852333334,48.921625,13.6828666667,24.11,26.1451333333,20.1778666667,22.1437666667
792.08,21.4519111111,48.9219,14.1810666667,47.188,12.7506666667,23.0535333334,24.9592,18.9976,21.2381
792.39,21.5568666667,48.9663,13.7749666667,46.9338333333,12.8858,22.9564,24.8880666667,18.8928,21.3988
792.70,21.0319333333,48.2518333333,13.5767333333,46.5976666667,12.5793333333,22.6714666667,24.3812,18.492,21.2259333333
793.01,20.4338444445,47.9560666667,13.3814666667,46.258,12.2152,21.9658,24.0336666667,18.2806,20.9318666667
793.32,19.8083666667,46.8504,13.2119666667,45.7443333333,12.0887333333,21.2029333333,23.532,17.9970666667,20.4593
793.62,21.0238111111,47.184,14.1848,46.8904583333,13.3680666667,22.54,24.7312,19.6278666667,21.7409
793.93,20.7022333333,47.3397666667,13.8869666667,47.0680833333,13.176,22.0515333333,24.4346666667,19.5629333333,21.5268
794.24,20.0106777778,46.7942,13.2520666667,46.06525,12.5738666667,21.4319333333,23.6986,19.0318,20.7073666667
794.55,20.1264555555,46.7788,13.3303666667,46.306875,12.7878666667,21.7743333333,23.5659333333,18.7825333333,21.2088666667
794.86,19.5799888889,46.5136666667,12.6309,45.978375,12.2231333333,21.3140666667,22.6508,18.1420666667,20.6683666667
795.16,19.7011,46.7683,12.6032,46.67175,12.1221333333,21.545,23.0052,17.8042,21.0270333333
795.47,18.9904777778,45.8689,11.9535333333,46.5084583333,11.5702,21.1362666667,22.6532,17.7385333333,20.6799666667
795.78,18.9410444444,45.7103333333,12.4237666667,46.6062916667,11.7944666667,21.2861333333,22.7646,17.9556666667,21.1733333333
796.09,20.2670777778,47.5277666667,13.7421666667,47.7685416667,13.426,22.6656,24.3662666667,19.6184,22.5919666667
796.40,20.4292777778,48.0565666667,13.7417666667,48.0400416667,13.0703333333,22.9166,24.3693333333,19.4298666667,22.393
796.70,21.3816444445,49.191,14.6715333334,48.3814583333,14.0552666667,23.9413333333,25.0922666667,20.0216666667,23.2003666667
797.01,20.7375333333,48.9820333333,14.1586,47.940375,13.5232666667,23.3712666667,24.202,19.1641333333,22.9370333333
797.32,20.3826444444,48.3036666667,13.9114,47.2277083333,13.2469333333,22.9553333333,23.9328666666,18.617,22.7119
797.63,19.8642888889,47.7375333333,13.1557,47.0969583334,12.6008666667,22.4151333333,23.1364666667,17.8852,21.6364666667
797.93,19.5168,47.1746333333,12.6414666667,46.4477916667,12.2624666667,22.0154,22.7568,17.5729333333,21.1752666667
798.24,19.9026666667,47.4688333333,12.6088666667,46.5167083334,12.4340666667,22.5866666667,22.8644,17.8961333333,21.2182666667
798.55,20.0120666667,47.6279666667,12.7298,46.3605,12.523,22.6430666667,22.4140666667,17.8486666667,21.2433666667
798.85,20.0385888889,47.7015,13.0627666667,46.0624166667,12.335,22.7975333333,22.29,17.4789333333,21.5284666667
799.16,19.4771222222,47.5433,12.2888,45.464375,11.6607333333,22.4940666667,21.6667333333,16.4466666667,20.7379
