wavelength,Back_PhrPunf,Belly_PhrPunf,Breast_PhrPunf,Crissum_PhrPunf,Crown_PhrPunf,DorTail_PhrPunf,Rump_PhrPunf,Throat_PhrPunf,WingTip_PhrPunf
825.39,19.0485,38.1215,32.7925,34.713,14.1758333333,16.7608333333,21.1768333334,21.0331666667,21.3805
825.70,18.5666666667,37.6775,32.2303333333,34.1618333334,13.8243333333,16.2318333334,20.6171666667,20.5393333333,21.0418333333
826.00,18.7168333333,37.7675,32.2316666667,34.1968333333,13.9541666666,16.4758333333,20.8783333333,20.7458333333,21.2013333334
826.30,18.4723333334,37.7836666666,32.2048333333,34.3115,13.9418333333,16.6238333333,20.8105,20.7621666666,21.2996666667
826.61,18.4045,37.7158333334,32.155,34.273,13.821,16.3676666666,20.6528333334,20.5876666667,21.1631666666
826.91,18.1295,37.5676666667,32.0085,34.2716666666,13.7076666667,16.0815,20.3213333333,20.3321666667,20.9671666667
827.21,18.1268333333,37.1335,31.6791666667,34.0521666666,13.7071666667,15.9641666667,19.991,19.9468333333,20.7928333333
827.51,18.0688333333,37.0138333334,31.592,33.9495,13.6758333333,16.0335,19.7421666667,19.9511666666,20.884
827.82,17.253,36.2,30.9525,33.44,12.7576666666,15.0676666667,19.012,19.1246666667,20.1018333334
828.12,17.2368333333,36.1596666666,30.8171666666,33.4636666667,12.7433333333,15.08,19.0838333333,19.1273333334,19.9888333334
828.42,16.5796666667,35.8386666666,30.6001666667,33.2395,12.2923333333,14.7443333333,18.8168333333,18.7635,19.4065
828.72,16.406,35.4763333333,30.1403333334,33.1233333333,11.9316666666,14.5308333333,18.2885,18.3391666667,19.0848333333
829.02,16.6506666667,35.5406666666,30.3661666667,33.3173333333,11.8363333333,14.4831666666,18.2423333333,18.4178333333,19.01
829.33,15.9626666667,34.8755,30.2138333333,32.754,11.016,13.5383333333,17.3796666666,17.7718333333,17.9946666667
829.63,16.2116666667,34.451,30.0988333334,32.295,10.8208333333,13.116,17.0425,17.339,17.4183333333
829.93,16.4113333333,34.9201666667,30.315,32.5786666667,10.819,13.016,17.033,17.3101666667,16.9438333333
830.23,16.534,34.9623333333,30.5211666667,32.1025,10.584,13.0098333334,17.1735,17.765,16.4495
830.54,16.106,34.6895,30.1903333333,31.5726666667,10.485,12.8845,17.058,17.684,16.0016666667
830.84,16.1826666667,35.027,30.2823333333,31.5456666666,10.4165,13.0915,17.5938333333,17.863,15.6048333333
831.14,16.4396666666,35.6818333333,30.8911666667,31.5985,11.3823333333,13.9046666666,17.9345,18.3348333333,16.3733333334
831.44,16.7966666667,36.3778333333,31.72,32.0323333333,12.2041666666,14.65,18.4231666667,18.8653333333,17.3953333333
831.74,17.9166666667,37.3038333333,32.7575,33.1126666667,13.6518333333,15.3675,19.2403333334,19.8161666667,19.1423333333
832.04,18.0498333334,37.6093333334,33.0566666667,33.806,14.0386666667,15.7791666666,19.7785,20.286,19.7326666667
832.35,17.977,37.7625,32.9435,34.243,13.6776666666,15.7461666667,19.5581666667,19.9695,19.9481666666
832.65,18.1458333333,38.156,33.1508333333,34.5693333334,14.0423333333,16.5248333333,19.848,20.1721666666,20.6585
832.95,17.668,38.5038333334,33.3045,34.9606666666,13.7783333333,16.8495,20.0848333333,20.1041666667,20.7778333333
833.25,17.388,38.0861666667,33.1798333333,34.5508333333,13.8438333333,16.4861666666,20.0398333333,19.6428333333,20.6258333334
833.55,17.1363333334,38.0368333334,33.3246666667,34.7765,14.015,16.2926666666,19.8836666667,18.988,20.8658333334
