wavelength,Back_ThrEpim,Belly_ThrEpim,Breast_ThrEpim,Crissum_ThrEpim,Crown_ThrEpim,DorTail_ThrEpim,Patch10_ThrEpim,Patch11_ThrEpim,Rump_ThrEpim,Throat_ThrEpim,WingTip_ThrEpim
407.19,21.6946,40.801,37.5136666667,34.4737333333,33.2892666667,12.0288,19.663,69.837,38.4589666667,37.4538,8.23819999999
407.55,21.6132,40.7100666667,37.436,34.381,33.2099333333,12.0258666667,19.6138,69.7873333333,38.3964333333,37.3717333333,8.24853333334
407.90,21.6026,40.6358,37.3803333333,34.3464666667,33.1666666667,12.0278666667,19.5952,69.7703333333,38.3397666667,37.3148666667,8.25873333334
408.26,21.6072666667,40.6661333333,37.4098,34.3456,33.1725333333,12.0808666667,19.6221333333,69.9319333333,38.3631333334,37.3253333333,8.27826666666
408.62,21.522,40.6542666667,37.3461333333,34.3094666667,33.0834,12.0624,19.5898666667,69.9752,38.3462333333,37.3040666667,8.25706666667
408.98,21.5017333333,40.7166,37.365,34.3624666667,33.0638666667,12.0875333333,19.6003333333,70.1280666667,38.391,37.3374,8.24633333334
409.34,21.3792,40.6678666667,37.2948,34.2954666667,32.9865333333,12.033,19.5036,70.2063333333,38.3235333333,37.2744666667,8.16406666667
409.70,21.2997333333,40.644,37.2541333333,34.2673333333,32.9386666667,12.0017333333,19.4468666666,70.3093333333,38.2811666667,37.2357333333,8.1298
410.06,21.2873333333,40.6202,37.2382,34.266,32.9013333333,12.0171333333,19.466,70.3950666667,38.2808666667,37.2177333333,8.13873333333
410.42,21.2176,40.5757333333,37.2189333333,34.2014666667,32.8101333333,11.9530666667,19.4062666667,70.4704,38.2233,37.1759333333,8.1092
410.77,21.2134,40.6501333334,37.258,34.264,32.7924666667,11.9656,19.4391333333,70.6674666667,38.2733,37.2161333333,8.14426666666
411.13,21.1426666667,40.6490666667,37.2506,34.2727333333,32.7574,11.9304,19.3864666667,70.8105333333,38.2618333333,37.2037333333,8.08606666667
411.49,21.1443333333,40.6439333333,37.2513333333,34.2664,32.6880666667,11.9312,19.3815333334,70.9747333333,38.2573333333,37.1794666667,8.06753333333
411.85,21.0199333333,40.6357333333,37.1998,34.205,32.5646,11.8467333333,19.3122666666,71.0854,38.2448333333,37.1276,7.97913333333
412.21,21.0064666667,40.6554666667,37.219,34.2328666667,32.5365333334,11.8175333333,19.2855333333,71.258,38.2898,37.1294,7.96273333333
412.57,21.0037333333,40.6976666666,37.2464,34.2656666667,32.514,11.8191333333,19.3027333333,71.4385333333,38.3010666667,37.1149333333,7.96373333333
412.92,20.9646,40.7289333333,37.2646,34.2393333333,32.4976,11.7944,19.2894,71.5802,38.3036,37.1046,7.96473333333
413.28,20.9946,40.7760666667,37.289,34.2690666667,32.4626,11.7938,19.3267333333,71.8507333333,38.3856666667,37.1351333333,7.9654
413.64,20.9304666667,40.7629333333,37.2734,34.2248,32.3552,11.7388,19.2916,71.9846666667,38.3769,37.0820666667,7.8738
414.00,20.8850666667,40.7794666667,37.2764,34.1765333333,32.3180666667,11.7231333333,19.2974666667,72.0745333333,38.3627666667,37.0406,7.88246666667
414.36,20.8622,40.7904,37.284,34.1906,32.3212666667,11.7618,19.3198,72.2401333333,38.4082666667,36.9856,7.9104
