wavelength,Back_TanIctf,Belly_TanIctf,Breast_TanIctf,Crissum_TanIctf,Crown_TanIctf,DorTail_TanIctf,Patch10_TanIctf,Patch11_TanIctf,Rump_TanIctf,Throat_TanIctf,WingTip_TanIctf
366.38,5.52044444444,15.3614444444,10.4694444444,13.244,4.63072222222,6.82911111111,6.96144444444,5.83933333333,5.98633333333,11.4377777778,7.83366666667
366.75,5.54422222222,15.3283333333,10.4681111111,13.2483333333,4.62138888889,6.86344444445,6.92588888889,5.83866666667,5.94733333333,11.4505555555,7.84566666667
367.11,5.56233333333,15.2963333333,10.4764444445,13.2622222222,4.58377777778,6.86333333333,6.94577777778,5.82955555556,6.02911111111,11.5447777778,7.83033333333
367.47,5.56355555555,15.3024444444,10.4783333334,13.2773333333,4.5,6.87188888889,6.97177777778,5.84333333333,6.08055555556,11.5867777778,7.71633333333
367.84,5.59377777778,15.3342222222,10.5176666667,13.275,4.47894444444,6.91222222222,7.02055555555,5.94477777778,6.14711111111,11.6416666666,7.76022222222
368.20,5.62633333333,15.3664444444,10.623,13.3092222222,4.53705555555,6.94188888889,7.09522222222,5.98822222222,6.233,11.7797777778,7.81222222222
368.56,5.70422222222,15.3914444445,10.7414444444,13.3682222222,4.61394444444,7.02144444444,7.18166666667,6.09266666667,6.31966666666,11.9163333333,7.88344444444
368.93,5.71411111111,15.3704444444,10.7862222222,13.4872222222,4.64833333333,7.06133333333,7.21033333333,6.09822222222,6.31977777778,12.0231111111,7.87922222222
369.29,5.57577777778,15.2733333333,10.7002222222,13.3901111111,4.59655555555,6.93533333333,7.11922222222,6.02788888889,6.23866666667,12.013,7.70844444444
369.65,5.47033333333,15.0898888889,10.637,13.2868888889,4.47883333333,6.90433333333,7.01911111111,5.90588888889,6.17211111111,11.9418888889,7.63022222222
370.01,5.49355555556,15.0058888889,10.6311111111,13.3534444445,4.52816666667,6.94044444444,6.97611111111,5.92222222222,6.18333333333,11.9196666667,7.67122222222
370.38,5.51111111111,15.0425555555,10.657,13.3716666667,4.54994444444,7.01911111111,6.97222222222,6.00044444445,6.24544444444,12.0281111111,7.69466666667
370.74,5.50911111111,15.0248888889,10.7078888889,13.4374444444,4.56416666667,7.02866666667,7.00011111111,6.00311111111,6.27644444444,12.103,7.62533333333
371.10,5.49188888889,15.1014444444,10.7285555555,13.4224444444,4.57233333333,7.032,7.01388888889,5.972,6.18711111111,12.1026666666,7.64866666666
371.46,5.54288888889,15.2284444445,10.8574444444,13.4982222222,4.68027777778,7.11144444444,7.072,5.99733333333,6.21133333333,12.1843333334,7.73633333333
371.83,5.66433333333,15.3157777778,10.9916666667,13.654,4.82766666667,7.19511111111,7.19111111111,6.09788888889,6.25422222222,12.3176666667,7.91455555556
372.19,5.68111111111,15.3256666667,10.9785555556,13.6516666667,4.84622222222,7.24,7.19355555556,6.10555555556,6.21822222222,12.2873333333,7.94533333334
372.55,5.65822222222,15.2658888889,10.8912222222,13.6143333333,4.78511111111,7.14244444444,7.12488888889,6.06311111111,6.16366666666,12.233,7.89722222222
372.92,5.683,15.2298888889,10.9068888889,13.5501111111,4.80616666667,7.11677777778,7.10544444444,6.09144444444,6.22677777778,12.2453333333,7.905
373.28,5.68888888889,15.2163333333,10.9784444444,13.6025555556,4.78022222222,7.13355555555,7.13988888889,6.08211111111,6.31488888889,12.2841111111,7.98744444445
373.64,5.92333333333,15.4176666667,11.1672222222,13.8336666667,4.97705555556,7.38533333333,7.394,6.32444444444,6.54188888889,12.5193333334,8.176
374.00,5.97511111111,15.4414444444,11.2742222222,13.8391111111,4.97844444444,7.41444444445,7.45066666667,6.40733333333,6.559,12.5854444444,8.21877777778
374.37,5.954,15.4013333334,11.3337777778,13.7944444445,4.97233333333,7.42888888889,7.44877777778,6.38422222222,6.55844444444,12.6245555556,8.18866666667
374.73,6.11422222222,15.4824444445,11.4618888889,13.8548888889,5.15377777778,7.54677777778,7.57022222222,6.52144444444,6.70411111111,12.7695555555,8.40166666667
375.09,6.07966666667,15.3193333334,11.3867777778,13.7538888889,5.08583333333,7.47111111111,7.46255555555,6.52688888889,6.64544444444,12.7346666667,8.33655555556
375.45,6.01966666667,15.1342222222,11.2808888889,13.6383333333,4.97627777778,7.40266666667,7.38366666667,6.46377777778,6.55622222222,12.7041111111,8.30022222221
375.81,5.84488888889,14.9263333333,11.0842222222,13.4484444444,4.82305555555,7.34266666666,7.19111111111,6.31188888889,6.46566666667,12.5657777778,8.07277777778
376.18,5.86344444444,14.857,11.1055555556,13.4776666667,4.84866666667,7.35155555556,7.19877777778,6.32466666667,6.497,12.5647777778,8.03266666667
