wavelength,Back_MelNigm,Belly_MelNigm,Breast_MelNigm,Crissum_MelNigm,Crown_MelNigm,DorTail_MelNigm,Patch10_MelNigm,Rump_MelNigm,Throat_MelNigm,WingTip_MelNigm
385.58,4.34986666667,4.45553333333,3.67706666667,4.444,4.0756,5.11973333333,35.6893333333,5.12013333333,3.08506666667,7.30606666667
385.94,4.37026666667,4.4732,3.67673333333,4.45753333333,4.08766666667,5.13673333333,35.7616,5.1296,3.1046,7.344
386.30,4.38466666667,4.47293333333,3.6802,4.46466666667,4.08413333333,5.14686666667,35.7906,5.12593333334,3.10053333333,7.3488
386.66,4.42166666666,4.49673333333,3.70806666667,4.5208,4.11573333333,5.17016666667,35.8617333333,5.1536,3.12313333333,7.3944
387.03,4.43733333333,4.5374,3.7334,4.5578,4.15653333333,5.2086,35.9512,5.16,3.1748,7.41326666667
387.39,4.4412,4.52153333333,3.74913333333,4.552,4.15426666667,5.2207,35.9992,5.1616,3.2072,7.41566666667
387.75,4.5434,4.61986666667,3.84793333333,4.64133333333,4.24733333333,5.31086666667,36.1184,5.254,3.3148,7.5102
388.11,4.55653333333,4.64546666667,3.8734,4.64373333334,4.26366666667,5.30356666667,36.1964666666,5.27686666667,3.32353333333,7.5118
388.47,4.58866666667,4.6728,3.9012,4.66473333333,4.26453333334,5.3035,36.2892,5.3126,3.33826666667,7.53233333333
388.83,4.57433333333,4.66226666667,3.87253333333,4.63733333333,4.23106666667,5.27836666667,36.3602,5.28653333333,3.3186,7.50713333333
389.19,4.5398,4.65306666667,3.84433333333,4.5978,4.18646666667,5.2204,36.4686666667,5.25493333333,3.27493333333,7.4762
389.55,4.48526666667,4.63373333333,3.81866666667,4.5662,4.158,5.1908,36.5196,5.22133333333,3.2486,7.43833333333
389.91,4.47386666667,4.6288,3.81926666667,4.5744,4.1476,5.17696666667,36.5742666667,5.2188,3.24153333333,7.40613333333
390.27,4.4986,4.66433333333,3.84853333333,4.5986,4.19973333333,5.21056666667,36.6463333333,5.23953333333,3.28473333333,7.42926666667
390.63,4.494,4.66213333333,3.8476,4.6028,4.1922,5.21516666667,36.762,5.2498,3.31433333333,7.43233333333
391.00,4.5116,4.6502,3.83693333333,4.58566666667,4.19546666667,5.2023,36.8650666667,5.25073333333,3.3066,7.4404
391.36,4.5198,4.6416,3.81266666667,4.59273333333,4.18453333333,5.20173333333,36.9479333333,5.241,3.28813333333,7.42313333333
391.72,4.5148,4.61366666667,3.7948,4.57533333333,4.18046666667,5.1893,37.0233333333,5.2234,3.2778,7.414
392.08,4.50073333333,4.59006666667,3.7662,4.56726666667,4.17953333333,5.18146666667,37.1194,5.22613333333,3.2642,7.40733333333
392.44,4.4732,4.55173333333,3.74173333333,4.54386666667,4.15846666667,5.15836666667,37.1827333333,5.20733333333,3.25693333333,7.39533333333
392.80,4.5068,4.5674,3.78526666667,4.58866666667,4.1738,5.18356666667,37.2766666667,5.2614,3.30553333333,7.42366666667
