wavelength,Back_PhrDorm,Belly_PhrDorm,Breast_PhrDorm,Crissum_PhrDorm,Crown_PhrDorm,DorTail_PhrDorm,Patch10_PhrDorm,Rump_PhrDorm,Throat_PhrDorm,WingTip_PhrDorm
822.36,36.0720833334,50.601,23.7323958333,54.999875,19.2682083333,25.4570833333,18.4680833334,20.8207222222,45.5118333333,27.05525
822.67,36.1086666667,50.469,23.7415729167,55.0155,19.3223333333,25.460375,18.4405,20.8483333333,45.4716666667,27.0740833333
822.97,36.1093333333,50.4994166667,23.63421875,55.0407083333,19.17375,25.2509583333,18.2088333334,20.5589166667,45.3689583333,27.073125
823.27,36.0190833333,50.4955416667,23.4471354167,54.8769166667,19.045375,25.0692083333,18.0009166667,20.3734166667,45.1710833333,27.00875
823.58,36.0010833334,50.2735416667,23.3991041666,55.065875,18.9241666667,24.9807916667,18.0521666666,20.2408055556,45.33275,26.8113333333
823.88,35.9815833333,50.0097083333,23.0279583333,54.7909166667,18.7932083333,24.8124166667,17.754,19.954,45.1309166666,26.611625
824.18,36.0296666667,49.954375,23.04590625,54.5954166667,18.7839166667,24.7733333333,17.6625833333,19.9414722222,45.1465833334,26.6943333333
824.49,36.624,50.3101666666,23.3361145833,54.8680416667,18.977875,24.7009166667,18.0080833333,20.0995555556,45.4195,26.95075
824.79,36.7445,50.1442083333,23.1199791667,54.7582916667,18.701875,24.2854583333,17.9033333333,19.9314166667,45.056375,26.6805833333
825.09,36.8795833333,50.4130416667,23.16475,55.2804166667,19.128625,24.47575,18.107,20.1268333333,45.3184583333,26.9102083333
825.39,37.4135,50.5122916667,23.2644479167,55.486,19.551875,24.5110833333,18.2263333333,20.4182222222,45.6225833333,27.1855833333
825.70,37.4185833333,50.4308333333,23.0089791667,55.00875,19.4173333333,24.3162916667,18.3509166667,20.4573055556,45.4068333333,27.0623333333
826.00,37.7926666667,50.7753333333,23.3878125,55.4128333333,19.575625,24.28425,18.5463333333,20.7435833333,45.9134583333,27.4585416667
826.30,37.8098333333,50.6452083333,23.7964895833,55.4569583334,19.843625,24.7387083333,18.854,21.1215277777,46.194,27.8022916666
826.61,37.9645833333,50.4760416667,23.6063645833,55.7361666666,19.5780833333,25.009375,18.7780833333,21.2071666667,46.3589166667,27.580625
