wavelength,Back_IriPorm,Belly_IriPorm,Breast_IriPorm,Crissum_IriPorm,Crown_IriPorm,DorTail_IriPorm,Patch10_IriPorm,Patch11_IriPorm,Rump_IriPorm,Throat_IriPorm,WingTip_IriPorm
378.35,8.85911111111,9.72811111109,11.0457777778,3.28,9.90444444443,5.85388888889,11.1371111111,7.12088888889,8.32322222222,12.1702222222,6.85822222222
378.71,8.92533333333,9.81600000001,11.1071111111,3.39144444444,10.0361111111,5.91988888889,11.2233333333,7.26555555556,8.46522222222,12.1664444444,6.96722222222
379.07,8.89922222222,9.84355555557,11.0957777778,3.43933333334,9.98433333331,5.89755555556,11.2003333333,7.29155555556,8.43088888889,12.0665555556,6.98755555556
379.44,8.82211111111,9.79911111112,11.0444444444,3.33522222222,9.96144444446,5.81411111111,11.1172222222,7.18588888889,8.35988888889,11.9241111111,6.876
379.80,8.79977777778,9.80011111113,11.0153333333,3.27166666667,9.92844444443,5.79411111111,11.0947777778,7.17866666666,8.32888888889,11.839,6.85866666667
380.16,8.88333333333,9.8771111111,11.0744444445,3.32922222222,9.99622222223,5.83277777778,11.1682222222,7.30233333333,8.38655555556,11.8545555556,6.92244444444
380.52,8.86,9.93611111112,11.044,3.26611111111,10.0206666667,5.79833333334,11.1374444444,7.24266666667,8.42766666666,11.7551111111,6.905
380.88,8.88355555556,9.95988888888,11.0687777778,3.25855555556,10.0206666667,5.78266666666,11.1383333333,7.31144444444,8.44133333334,11.7766666667,6.89033333333
381.24,8.86944444445,9.93866666666,11.1131111111,3.24988888889,9.95855555554,5.72566666667,11.1182222222,7.28955555556,8.38577777778,11.6666666666,6.81388888889
381.61,8.97833333333,10.0758888889,11.1725555555,3.397,10.0945555556,5.84522222222,11.2792222222,7.44122222222,8.48022222222,11.7311111111,6.90822222222
381.97,9.05944444444,10.1673333333,11.2624444444,3.47466666666,10.222,5.99677777778,11.4312222222,7.57111111111,8.57144444445,11.7553333333,7.09766666666
382.33,9.05377777778,10.1313333333,11.2818888889,3.47466666667,10.2551111111,6.00788888889,11.3797777778,7.54622222222,8.54322222222,11.6608888889,7.07722222222
382.69,9.09477777778,10.1658888889,11.3616666667,3.46755555555,10.2258888889,6.05422222222,11.3512222222,7.55077777778,8.55466666667,11.6196666667,7.05611111111
383.05,9.17,10.2696666667,11.4188888889,3.47644444444,10.2838888889,6.12744444444,11.4096666667,7.59188888889,8.59833333333,11.5803333333,7.05922222222
383.41,9.20311111111,10.3363333333,11.433,3.519,10.3116666667,6.16777777778,11.4305555556,7.62622222222,8.64544444445,11.5738888889,7.06011111111
383.77,9.29,10.3531111111,11.5008888889,3.56877777778,10.3505555556,6.22655555556,11.4483333334,7.67055555556,8.71033333333,11.5682222222,7.10166666667
384.14,9.20777777778,10.3293333333,11.4043333333,3.47966666667,10.306,6.20955555555,11.4292222222,7.59388888889,8.63855555556,11.456,7.01122222222
384.50,9.13411111111,10.269,11.3654444444,3.49355555555,10.2285555556,6.17,11.4215555556,7.55844444444,8.58333333333,11.3486666667,6.98666666667
384.86,8.98933333333,10.1387777778,11.224,3.39255555555,10.1255555555,6.06677777778,11.2821111111,7.454,8.46722222222,11.1466666667,6.852
385.22,8.95722222222,10.1713333333,11.1882222222,3.41633333333,10.1942222222,6.06822222222,11.2805555555,7.479,8.46355555556,11.0726666666,6.89177777778
385.58,8.945,10.1735555555,11.2312222222,3.41355555556,10.1608888889,6.03644444445,11.2492222222,7.49377777778,8.45588888889,11.0223333333,6.89644444444
385.94,8.90211111111,10.1627777778,11.1933333333,3.40344444445,10.1216666667,5.95444444444,11.185,7.47411111111,8.43977777778,10.9313333334,6.84888888889
386.30,8.79711111111,10.1581111111,11.1145555556,3.36477777778,10.0554444445,5.92277777778,11.1336666667,7.40466666667,8.39177777778,10.795,6.81366666667
386.66,8.74888888889,10.179,11.0737777778,3.33744444444,10.0661111111,5.84066666667,11.1451111111,7.39566666667,8.35211111111,10.6785555556,6.81822222222
387.03,8.66855555556,10.1392222222,11.0308888889,3.28711111111,10.03,5.75833333333,11.0691111111,7.37766666667,8.30088888889,10.5796666667,6.77822222222
387.39,8.69977777778,10.1923333333,11.0501111111,3.31944444444,10.0516666667,5.802,11.1102222222,7.41355555556,8.31611111111,10.5291111111,6.80777777778
