wavelength,Back_SalAtef,Belly_SalAtef,Breast_SalAtef,Crissum_SalAtef,Crown_SalAtef,DorTail_SalAtef,Patch10_SalAtef,Rump_SalAtef,Throat_SalAtef,WingTip_SalAtef
448.21,2.83855555555,18.0951367521,17.9068888889,5.58322222222,2.91522222222,3.91488888889,3.33444444444,3.16755555556,39.0221111111,7.16044444444
448.56,2.82211111111,18.0855042735,17.8991111111,5.56444444445,2.89433333334,3.88622222222,3.31122222222,3.14066666667,39.0616666667,7.13466666667
448.92,2.80366666666,18.0998717949,17.8967777778,5.54666666667,2.87144444444,3.87622222222,3.30366666667,3.12722222222,39.1067777778,7.12177777778
449.27,2.79066666667,18.0746752137,17.8781111111,5.54222222222,2.86588888889,3.88466666667,3.29355555556,3.11255555556,39.0944444444,7.10466666667
449.62,2.79833333333,18.0867179487,17.8873333333,5.55822222222,2.86544444445,3.89111111111,3.29488888889,3.12977777778,39.1136666667,7.10866666667
449.98,2.78633333333,18.0815042735,17.8756666667,5.57033333333,2.85166666667,3.88644444444,3.28144444445,3.11188888889,39.1142222222,7.10711111111
450.33,2.77744444444,18.1008205128,17.8917777778,5.58311111111,2.851,3.89077777778,3.28122222222,3.09855555555,39.1464444444,7.10266666667
450.69,2.74411111111,18.0876410257,17.8828888889,5.57811111111,2.82822222222,3.87622222222,3.248,3.07811111111,39.1623333333,7.09911111111
451.04,2.73466666667,18.0921111111,17.8798888889,5.568,2.81466666667,3.86844444444,3.23088888889,3.06711111111,39.2114444444,7.10444444444
451.40,2.71377777778,18.0962564103,17.8735555555,5.55133333334,2.78644444444,3.836,3.19966666667,3.04544444444,39.1965555556,7.08466666667
451.75,2.71688888889,18.1092820513,17.8605555556,5.55511111111,2.78744444445,3.84922222222,3.20255555555,3.039,39.2052222222,7.07911111111
452.10,2.74255555556,18.1484529915,17.901,5.59855555556,2.83466666667,3.88466666667,3.23233333333,3.06933333333,39.2635555556,7.11855555555
452.46,2.74033333333,18.1594017094,17.9378888889,5.61311111111,2.84188888889,3.89366666667,3.23633333334,3.06577777778,39.3038888889,7.12477777778
452.81,2.75355555555,18.1733931624,17.9791111111,5.641,2.85877777778,3.91344444444,3.23722222222,3.08444444445,39.3293333333,7.14277777778
453.17,2.75666666667,18.176991453,17.9883333334,5.63577777778,2.85122222222,3.89233333333,3.23,3.07133333333,39.358,7.13633333333
453.52,2.73088888889,18.1892478632,17.9961111111,5.63766666667,2.83888888889,3.87477777778,3.21111111111,3.045,39.399,7.11844444445
453.87,2.74455555556,18.2116068376,18.0226666667,5.66822222222,2.856,3.88333333333,3.22222222222,3.06122222222,39.4456666667,7.14744444444
454.23,2.74177777778,18.2196495726,18.0156666667,5.67122222222,2.863,3.87844444444,3.22922222222,3.07088888889,39.4551111111,7.15911111111
454.58,2.77333333333,18.2542222222,18.0301111111,5.70533333333,2.87788888889,3.89133333333,3.244,3.09122222222,39.4493333333,7.17688888889
454.93,2.80288888889,18.2665811966,18.0535555556,5.75655555556,2.89844444444,3.91777777778,3.26988888889,3.11433333333,39.4891111111,7.202
455.29,2.83188888889,18.2732136752,18.0647777778,5.79277777778,2.92833333333,3.95488888889,3.30322222222,3.14933333333,39.4877777778,7.22122222222
455.64,2.85222222222,18.3040512821,18.1241111111,5.83177777778,2.94433333333,3.97455555556,3.32722222222,3.17622222222,39.5547777778,7.26888888889
456.00,2.84711111111,18.2918034188,18.1092222222,5.84244444444,2.92166666667,3.97244444445,3.32211111111,3.18211111111,39.5377777778,7.277
456.35,2.85677777778,18.3015128205,18.0851111111,5.87511111111,2.92644444445,3.98333333333,3.33177777778,3.18733333333,39.5166666667,7.27966666667
456.70,2.87833333333,18.3215470085,18.0924444444,5.915,2.94544444445,3.98488888889,3.36022222222,3.20355555556,39.548,7.30166666667
457.06,2.90788888889,18.3460598291,18.0931111111,5.96633333333,2.97477777778,4.01677777778,3.38422222222,3.24633333333,39.5297777778,7.33355555556
457.41,2.95022222222,18.3657692308,18.1338888889,6.02455555556,3.00633333333,4.04466666667,3.41566666667,3.284,39.552,7.38844444445
