wavelength,Back_IriAnaf,Belly_IriAnaf,Breast_IriAnaf,Crissum_IriAnaf,Crown_IriAnaf,DorTail_IriAnaf,Patch10_IriAnaf,Rump_IriAnaf,Throat_IriAnaf,WingTip_IriAnaf
350.73,5.79346666667,7.72793333334,7.5528,5.65673333333,6.60786666667,7.39193333333,4.47146666667,6.56686666667,9.28793333333,6.84033333333
351.10,5.94946666667,7.83473333333,7.63733333333,5.7232,6.73146666667,7.4558,4.60133333333,6.697,9.3908,6.92086666667
351.46,5.9452,7.87120000001,7.68339999999,5.70846666667,6.74986666666,7.4974,4.62766666667,6.73,9.40826666666,6.95406666667
351.83,5.88873333333,7.85866666668,7.672,5.67926666667,6.68466666667,7.43986666667,4.60773333333,6.6888,9.3642,6.90926666667
352.19,5.93493333333,7.85273333333,7.67433333334,5.73613333333,6.73946666667,7.44693333333,4.6254,6.73086666667,9.38046666667,6.93553333333
352.55,5.6764,7.62053333333,7.39426666667,5.5056,6.46013333333,7.1922,4.36933333333,6.48806666667,9.11753333333,6.68766666667
352.92,5.6976,7.6396,7.38239999999,5.5224,6.4552,7.19553333334,4.32713333333,6.48753333333,9.06646666667,6.6696
353.28,5.74033333333,7.73493333334,7.39913333333,5.61373333333,6.4972,7.25793333333,4.3942,6.5376,9.08480000001,6.6994
353.65,5.7584,7.7468,7.36819999999,5.61213333333,6.51193333333,7.24673333333,4.3494,6.5392,9.06606666666,6.70966666667
354.01,5.8914,7.86680000001,7.41586666666,5.71473333333,6.6376,7.31453333333,4.425,6.62866666667,9.12593333334,6.81653333333
354.38,5.985,7.93973333334,7.44459999999,5.7814,6.69313333333,7.36533333333,4.46346666667,6.72913333333,9.22226666667,6.86206666667
354.74,6.04586666667,8.00140000001,7.48279999999,5.86506666667,6.75846666667,7.4258,4.55533333333,6.78226666667,9.28446666666,6.93426666667
355.11,6.0542,8.05626666666,7.52106666667,5.9312,6.8124,7.51873333333,4.60013333333,6.81106666666,9.35826666667,6.9784
355.47,6.1336,8.12393333333,7.57053333334,6.01206666667,6.884,7.56073333333,4.66726666667,6.8708,9.4664,7.01526666667
355.83,6.24046666667,8.19453333333,7.62586666667,6.08226666667,6.9504,7.65153333333,4.7572,6.9768,9.55406666666,7.09773333333
356.20,6.30546666667,8.27046666667,7.67646666666,6.10786666667,6.97346666667,7.7322,4.81206666667,7.00933333333,9.59753333334,7.1548
356.56,6.43446666667,8.359,7.7772,6.17433333333,7.12066666667,7.82233333333,4.9084,7.10893333333,9.74759999999,7.2452
356.93,6.37306666667,8.30060000001,7.72480000001,6.09666666667,7.0656,7.73766666667,4.8734,7.05533333333,9.71786666667,7.1826
357.29,6.33313333333,8.26586666667,7.72246666667,6.02506666667,7.05593333333,7.69126666667,4.84426666667,7.00586666666,9.69326666667,7.13393333333
357.66,6.25766666667,8.2344,7.67819999999,5.98526666667,7.01113333333,7.62506666667,4.81833333333,6.91533333333,9.66939999999,7.0506
358.02,6.20993333334,8.1988,7.69460000001,5.9786,6.9708,7.6182,4.83186666667,6.865,9.64139999999,7.02413333333
358.38,6.20273333333,8.21546666667,7.74433333333,6.00513333333,7.01126666667,7.60666666667,4.865,6.8862,9.65820000001,7.03853333333
358.75,6.20066666667,8.20006666666,7.73646666667,5.97806666667,7.03066666667,7.58966666667,4.80806666667,6.866,9.6334,7.02
359.11,6.17933333333,8.20260000001,7.7204,5.94693333333,6.99426666667,7.5432,4.74593333333,6.8684,9.59946666667,6.98606666667
359.48,6.14533333333,8.16146666666,7.69440000001,5.90946666667,6.96293333333,7.5316,4.69166666667,6.86986666667,9.5632,6.93666666667
359.84,6.14406666667,8.16580000001,7.69166666667,5.8822,6.97026666667,7.50813333333,4.64313333333,6.83386666667,9.56439999999,6.91346666667
360.20,6.10753333333,8.1332,7.6722,5.8494,6.94553333333,7.44873333333,4.57086666667,6.80713333333,9.52479999999,6.88306666667
360.57,6.0468,8.1,7.62553333333,5.82533333333,6.88286666667,7.38413333333,4.51873333333,6.75046666667,9.45313333334,6.83273333333
360.93,6.1352,8.17399999999,7.71379999999,5.916,6.9558,7.45593333333,4.60153333333,6.81973333333,9.47693333333,6.91933333333
361.29,6.17966666667,8.18946666667,7.72813333334,5.95393333333,6.96246666667,7.4684,4.62533333333,6.87986666666,9.53193333334,6.9454
361.66,6.2464,8.26426666666,7.8042,6.0192,7.03186666667,7.51006666667,4.674,6.95413333333,9.58546666667,7.00866666667
362.02,6.37553333333,8.38306666667,7.92553333333,6.09673333333,7.1306,7.629,4.758,7.09006666667,9.70920000001,7.09446666667
362.39,6.34686666667,8.36600000001,7.89559999999,6.05493333333,7.08993333333,7.6026,4.72326666667,7.04433333333,9.65253333334,7.09446666667
362.75,6.38726666667,8.41793333333,7.98446666666,6.1074,7.13226666667,7.6488,4.7964,7.0806,9.69193333333,7.12006666667
