wavelength,Back_SchMelm,Belly_SchMelm,Breast_SchMelm,Crissum_SchMelm,Crown_SchMelm,DorTail_SchMelm,Rump_SchMelm,Throat_SchMelm,WingTip_SchMelm
791.47,12.3024,42.2337333333,28.8258,24.9140666667,15.4982666667,9.82246666666,12.1047333333,11.8155333333,13.2188
791.78,11.7553333333,42.0551333333,28.3784,24.5414666666,15.2372,9.46139999999,11.7206,11.0801333333,12.7393333333
792.08,11.8196,42.345,28.2930666667,24.755,15.4764666667,9.77153333333,11.7424333333,11.1843333333,12.609
792.39,11.8177333333,42.3308666667,28.2790666667,25.0784666667,15.6521333333,9.60753333334,11.6124,11.2742,12.4275333333
792.70,11.6257333333,41.8649333333,28.1744,24.8440666667,15.2528,9.61566666667,11.5138,10.9173333333,12.3101333333
793.01,11.4778,40.6719333333,27.6894,24.496,15.1947333333,9.79486666667,11.6235333333,10.5678666667,12.2985333333
793.32,11.7146,40.1972666667,27.6181333333,24.4618,15.2133333333,9.8578,11.5724333333,10.7861333334,12.109
793.62,10.5565333333,39.2056,26.9100666667,23.7101333333,14.4522666667,9.18246666666,11.0174666667,9.97686666667,11.1711333333
793.93,9.96500000001,39.247,26.6784666667,23.4908666667,14.3374666667,8.97253333333,11.0829,9.64393333334,10.9515333333
794.24,9.66346666667,38.8235333333,26.4968666666,23.3772666667,13.9126666667,8.39926666667,10.7344666667,9.2304,10.3774
794.55,9.81126666667,39.2447333333,26.6786,23.2684,14.0884,8.08853333334,10.7905666667,9.17406666667,10.2655333333
794.86,9.91506666667,39.438,26.5437333333,23.2543333333,14.1177333333,8.09479999999,10.9159666667,8.85573333333,10.3834
795.16,9.05586666665,38.5896666667,25.8274,22.4592666667,13.2109333333,7.30779999999,10.4779,7.87313333332,9.59193333334
795.47,7.86773333333,37.7603333333,25.0942666667,21.6421333333,12.0511333333,6.25473333334,9.53583333333,6.59113333333,8.76120000001
795.78,8.05600000001,37.5472666667,25.1172666667,21.578,11.8982,6.37506666667,9.75416666667,6.44353333332,8.97079999999
796.09,8.80293333333,38.2486666667,25.7536666667,22.182,12.3974,6.78719999999,10.4823333333,6.85620000001,9.27353333334
796.40,8.99353333333,38.4992,26.0092666667,22.6876,12.3503333333,6.77726666667,10.8029,7.07379999999,9.17973333333
796.70,8.41006666666,38.3096,25.2422666667,22.3462666667,11.7434,6.56053333333,10.3604666667,6.58386666667,8.64653333333
797.01,8.65126666667,38.7701333333,25.4069333333,22.5907333333,11.7408666667,6.69053333333,10.2108333333,6.64293333333,8.84740000001
797.32,8.51873333333,38.9804666667,25.3814666667,22.3831333333,11.6802666667,6.42533333334,9.86133333334,6.39506666667,8.95320000001
797.63,8.808,39.6784666667,25.7748666667,22.7176666667,12.1382,7.09746666666,10.3608,6.7882,9.53593333333
797.93,8.25220000001,38.8468,24.9430666666,22.3063333333,11.6818,7.08106666666,10.3544333333,7.02699999999,9.39333333333
798.24,7.89173333333,38.1564,24.93,22.2240666667,11.9358666667,7.19013333334,10.3121333333,7.24933333333,9.66993333334
798.55,9.6298,39.4744,26.4218,23.7933333333,13.4708,8.50066666666,11.3381333333,9.1816,11.2066
798.85,9.86333333333,39.7083333333,26.6363333333,23.938,13.6613333333,8.25273333333,11.5832,9.76613333335,11.5527333333
799.16,10.6458,40.6489333333,27.3156,24.7934,14.5821333333,9.61726666668,12.5712,10.8234666667,12.5681333333
799.47,10.6314,40.5524666667,27.286,24.9787333333,15.1428,10.0848666667,12.8323666667,11.3601333333,13.1876
799.78,11.2926,41.5150666667,27.8168666667,25.5412,15.7700666667,10.8040666667,13.2499,11.8490666667,14.0258666667
800.08,11.4473333333,42.0426,28.064,25.8146,15.8583333333,11.1029333333,13.5557,12.0738,14.4674666667
800.39,11.8079333333,42.2598666667,28.0351333333,25.9949333333,16.315,11.8457333333,14.115,12.6741333333,15.0472
800.70,12.2398,41.9198,28.0086,26.2504,16.4771333333,12.5628,14.3397666667,13.0538666666,14.8119333333
801.00,11.4438666667,40.9732666667,27.166,25.447,15.684,11.6776666667,13.2510666667,12.4803333333,13.8262666667
801.31,11.7616666667,41.2302666667,27.4266666666,25.6746,15.7486666667,11.8453333333,13.2238666667,11.9548666667,13.7648666667
801.62,12.1933333333,42.08,27.7266666667,26.1133333333,15.5866666667,11.9533333333,13.4833333333,12.0733333333,13.9066666667
801.92,11.1544666667,41.3018,26.6872666667,25.2689333333,14.6078,11.1203333333,12.8399666667,10.7434,12.8878
802.23,10.758,41.0868,25.9674,24.839,14.1570666667,10.9519333333,12.333,10.2043333333,12.3434
802.54,10.3986666667,40.0962666667,25.3607333333,24.2954,13.0720666667,10.2682,11.7284,9.56713333333,11.6495333333
802.84,9.65433333333,39.3718,24.6910666667,23.7486666667,11.5392666667,9.50780000001,11.0087,8.59346666666,10.7574
803.15,8.3194,38.1659333333,23.5565333333,22.7894,10.0209333333,8.73759999999,9.74886666667,7.4476,9.9582
803.46,7.95233333333,37.3937333333,23.4210666667,22.3462666667,9.84906666665,8.73206666668,9.37476666666,6.89846666667,9.75053333334
803.76,7.84486666667,37.3920666667,23.4626,22.3132666667,9.44693333334,8.11773333332,9.3426,6.40086666667,9.51880000001
804.07,7.02726666666,37.1669333333,22.8918666667,21.8176,8.35193333333,7.16713333334,8.93300000001,5.79106666667,9.22733333333
804.38,8.29346666667,37.9103333333,23.9696,23.1888,9.53726666667,8.39486666665,10.6579,7.11506666667,10.7086666667
804.68,8.34406666667,37.4233333333,23.4689333333,23.3047333333,9.31486666666,8.10839999999,10.5104,7.30919999999,10.7922666667
804.99,8.55933333334,36.9155333333,23.1055333333,23.0634666667,9.48466666667,8.67153333332,10.3154666667,7.62000000001,10.4942
805.30,9.35373333333,37.3334,23.6121333333,23.6870666667,10.4149333333,9.29253333335,10.847,9.19739999998,11.2381333333
805.60,10.9533333333,37.82,24.82,24.9066666667,11.6533333333,10.7333333333,12.2666666667,10.7066666667,12.52
805.91,10.0953333333,37.355,23.9946,23.8855333333,11.1793333333,9.78873333334,11.3871,9.625,11.7858666667
806.21,10.0139333333,38.0624666667,23.8402666667,23.7778,11.6874666667,10.1042666667,11.4583666667,9.38886666667,11.6042
806.52,11.2582,38.9521333333,24.6121333333,24.7295333333,13.4299333333,10.8998,12.6543,10.8582666666,12.3612
806.83,11.8208,39.7126666667,25.014,25.3849333333,13.7325333333,11.3515333333,13.3579666667,11.4636,12.8992
807.13,11.5467333333,39.2978,24.5324,25.0956,13.3818666667,11.081,13.0413,11.4842,12.7286
807.44,12.021,39.6788666667,24.7539333333,25.3055333333,13.9336,11.8536,13.2983666667,11.9092666667,13.2494666667
807.74,11.7077333333,39.5080666667,24.1426666667,24.7629333334,13.3761333333,11.5864666667,12.4029,11.2086666667,12.9126666667
808.05,11.2237333333,39.9779333333,24.1897333333,24.3661333333,12.9510666667,11.5840666667,11.9147333333,10.9738,12.3556666667
808.35,11.2422666667,40.6969333333,24.4619333333,24.6364666667,12.9772,11.8636,12.2158333334,10.9924,12.6136666667
808.66,10.5337333333,40.4588,24.1834666667,24.397,11.989,11.7361333333,11.6884333333,9.84573333333,12.2262
808.97,9.98793333333,40.4344666667,23.7716,23.8360666667,12.0144666667,11.9180666667,11.3992333333,9.60199999999,11.6848
809.27,9.50633333333,40.2040666667,23.7943333333,23.9656666667,11.7911333333,12.0278,11.4932666667,9.97953333332,11.5300666667
809.58,8.50280000001,39.1812,23.3663333333,23.0602666667,10.7360666667,11.5136,10.4136333333,9.5284,10.5624
809.88,7.13853333334,38.464,22.6770666667,21.8275333333,8.98326666667,10.5704666667,8.8546,8.19413333334,9.0262
810.19,6.16806666667,38.1977333333,21.8897333333,20.8573333333,8.13646666667,9.7552,7.45839999999,7.41906666667,8.01393333333
810.49,6.10586666667,37.8281333333,21.8780666667,20.6764,7.74373333333,9.56846666667,7.16060000001,7.35193333333,7.61906666666
810.80,5.47953333332,37.927,21.6256,20.4472666666,7.10513333333,8.83100000001,6.63013333333,6.86739999999,7.05013333334
811.10,5.15653333333,37.7256666667,21.5286666667,20.1290666667,6.93373333334,8.82126666667,6.91050000001,7.06259999999,6.82313333333
811.41,5.80499999999,37.7234,22.0770666667,20.9616,7.81846666666,9.70526666666,8.16773333333,7.6282,7.85493333333
811.71,5.14906666667,36.5853333333,21.3008,19.9188666667,7.0282,9.20506666666,7.46623333333,6.96486666666,7.41653333333
812.02,6.40866666667,37.7302,22.6434,20.9435333333,8.79393333333,10.7166,9.32366666667,8.5002,8.58026666666
812.32,6.31286666667,37.7323333333,22.5486,21.0612666667,7.93653333333,10.3583333333,9.12469999999,8.19053333334,9.15186666667
812.63,7.19959999999,38.2202666667,22.999,21.346,8.9072,10.9214666667,9.74273333334,8.90699999999,10.244
812.93,7.71600000001,38.7968666667,23.3558666667,21.4112666667,9.47073333332,10.7281333333,9.92313333334,9.57946666666,10.9634
813.24,8.40273333333,39.7583333333,23.7495333333,22.1208,10.5325333333,11.3647333333,11.1320333333,10.2460666667,12.0089333333
813.54,10.2854666667,41.0716,25.6477333333,23.6538666667,12.7272666667,13.3333333333,13.0962666667,11.9366666667,13.6936
813.85,11.9384666667,42.8860666667,27.2105333333,24.9648666667,14.6228,15.3948666667,15.1842,13.6754666667,15.5
814.15,12.0801333333,41.4238666667,26.5132666667,24.4758,14.9700666666,15.3025333333,15.1789666667,13.3418666667,15.5328666667
814.46,12.2392666667,41.889,26.6068,24.7521333333,15.4273333333,15.1538666667,15.0854333333,13.2990666667,16.1368
814.76,13.3165333333,41.7738,26.9356666667,24.8508,16.2758666667,15.7040666667,15.4518666667,13.9133333333,16.7296666667
815.07,13.6160666667,42.0947333334,27.1904,25.0789333333,16.5586,15.4863333333,15.8147,14.2062,17.2318666667
815.37,13.0541333333,42.0472666667,26.3874,24.2725333333,15.4992,14.5602666667,14.7208,13.3756666667,17.0134666667
815.68,12.1378,40.9714666667,25.7202666667,23.4038,14.8693333333,13.1673333333,13.5657666667,12.3952,16.3302666667
815.98,10.8937333333,40.4574,25.2773333333,22.6768,13.3501333333,12.5540666667,12.2915,11.4528666667,15.4510666667
816.29,10.6384,39.6413333333,24.8475333333,22.5949333333,13.0412666667,12.3738,12.4112666667,11.2142,15.3942
816.59,10.4077333333,39.7478666667,24.7499333333,22.7995333333,13.0476,11.9462,12.2615666667,10.9793333333,15.6452666667
816.89,10.1426666667,38.719,24.1452666667,22.1134666667,11.9052666667,10.5589333333,11.7831,10.2979333333,15.2345333334
817.20,9.28239999999,37.4880666667,23.5806666667,21.4354666667,10.981,9.77666666667,10.6499,9.14673333333,14.3382
817.50,9.93706666667,38.6006666667,24.8190666666,22.1541333333,11.2423333333,10.4795333333,11.2894333333,9.81126666665,14.8034666667
817.81,11.1864666667,39.5555333333,26.275,23.4124,12.5950666667,12.5425333333,12.4143666667,11.2994666667,15.7438
818.11,11.2108,40.6203333333,26.9058666667,23.9463333333,12.7430666666,13.1466666667,12.4140333333,11.7712666667,16.0088666667
818.41,11.5079333333,40.8874,27.1789333333,24.6463333333,13.3261333333,13.4344666667,12.7200666667,11.9264,16.1328666667
818.72,12.4046666667,40.9018666667,27.9627333333,25.3974,14.3888,14.2750666667,13.9209333333,12.8790666667,16.7334666667
819.02,13.483,41.9812666667,29.2710666667,26.2741333334,15.433,15.863,15.2648666667,14.1805333333,17.4018666667
