wavelength,Back_SpoHycf,Belly_SpoHycf,Breast_SpoHycf,Crissum_SpoHycf,Crown_SpoHycf,DorTail_SpoHycf,Patch10_SpoHycf,Rump_SpoHycf,Throat_SpoHycf,WingTip_SpoHycf
248.29,9.29616666665,7.70133333333,8.44025,8.79033333335,10.6185,14.9358333333,15.3248333333,12.6993333333,10.6961666667,16.0251666667
248.67,9.49283333335,7.597,8.43983333333,8.46883333332,11.1435,14.9416666667,15.8528333334,13.004,10.756,16.3953333334
249.04,10.5223333333,8.43083333333,9.68958333335,8.74333333335,11.729,15.7883333333,16.1395,13.4465,11.9731666666,18.3643333334
249.42,11.2533055555,7.8455,10.1424166666,8.313,12.0933333333,16.0163333333,15.6095,13.7805,11.73775,18.4555
249.79,11.2823611111,7.4925,10.627,8.54116666667,11.9703333333,16.1205,14.6351666667,14.1326666666,11.4024166667,19.5936666667
250.17,11.4861388889,9.16533333333,12.0135833333,9.14200000002,12.658,17.2761666667,15.3068333333,15.5178333334,11.0875833333,21.6596666667
250.54,12.034,10.3078333334,12.6539166667,9.46166666667,13.3078333334,18.2565,16.641,16.9741666666,12.4874166667,23.6668333333
250.92,10.9474722222,9.27433333331,11.1019166667,9.54716666666,13.1206666666,18.249,15.9026666666,16.2848333334,11.9206666667,23.5136666667
251.29,9.64305555554,7.369,10.0746666666,8.63566666666,11.6291666667,17.4726666666,13.7015,15.0833333334,11.2550833333,23.1436666666
251.66,8.51094444446,6.6605,9.28058333335,8.40716666667,9.68016666665,15.5716666666,10.953,13.4398333333,12.1670833333,21.1366666667
252.04,7.51866666669,5.49483333333,8.25741666665,7.711,8.31816666667,13.6006666667,8.7735,10.8986666666,11.961,18.1846666666
252.41,8.13555555554,5.47433333333,8.57666666665,9.09366666667,8.30283333333,13.5643333333,8.12033333335,9.85399999998,11.95225,18.674
252.79,8.82894444444,4.67783333333,8.73625,10.6256666666,7.71366666667,13.197,6.9085,9.26266666666,12.3139166667,18.1845
253.16,7.78908333334,4.34383333334,7.36291666666,10.4438333333,7.30116666667,12.2921666667,5.76083333333,8.19466666669,11.1211666667,16.4511666666
253.54,8.9933611111,5.80133333334,8.30275,11.909,8.7785,13.229,8.257,9.94499999999,12.4924166667,18.3855
253.91,8.19983333335,5.41666666667,6.66683333334,11.1218333334,8.94233333333,12.7885,8.78216666665,9.35900000001,12.94875,16.1218333334
