wavelength,Back_SalAtom,Belly_SalAtom,Breast_SalAtom,Crissum_SalAtom,Crown_SalAtom,DorTail_SalAtom,Rump_SalAtom,Throat_SalAtom,WingTip_SalAtom
652.75,12.5382666667,47.2304666667,39.1520666667,38.6331333333,10.7017333333,8.65792000001,16.5118666667,5.29326666667,11.4462
653.08,12.5064666667,47.0967333333,39.0746,38.5497333333,10.6731333334,8.60989777777,16.4733333333,5.29226666667,11.4066666667
653.41,12.6021333333,47.2141333333,39.1641333333,38.6698666667,10.7566,8.69084888889,16.5517333333,5.36846666667,11.4526
653.74,12.6323333333,47.2208666667,39.1892,38.6742666667,10.7704,8.72737777779,16.5740666667,5.41853333333,11.4892666667
654.06,12.7213333333,47.3686666667,39.236,38.7837333333,10.8593333333,8.79153777779,16.6774666667,5.45826666667,11.5534
654.39,12.8316666667,47.4689333333,39.3374,38.9358,10.9596,8.90222222222,16.7644,5.57873333333,11.6155333333
654.72,12.8460666667,47.5561333333,39.4404666667,39.0212666667,11.0072,8.90230666667,16.8109333333,5.5984,11.6470666667
655.05,12.8655333333,47.6017333333,39.4989333333,39.1554666667,11.03,8.93410222221,16.8846,5.6266,11.6808666667
655.38,12.7875333333,47.5217333333,39.4970666667,39.1362666667,10.9667333333,8.88524888889,16.8839333333,5.58653333333,11.6453333334
655.71,12.7630666667,47.5597333333,39.4998,39.2316,10.9408666667,8.82619555555,16.8912666667,5.52886666667,11.5596666667
656.04,12.5974666667,47.3892666667,39.3162666667,39.0964,10.7738666667,8.63185777777,16.7476666667,5.33746666667,11.3750666666
656.37,12.5192666667,47.2904666667,39.267,39.0356,10.7024666667,8.55555111112,16.6916666666,5.26686666666,11.3084666667
656.69,12.5162,47.2051333333,39.1922666667,39.0140666667,10.6649333333,8.54390222222,16.6880666667,5.22493333333,11.2813333333
