wavelength,Back_SpoLeuf,Belly_SpoLeuf,Breast_SpoLeuf,Crissum_SpoLeuf,Crown_SpoLeuf,DorTail_SpoLeuf,Patch10_SpoLeuf,Rump_SpoLeuf,Throat_SpoLeuf,WingTip_SpoLeuf
416.15,7.39344444444,19.0844444445,8.58322222222,9.84933333336,5.24233333333,5.98833333333,10.8807777778,5.86844444445,18.2233333333,7.13977777778
416.51,7.40033333333,19.1011111111,8.55688888889,9.84411111109,5.26111111111,6.00633333333,10.876,5.85822222222,18.2083333333,7.14111111111
416.86,7.41266666667,19.131,8.57622222222,9.86266666669,5.25155555556,6.02688888889,10.8806666667,5.837,18.2518888889,7.12244444444
417.22,7.43655555557,19.1786666667,8.60588888889,9.91555555554,5.26455555555,6.04988888889,10.9194444444,5.84855555555,18.2878888889,7.15011111111
417.58,7.49844444445,19.2225555555,8.64033333333,9.94788888889,5.30833333333,6.08977777778,10.9623333333,5.88966666667,18.361,7.16444444444
417.94,7.55333333334,19.2996666667,8.69111111111,10.0346666667,5.37033333333,6.154,11.0204444445,5.95166666667,18.4123333333,7.211
418.29,7.61955555555,19.3701111111,8.73044444445,10.1066666667,5.40655555555,6.21633333333,11.0548888889,6.01733333333,18.4585555555,7.26933333333
418.65,7.67277777778,19.4442222222,8.75733333333,10.1813333333,5.41877777778,6.27,11.0783333333,6.07422222222,18.4957777778,7.30177777778
419.01,7.65333333333,19.414,8.72322222222,10.1725555556,5.40077777778,6.26622222222,11.062,6.04777777778,18.4807777778,7.25522222222
419.37,7.66088888888,19.414,8.71433333334,10.1923333333,5.40633333333,6.25577777778,11.0403333333,6.027,18.5093333333,7.27277777778
419.73,7.65488888888,19.4225555556,8.68655555555,10.1962222222,5.406,6.27244444444,11.005,6.02244444445,18.4997777778,7.27222222222
420.08,7.66033333334,19.4253333333,8.69466666667,10.2224444444,5.42466666666,6.28566666666,11.0011111111,6.04455555555,18.4981111111,7.32377777778
420.44,7.69122222223,19.4793333334,8.706,10.2593333333,5.44211111111,6.29877777778,11.0192222222,6.05444444444,18.5418888889,7.36344444444
420.80,7.73033333333,19.4991111111,8.70811111111,10.2967777778,5.46366666666,6.30588888889,11.0382222222,6.07788888889,18.5628888889,7.40055555556
421.16,7.69988888889,19.4625555556,8.68933333333,10.2762222222,5.433,6.29855555556,10.9917777778,6.04488888889,18.544,7.38277777778
421.51,7.69788888888,19.4795555556,8.69377777778,10.2884444444,5.42711111111,6.29922222222,10.981,6.053,18.558,7.39588888889
421.87,7.6938888889,19.4908888889,8.69555555556,10.3048888889,5.433,6.28888888889,10.9791111111,6.03233333334,18.5831111111,7.39555555556
422.23,7.71444444443,19.5488888889,8.72144444445,10.3396666667,5.45533333334,6.30788888889,11.0042222222,6.03977777778,18.6265555556,7.423
422.58,7.73055555556,19.593,8.75377777778,10.3724444444,5.48288888889,6.323,11.0207777778,6.03944444444,18.658,7.45811111111
422.94,7.75722222223,19.6585555556,8.78355555556,10.4216666667,5.51722222222,6.33522222222,11.0342222222,6.05488888889,18.6945555555,7.48933333334
423.30,7.79644444444,19.6907777778,8.82133333333,10.4555555556,5.55488888889,6.38233333333,11.0905555555,6.09133333334,18.7193333333,7.51644444444
423.66,7.8218888889,19.7288888889,8.85722222222,10.4905555555,5.56011111111,6.40522222222,11.1245555556,6.11522222222,18.7612222222,7.55022222222
424.01,7.827,19.7552222222,8.86288888889,10.5013333333,5.55022222222,6.40666666667,11.1262222222,6.11944444444,18.7692222222,7.544
424.37,7.84644444444,19.8065555556,8.893,10.5336666667,5.56011111111,6.43166666667,11.157,6.14266666667,18.8232222222,7.55555555556
424.73,7.85288888888,19.8656666667,8.97044444444,10.5862222222,5.60188888889,6.46022222222,11.184,6.16311111111,18.8698888889,7.57511111111
425.08,7.88322222222,19.9314444444,9.01133333333,10.6347777778,5.63577777778,6.48677777778,11.2191111111,6.20822222222,18.9152222222,7.60333333333
425.44,7.87144444446,19.9527777778,9.02622222222,10.6468888889,5.631,6.48088888889,11.2315555556,6.18722222222,18.9188888889,7.58566666667
425.80,7.89022222223,20.0077777778,9.07111111111,10.6792222222,5.64288888889,6.49766666667,11.2561111111,6.23633333333,18.9607777778,7.61477777778
426.16,7.90444444443,20.0337777778,9.10422222223,10.7095555556,5.64122222222,6.50922222222,11.2776666667,6.24477777778,18.9907777778,7.62122222222
426.51,7.92466666666,20.086,9.13377777779,10.7366666667,5.658,6.54088888889,11.3294444444,6.27833333333,19.0474444445,7.63677777778
426.87,7.93144444444,20.1243333333,9.17966666668,10.7742222222,5.67255555556,6.57466666667,11.3758888889,6.31,19.0896666666,7.66744444444
