wavelength,Back_DacVenm,Belly_DacVenm,Breast_DacVenm,Crissum_DacVenm,Crown_DacVenm,DorTail_DacVenm,Patch10_DacVenm,Patch11_DacVenm,Rump_DacVenm,Throat_DacVenm,WingTip_DacVenm
609.93,19.3546,8.079,8.21375897435,7.92233333333,20.7155333333,8.49966666667,19.184,48.2925333333,26.8226666667,6.82533333333,9.74363333335
610.26,19.2636,8.05646666667,8.21576410257,7.9192,20.5582,8.49486666667,19.0835333333,48.3062,26.6045333333,6.85766666667,9.77006666667
610.60,19.1847333333,8.06653333333,8.22475897436,7.96446666667,20.4339333333,8.50593333333,19.0172,48.3765333333,26.4382,6.9146,9.80556666666
610.93,19.0406666667,8.04753333333,8.20071794872,7.9286,20.2912666667,8.46506666667,18.8518666667,48.3644,26.1728666667,6.9048,9.79586666667
611.27,18.9424666667,8.03573333333,8.20672820513,7.907,20.1766666666,8.4434,18.7454,48.4685333333,25.996,6.8822,9.80916666667
611.60,18.8169333333,8.00233333333,8.15591282051,7.88013333333,20.0172666667,8.4275,18.5871333333,48.5094666667,25.7918666667,6.85326666667,9.78503333334
611.93,18.6143333333,7.8836,8.04518461539,7.768,19.7572666666,8.3198,18.3402666667,48.51,25.5007333334,6.74486666666,9.68529999999
612.27,18.5412666667,7.9162,8.03798974358,7.80473333333,19.6484,8.35223333333,18.2679333333,48.6303333333,25.3668,6.7956,9.77520000001
612.60,18.5302,7.99526666667,8.07083076924,7.86406666667,19.5984666667,8.4629,18.2626666667,48.8951333333,25.3158,6.8666,9.86466666667
612.94,18.3283333333,7.95366666667,8.01549230769,7.82233333333,19.4224666667,8.4487,18.0506,48.8900666667,25.0753333333,6.80753333333,9.80116666667
613.27,18.2077333333,7.9142,7.97290769231,7.82473333333,19.3091333333,8.39796666667,17.9082,49.0194666667,24.9219333333,6.77993333333,9.77526666666
613.61,18.1319333333,7.9436,7.99324102565,7.84746666667,19.2526666667,8.41326666667,17.8212666667,49.2096,24.8103333333,6.7516,9.80596666667
613.94,18.0075333334,7.90506666667,7.95313846153,7.81646666667,19.1387333333,8.41886666667,17.6608666667,49.3889333333,24.6486,6.70393333333,9.79693333334
614.28,17.9338666667,7.92213333333,7.9614051282,7.80953333333,19.0311333334,8.44693333333,17.5655333333,49.5444,24.5243333333,6.70393333333,9.84933333332
614.61,17.8962,7.8946,7.96119999999,7.8332,18.9663333333,8.50956666667,17.4732666667,49.7424,24.4140666667,6.68266666667,9.85243333333
614.94,17.7703333333,7.87286666667,7.92192820512,7.81046666667,18.7811333333,8.53963333333,17.3262666667,49.8049333333,24.2594666667,6.66306666667,9.87866666666
615.28,17.7290666667,7.91353333333,7.95693846153,7.84893333333,18.6958666667,8.58906666667,17.2861333333,49.9874666667,24.1925333333,6.6848,9.93046666665
615.61,17.8163333333,8.10206666667,8.11437435898,8.038,18.8014,8.82586666666,17.3834666667,50.3436,24.2754,6.87273333333,10.1072333333
615.95,17.7105333333,8.09793333333,8.14571794872,8.05273333333,18.6942,8.83086666667,17.3285333334,50.4220666667,24.1493333333,6.86706666667,10.1415
616.28,17.5154666667,8.01373333333,8.12669230769,7.98,18.5244,8.73363333333,17.15,50.5120666667,23.9332666667,6.78513333333,10.1004
616.61,17.5243333333,8.0496,8.19376923076,8.025,18.5007333334,8.81443333333,17.1476666667,50.8164666667,23.8546,6.8088,10.1949
616.95,17.4822666667,8.0774,8.26321538461,8.05086666667,18.4484666667,8.9144,17.1224666667,50.9514666666,23.7458666667,6.84086666667,10.2518333333
617.28,17.4202666667,8.1302,8.30816410256,8.11386666667,18.3603333333,8.97696666667,17.1016,51.0264666667,23.6599333333,6.891,10.3098666667
617.62,17.4274666667,8.23166666666,8.41267179487,8.22093333333,18.3661333333,9.04286666667,17.1272666667,51.1742,23.6437333333,6.97506666667,10.3877666667
617.95,17.2352666667,8.08206666667,8.30492820513,8.10713333333,18.1739333333,8.91496666667,16.9302666667,51.1804666667,23.3674,6.82453333333,10.2391333333
618.28,17.039,8.03066666667,8.21386666667,8.007,17.9774666667,8.80723333333,16.7558,51.1814,23.1145333333,6.72893333333,10.1804
618.62,16.9138666667,7.96433333333,8.18360000001,7.9458,17.8536666667,8.75426666667,16.6141333333,51.2487333333,22.9223333333,6.68153333333,10.0984
618.95,16.8252666667,7.94226666667,8.20686153847,7.9824,17.7844,8.79073333333,16.5626,51.2683333333,22.7570666667,6.71,10.1098
619.28,16.7235333333,7.93926666667,8.23030256411,7.94906666667,17.6478,8.739,16.4700666667,51.2608,22.5498,6.67953333333,10.1174333333
619.62,16.5352,7.83333333333,8.08938461539,7.82906666667,17.4353333333,8.63293333333,16.227,51.1539333333,22.2552666667,6.54026666667,9.97403333334
619.95,16.4846666667,7.81706666667,8.07915384615,7.80633333333,17.3009333333,8.65516666667,16.1182666667,51.1192,22.0944666667,6.5244,9.92043333333
620.28,16.3742,7.79233333333,8.0438,7.7792,17.1628666667,8.58893333333,16.0299333333,51.2122666667,21.9751333333,6.47993333333,9.85293333333
620.62,16.2223333333,7.70133333333,7.94202564102,7.71166666667,16.9996666667,8.49523333333,15.8516666667,51.2781333333,21.7885333333,6.40893333333,9.80863333333
620.95,16.1265333333,7.657,7.92514871795,7.68286666667,16.8817333333,8.52226666667,15.7295333333,51.3052,21.6082,6.3966,9.78786666668
621.28,15.9451333333,7.54293333333,7.82325128205,7.60273333333,16.6740666667,8.47383333333,15.5422,51.3013333333,21.3708,6.29533333333,9.72273333333
621.62,15.8898666667,7.61046666667,7.86963589743,7.6334,16.6378,8.58056666667,15.483,51.4667333333,21.3644,6.33866666667,9.81096666665
621.95,15.9142666666,7.6952,7.96466153846,7.7608,16.6695333333,8.7103,15.5364,51.6417333333,21.3999333333,6.4734,9.93436666667
622.28,15.9267333333,7.78573333334,7.98567692308,7.8322,16.6237333333,8.79876666667,15.5390666667,51.7292666667,21.3287333333,6.503,10.0183
622.62,15.8600666667,7.79866666667,8.01124102565,7.82206666667,16.5089333333,8.82316666667,15.4546666667,51.8475333333,21.2584,6.5018,10.0390333333
622.95,15.7820666667,7.747,7.96030769231,7.77233333333,16.4188666667,8.82906666667,15.3614666667,51.9185333333,21.1572666667,6.4886,10.0354
623.28,15.8476666667,7.8744,8.0556974359,7.87386666667,16.4532,8.97503333333,15.4467333333,52.2518666667,21.2146666667,6.60553333333,10.1585666667
