wavelength,Back_NepOnem,Belly_NepOnem,Breast_NepOnem,Crissum_NepOnem,Crown_NepOnem,DorTail_NepOnem,Rump_NepOnem,Throat_NepOnem,WingTip_NepOnem
270.34,3.82306666667,4.4266,3.85393333333,3.7162,3.32206666667,6.2026,4.31786666667,4.4802,6.89246666667
270.71,3.6162,4.2,3.66606666667,3.4868,3.0804,6.14266666667,4.09843333333,4.212,6.71653333333
271.09,3.45113333333,4.04133333333,3.57206666666,3.2992,2.8512,6.1292,3.92346666667,4.0024,6.70766666667
271.46,3.47333333333,4.18013333333,3.64813333333,3.24033333333,2.82126666667,6.17986666667,4.0504,4.1028,6.80373333333
271.83,3.3324,4.217,3.6156,3.0768,2.67393333333,6.1756,4.0175,4.07906666667,6.81753333333
272.20,3.20453333333,4.19933333333,3.584,3.0578,2.61046666667,6.19066666667,4.0024,4.04373333333,6.77046666667
272.58,3.00826666666,4.1466,3.45586666666,3.00813333333,2.49546666667,6.0976,3.8453,4.025,6.65446666667
272.95,3.19286666667,4.36526666667,3.64646666667,3.21373333333,2.67646666666,6.24793333333,3.95006666667,4.2326,6.90033333333
273.32,3.07906666666,4.15553333333,3.467,3.0756,2.47273333333,6.12853333333,3.7964,4.0786,6.76453333333
273.69,3.1176,4.23473333333,3.5686,3.17386666667,2.5272,6.20853333333,3.82066666667,4.16086666667,6.78473333333
274.06,2.74806666666,3.90406666667,3.273,2.80586666666,2.2108,5.9346,3.5804,3.8752,6.51886666667
274.44,2.74066666667,3.9316,3.34986666667,2.807,2.27126666667,6.08686666667,3.70333333333,3.9114,6.6244
274.81,2.75926666667,4.02033333333,3.3654,2.93993333333,2.27733333334,6.0964,3.6872,3.85486666667,6.46713333333
275.18,2.62046666667,3.88753333333,3.1842,2.84406666667,2.091,5.8372,3.58573333333,3.77866666667,6.1698
275.55,2.697,3.91453333333,3.1692,2.9664,2.1244,5.9566,3.57916666667,3.777,6.22786666667
275.93,2.83346666667,3.8994,3.15393333333,3.12586666667,2.26433333333,6.10353333333,3.59686666667,3.79526666667,6.264
276.30,2.82493333333,3.84173333333,3.19806666667,3.0916,2.2428,6.0722,3.54666666667,3.6882,6.2198
276.67,3.2898,4.17286666667,3.55246666667,3.3768,2.58266666667,6.39153333333,3.9403,3.931,6.642
277.04,3.1684,4.06346666667,3.36806666667,3.2084,2.35946666667,6.22753333333,3.7871,3.75453333333,6.50066666666
277.41,3.44446666667,4.20966666667,3.5682,3.34166666667,2.5954,6.3628,3.8637,3.96006666667,6.72526666667
277.79,3.44373333333,4.1938,3.5466,3.3596,2.5948,6.29473333333,3.8156,3.97946666667,6.81793333333
278.16,3.5634,4.307,3.65306666667,3.36973333333,2.6242,6.3752,3.78213333333,4.10706666667,6.92066666667
278.53,3.6514,4.41193333333,3.72806666667,3.26273333333,2.53526666667,6.37986666667,3.65336666667,4.11266666667,6.93473333333
278.90,3.20626666667,3.94593333333,3.41873333334,2.675,2.07933333334,5.93346666667,3.3397,3.7542,6.68113333333
279.27,3.5772,4.28386666667,3.82946666667,3.04993333333,2.5058,6.3268,3.64923333333,4.04193333333,7.1608
279.64,3.4428,4.09713333333,3.7358,2.83593333334,2.41686666667,6.11146666667,3.57273333333,3.84313333333,6.97413333334
280.02,3.31313333333,4.033,3.71853333333,2.80013333333,2.47166666667,5.88806666667,3.64146666667,3.83213333333,6.96273333333
280.39,3.1578,3.89566666666,3.5626,2.63213333333,2.32666666667,5.653,3.4682,3.68146666667,6.7738
280.76,2.8328,3.5434,3.28193333333,2.41846666667,2.00406666667,5.34393333334,3.1698,3.36713333333,6.51366666667
281.13,2.80273333333,3.37366666667,3.18413333333,2.35,2.01753333333,5.34046666667,3.20283333333,3.30233333333,6.44126666667
281.50,2.8816,3.5456,3.2712,2.5484,2.0764,5.439,3.4568,3.45953333333,6.621
281.87,2.8854,3.48326666667,3.2798,2.4894,2.01993333333,5.4354,3.4529,3.47413333333,6.47393333333
282.25,2.7778,3.45906666667,3.20566666667,2.59426666667,2.016,5.4018,3.47223333333,3.47666666667,6.3732
282.62,2.8212,3.52733333333,3.2926,2.76853333333,2.1984,5.51973333333,3.6405,3.575,6.37893333333
282.99,3.1898,3.89906666666,3.60873333333,3.25086666667,2.65873333333,5.97546666667,3.97996666667,3.97993333333,6.741
283.36,3.0676,3.78993333333,3.45106666667,3.15033333333,2.57913333333,5.83933333333,3.82486666666,3.88373333333,6.56793333333
283.73,2.92513333333,3.7722,3.4196,3.0946,2.4354,5.80706666667,3.67683333333,3.8108,6.4834
284.10,2.8892,3.79853333333,3.3714,3.04753333333,2.38,5.8664,3.6244,3.74773333333,6.45013333333
284.47,3.26833333333,4.20313333333,3.6858,3.45906666667,2.76553333333,6.3198,4.03116666667,4.11933333334,6.8458
284.85,3.29606666667,4.32573333333,3.73513333333,3.47333333333,2.83173333333,6.4078,4.08033333333,4.1766,6.82006666667
285.22,3.19573333333,4.32386666667,3.77213333333,3.4448,2.77466666667,6.37493333333,3.9283,4.12833333333,6.72586666667
285.59,3.1558,4.2666,3.78566666667,3.40086666667,2.7482,6.34166666667,3.88076666667,4.14606666667,6.62466666667
285.96,3.342,4.41866666667,3.885,3.56806666667,2.88866666667,6.50633333333,3.9718,4.24213333333,6.80046666667
286.33,3.48066666667,4.547,3.9834,3.6092,2.99513333333,6.5658,4.01503333333,4.2778,6.92946666667
286.70,3.51306666667,4.558,3.96133333333,3.6218,2.9838,6.5712,4.04223333333,4.30873333333,6.9744
287.07,3.50353333333,4.60333333333,3.9746,3.5716,2.9576,6.5012,4.01476666666,4.33773333333,6.9296
