wavelength,Back_PhrUnif,Belly_PhrUnif,Breast_PhrUnif,Crissum_PhrUnif,Crown_PhrUnif,DorTail_PhrUnif,Rump_PhrUnif,Throat_PhrUnif,WingTip_PhrUnif
796.40,11.6956666666,22.8286,20.1236,20.5945333333,12.1206,13.6484,12.3439333333,18.9468,13.5687333333
796.70,12.2506,23.2044666667,20.4402666667,20.9002666667,12.6155333333,14.067,12.6274,19.2841666667,14.0036666667
797.01,12.4926,23.7040666666,20.4958,21.2056,12.7304,14.5469333333,12.7068666667,19.2941,14.3882666666
797.32,12.4713,23.8326666667,20.3448666667,20.9275333333,12.9172,14.5858666667,12.6516,19.0131,14.1815333333
797.63,12.4802,23.6753333333,20.1788666667,20.7796,13.0269333333,14.6618666667,12.6292,19.1169,14.0334
797.93,12.8706333334,24.149,20.4748,21.0373333333,13.417,15.2006,12.7508,19.3277,14.5300666667
798.24,12.6384666667,23.9599333333,20.1324666667,20.8354,13.2892,15.0202,12.4699333333,19.1827666667,14.2208666667
798.55,12.4255333333,23.8758666667,19.9794666667,20.6567333333,13.2842666667,14.7328,12.2194,18.9923333333,14.0186
798.85,12.5723,24.0924,20.2558,21.1550666667,13.4529333333,14.9258,12.6567333333,19.0388666667,14.2739333333
799.16,12.9759,24.4762666667,20.4945333333,21.6208666666,13.8112666667,15.2369333333,13.1754666667,19.2351333333,14.6508
799.47,13.0762666667,24.5806666667,20.59,21.7614,13.8052666667,15.5161333333,13.3756,19.4541666667,14.9303333333
799.78,12.9577333333,24.5583333333,20.4652,21.6305333333,13.82,15.4972666667,13.2992,19.3770666667,14.7377333333
800.08,13.5441666667,25.0699333333,20.8091333333,22.0443333333,14.3188666667,16.0920666667,13.8498,19.8170333333,15.2141333334
800.39,13.9165666667,25.2076,21.4073333333,22.4102,14.6590666667,16.4192,14.3835333333,20.2452666667,15.6186666667
800.70,14.6376333334,25.6510666667,21.9791333333,23.2204666667,15.1823333333,17.079,15.1910666667,21.0004666667,16.4236
801.00,14.0684333333,25.1964666667,21.4745333334,22.7418,14.6180666667,16.3973333333,14.5429333333,20.4127666667,15.735
801.31,13.6016333333,24.6548666667,21.1006,22.5529333333,14.4970666667,15.9856,14.4158666667,20.2459,15.1782
801.62,13.9375333333,25.0126,21.507,23.0967333334,14.7944,16.4023333333,14.5508666667,20.6868,15.4147333333
801.92,14.0398,25.2069333333,21.427,23.1812666667,14.5263333333,16.3930666667,14.5777333333,20.8888666667,15.3964
802.23,13.7655,25.0714666667,21.1748,22.8176,14.0449333333,16.022,14.1022,20.7830666667,14.9808666667
802.54,13.9424333333,25.4054,21.3429333334,23.0456,14.1150666667,16.1582666667,14.1488,21.1438333333,15.1846
802.84,13.7846,25.4924666667,21.1743333333,22.9547333333,14.1580666667,16.1136666667,13.9206666667,20.8759333333,15.0461333333
803.15,14.5476333333,26.1944666667,22.0098666667,23.7956,15.0316,16.5061333333,14.5889333334,21.7007333333,15.8201333333
803.46,14.2177666667,25.7204666667,21.8182,23.4294,14.2892666666,15.8707333333,14.2152666667,21.4659333333,15.3192
803.76,14.3562666667,26.1476666667,21.9643333333,23.5572,14.1628666667,15.5726,14.1423333333,21.6258333333,15.1043333333
804.07,14.657,26.4895333333,22.3640666667,23.8116,14.5834666667,16.0009333333,14.4114666667,21.9944666667,15.4238666667
