wavelength,Back_DigCyam,Belly_DigCyam,Breast_DigCyam,Crissum_DigCyam,Crown_DigCyam,DorTail_DigCyam,Patch10_DigCyam,Rump_DigCyam,Throat_DigCyam,WingTip_DigCyam
663.91,10.016,10.2854,9.78926666667,10.3555333334,12.3634,9.17913333334,5.79693333333,8.86666666666,11.5385333333,11.7307333333
664.24,10.0102666667,10.2982,9.74239999999,10.3194666667,12.3367333333,9.16913333333,5.77933333333,8.84226666667,11.5282666666,11.7578666667
664.57,9.94093333333,10.2436666667,9.66819999999,10.2220666666,12.2460666667,9.13486666666,5.67966666667,8.79073333333,11.3967333333,11.7181333333
664.89,9.94193333333,10.2829333333,9.73893333333,10.2582,12.234,9.19213333333,5.685,8.78566666667,11.4686666666,11.743
665.22,9.929,10.2304666667,9.6406,10.1961333333,12.1126,9.13100000001,5.59193333333,8.75886666667,11.4055333333,11.6573333333
665.55,9.82646666667,10.1256,9.47940000001,10.1036,11.9361333333,9.03326666667,5.49106666667,8.66813333333,11.2303333333,11.5505333333
665.87,9.7584,10.0686,9.47120000001,10.0378666667,11.8099333333,9.01586666667,5.44113333333,8.61253333333,11.1012,11.4816
666.20,9.58333333333,9.92486666668,9.28806666667,9.87313333333,11.7315333333,8.85633333333,5.31026666667,8.4714,10.9898666667,11.3314
666.53,9.52786666665,9.90266666667,9.2468,9.84039999999,11.7186666667,8.84226666667,5.24573333333,8.43386666667,10.9602666667,11.2891333333
666.86,9.43593333333,9.85706666667,9.16906666667,9.80473333333,11.6895333333,8.77826666667,5.14673333333,8.38953333333,10.9146666667,11.2407333333
667.18,9.37613333333,9.80506666667,9.09813333333,9.78980000001,11.5763333333,8.71793333333,5.13266666667,8.29093333333,10.844,11.1438
667.51,9.6072,9.98153333335,9.24506666667,10.0486666666,11.7874666667,8.94806666667,5.367,8.51326666667,11.0473333333,11.3425333333
667.84,9.78306666666,10.1514,9.45046666667,10.2740666667,12.0140666667,9.15046666667,5.56386666667,8.6982,11.2664,11.5408666667
