wavelength,Back_TanCucm,Belly_TanCucm,Breast_TanCucm,Crissum_TanCucm,Crown_TanCucm,DorTail_TanCucm,Patch10_TanCucm,Patch11_TanCucm,Rump_TanCucm,Throat_TanCucm,WingTip_TanCucm
200.06,60.8814666667,57.4104666667,66.8319333333,65.5096,63.416,64.4076333334,80.2754666667,86.9422666667,60.2755333333,41.8457333333,34.6282
200.44,52.2782666666,50.7434666667,60.3836,59.6162666667,55.8752,55.0839333333,70.4077333334,77.9374,54.7242666667,36.7865,33.5969666667
200.82,49.1561333333,49.4938,59.1138,55.6538,52.6581333333,51.9619666667,65.1055333333,72.4895333333,54.7258,38.5021,35.1055333333
201.19,52.5562666667,53.5788,63.0266666667,56.6462,54.1921333333,52.4949333333,66.7894,73.2104666667,54.6422,40.1022,36.7484333333
201.57,51.2301333333,51.6271333333,60.9128,51.6269333333,49.6428666667,46.4881,63.9284666667,69.0872,51.0316666667,36.5476333333,34.0674333333
201.95,51.7668666667,51.8396666667,60.0728666667,48.7796666667,49.2896666667,45.1366666667,61.8942666667,66.6666666667,51.8396666667,37.2130333333,36.6667
202.33,53.3332,53.7079333333,58.4269333333,48.2398,49.2134,44.4568,63.6329333333,67.1911333333,52.8091333333,37.6593666667,38.3522
202.71,56.4892,59.3688666666,59.6055333333,49.1518666667,52.6627333334,47.8895666667,68.4023999999,71.6765333333,56.0946666667,37.9289666667,41.1046
203.09,58.0952,60.5290666667,61.3405333334,50.5466666667,55.3793333333,50.8995,67.6896,71.3932666667,57.0370666667,42.7511666667,47.7247333333
203.47,63.4594666667,64.3965333333,66.1262,54.7386666667,59.1712,56.4145,72.0359333333,76.0359999999,61.8018,49.7297333333,52.3784
203.85,67.6190666667,65.1648,68.3516,58.1318666667,61.1354666667,58.2966333333,74.0292000001,79.3406,64.7986,53.9927666667,54.8350666667
204.22,67.2448666667,61.3946,65.0000666667,58.3333333333,60.3060666667,56.9557666667,71.6667333333,76.7688,62.6871333334,56.2416,54.5409
204.60,68.4782,63.3332666667,65.6522,58.0072,60.7971333333,56.0325666667,73.4420000001,78.4420666666,63.1884,57.9348,53.7680666667
204.98,69.4280666667,64.4968666667,66.6668,58.3038666667,64.576,55.4831666667,76.4892,79.9999333333,63.8264,56.8045333333,56.1143666667
205.36,68.3334,64.9185333333,65.3658666667,57.1545333333,64.9593333333,54.6138,75.9349999999,78.5772,62.8049333333,55.061,55.1422333333
205.74,69.3172666667,68.5942666666,70.9638,59.9196666667,68.7147333333,57.8512666667,77.4297999999,78.9156666667,67.8314,57.8916333333,56.5662666667
206.12,74.4762,76.7618,79.5238,67.9048,78.5714666667,64.8095333333,86.6189333333,86.6189333333,74.1430000001,65.8808,61.4523333333
206.50,71.4413333333,72.8378666667,80.2251999999,65.1802,77.7928666667,62.8829333333,82.3423333334,81.8470000001,70.4054,64.1665666667,58.8514
