wavelength,Back_TanNivf,Belly_TanNivf,Breast_TanNivf,Crissum_TanNivf,Crown_TanNivf,DorTail_TanNivf,Patch10_TanNivf,Patch11_TanNivf,Patch12_TanNivf,Rump_TanNivf,Throat_TanNivf,WingTip_TanNivf
813.85,16.1587777778,44.4255,30.8501111111,42.9897777778,27.2762222222,20.918,17.5697777778,23.9905555555,17.5066666667,32.2798888889,20.5292222222,24.7303333333
814.15,15.5315555556,44.6588333333,30.6217777778,42.7543333333,26.876,20.57,17.0638888889,24.0256666667,17.2152222222,31.6433333333,20.4438888889,24.0886666667
814.46,15.2666111111,44.8625555556,30.8122222222,42.7973333333,27.1,20.6131111111,16.6476666667,23.7045555556,17.1797777778,31.4455555556,20.2584444444,24.0718888889
814.76,13.7071666667,43.8669444444,29.8806666667,42.3288888889,25.9474444445,18.8862222222,15.2521111111,22.5335555555,15.3297777778,30.2438888889,18.8343333333,22.5075555555
815.07,13.4433333333,42.8200555556,29.9456666666,41.3727777778,26.0143333333,18.7712222222,15.2824444444,21.957,14.7641111111,29.7812222222,19.1126666667,22.3106666667
815.37,13.8981666667,42.8482777778,30.6202222222,40.5156666667,26.5928888889,18.6863333333,15.838,21.854,15.0278888889,30.0798888889,19.5703333333,22.5903333333
815.68,13.7597777778,41.8438888889,29.7776666667,39.5675555555,25.9338888889,17.5134444445,15.5914444444,21.2973333333,14.4745555555,29.4053333333,19.1471111111,22.0662222222
815.98,12.3041666667,40.5698888889,28.5852222222,38.5515555556,24.1261111111,15.7748888889,14.0637777778,19.6313333333,13.184,27.6815555556,17.9201111111,20.6676666667
816.29,11.9482222222,40.1927777778,27.8021111111,37.882,23.6534444445,15.6113333333,13.6584444444,19.2746666667,12.7608888889,26.7588888889,17.4552222222,20.2814444445
816.59,12.1050555556,40.1964444444,27.5367777778,37.8524444445,23.5117777778,15.3773333333,13.3888888889,18.7393333333,12.7498888889,26.3677777778,16.8596666667,19.559
816.89,11.1660555555,40.4027777778,27.2404444444,38.0342222222,22.6863333333,14.0902222222,12.7106666667,17.7168888889,11.7703333333,25.6898888889,15.7265555556,18.9254444445
817.20,10.9642777778,41.8073888889,28.3163333333,38.5828888889,23.0053333333,13.6931111111,13.0075555556,17.1193333333,12.3837777778,26.1136666667,15.6143333333,18.7101111111
817.50,10.6441666667,41.086,28.1967777778,38.3261111111,22.797,13.1465555556,12.7034444444,16.475,12.2365555556,25.7781111111,15.1461111111,18.3311111111
