wavelength,Back_HemVerf,Belly_HemVerf,Breast_HemVerf,Crissum_HemVerf,Crown_HemVerf,DorTail_HemVerf,Rump_HemVerf,Throat_HemVerf,WingTip_HemVerf
414.36,9.59983333334,31.709,21.3060833333,14.9375,10.4706666667,7.21883333334,10.6155583333,6.32966666667,8.23708333333
414.72,9.63366666667,31.79775,21.3971666667,14.9924166667,10.4930833333,7.24958333333,10.642975,6.3635,8.2475
415.07,9.63549999999,31.84875,21.4121666667,15.02575,10.5050833333,7.25158333333,10.643275,6.38216666667,8.22775
415.43,9.70541666665,31.8831666666,21.472,15.0958333333,10.5509166667,7.30058333333,10.714275,6.45541666667,8.30841666667
415.79,9.73175000001,31.9385833333,21.47325,15.1350833333,10.5341666667,7.28266666667,10.7128083333,6.43266666666,8.30258333334
416.15,9.79349999999,31.965,21.5410833333,15.2080833333,10.5960833333,7.32683333333,10.7735833333,6.48116666666,8.34791666667
416.51,9.80966666667,31.9855,21.5804166667,15.253,10.646,7.36208333333,10.791,6.51008333333,8.38941666667
416.86,9.85291666668,31.96475,21.6433333334,15.3145,10.6818333333,7.40516666667,10.810075,6.5485,8.44691666667
417.22,9.89916666667,31.9863333334,21.70725,15.384,10.7424166667,7.42641666667,10.8363916667,6.57316666667,8.48475
417.58,9.87433333332,31.9920833333,21.7216666667,15.38325,10.7095,7.4035,10.8266833333,6.54183333333,8.45766666667
417.94,9.89941666667,32.0219166667,21.7481666667,15.4245833333,10.7209166667,7.4045,10.8445,6.579,8.49991666666
418.29,9.91483333332,32.05225,21.7363333333,15.44925,10.7228333333,7.40741666667,10.8605333333,6.58841666667,8.52083333333
418.65,9.87508333335,32.04875,21.7181666667,15.424,10.70025,7.38133333334,10.8351916667,6.55208333334,8.48608333333
419.01,9.83275000002,32.03725,21.67275,15.3786666667,10.65125,7.34491666667,10.7981666667,6.51633333333,8.43841666667
419.37,9.81083333334,32.026,21.62225,15.3560833333,10.6285,7.28058333333,10.7605416667,6.46791666667,8.39791666667
419.73,9.81025000002,32.0551666667,21.6228333334,15.3605833334,10.62625,7.27258333333,10.7665,6.47058333334,8.3775
420.08,9.77741666666,32.091,21.608,15.3530833333,10.609,7.2415,10.7373,6.42791666667,8.34341666667
420.44,9.74566666667,32.0935,21.58975,15.3278333333,10.5850833333,7.215,10.7127583333,6.39933333333,8.32033333333
420.80,9.69491666665,32.1296666667,21.5738333333,15.3048333333,10.54475,7.17333333333,10.6801,6.35333333333,8.26458333333
421.16,9.71550000001,32.2058333333,21.5911666667,15.3355,10.5659166667,7.20116666667,10.7016583333,6.36908333333,8.279
421.51,9.71475000001,32.2286666666,21.5895833333,15.3505833333,10.5734166667,7.19791666667,10.6949666667,6.38191666667,8.2865
421.87,9.71591666665,32.29225,21.6248333333,15.36275,10.5885833333,7.19616666667,10.705525,6.37466666667,8.27933333333
422.23,9.71358333333,32.3150833333,21.6586666666,15.3871666667,10.6039166666,7.19266666667,10.7081833334,6.382,8.29258333333
422.58,9.71575000001,32.33675,21.6676666666,15.4143333333,10.6051666667,7.18875,10.6933583333,6.38491666667,8.2905
422.94,9.71725000001,32.39,21.70725,15.4435833333,10.6264166667,7.20291666667,10.7007083333,6.38975,8.28908333334
423.30,9.70566666666,32.4374166667,21.7419166667,15.47225,10.6265,7.21958333333,10.7052166667,6.38758333333,8.29391666666
423.66,9.70858333333,32.4578333333,21.7691666667,15.4746666667,10.6325,7.21633333333,10.6787416667,6.36683333333,8.29558333333
424.01,9.72091666668,32.4925833333,21.79775,15.4855,10.6458333333,7.21166666666,10.6804166667,6.37875,8.30016666666
424.37,9.73366666668,32.5633333333,21.856,15.5296666666,10.6601666667,7.21666666667,10.6880916667,6.384,8.28758333334
424.73,9.76941666666,32.6271666667,21.9000833333,15.5740833333,10.70475,7.24875,10.7143916667,6.41858333334,8.33025
425.08,9.76475000001,32.62275,21.91025,15.5740833333,10.6876666667,7.22541666666,10.7113916667,6.42325,8.31875
425.44,9.80433333334,32.70725,21.9690833333,15.6034166667,10.72775,7.25641666667,10.73095,6.4405,8.32658333333
425.80,9.82766666668,32.741,22.0064166667,15.6371666667,10.7541666667,7.294,10.759325,6.48016666667,8.3385
