wavelength,Back_TanGyrf,Belly_TanGyrf,Breast_TanGyrf,Crissum_TanGyrf,Crown_TanGyrf,DorTail_TanGyrf,Patch10_TanGyrf,Patch11_TanGyrf,Patch12_TanGyrf,Patch13_TanGyrf,Rump_TanGyrf,Throat_TanGyrf,WingTip_TanGyrf
630.93,15.8885,25.6350833333,19.6584166666,23.7498333334,21.1474166667,7.66941666667,13.722875,56.6401666667,46.9569166667,31.9209583333,17.0635833333,21.5355833334,11.5925
631.26,15.8529166667,25.56025,19.6155,23.7263333333,21.16975,7.64125,13.69975,56.5958333333,47.0216666666,32.068,17.0431666667,21.5145,11.6563333333
631.60,15.707,25.46675,19.53325,23.6825,21.1463333333,7.61775,13.63125,56.4705833333,47.025,32.0598333333,16.9355833333,21.4620833334,11.6445
631.93,15.53975,25.3469166667,19.3493333333,23.5035833333,21.0251666667,7.51941666667,13.4780833333,56.2245,46.938,32.02275,16.8050833333,21.277,11.5143333333
632.26,15.4985,25.3379166667,19.32925,23.4795,21.04625,7.58379166667,13.4835833333,56.0548333333,46.9150833333,32.0493333333,16.8081666667,21.2236666667,11.5435
632.59,15.5255833333,25.3458333333,19.3156666667,23.4438333333,21.0975833333,7.640875,13.5420833333,55.973,47.0004166666,32.2159583333,16.8376666667,21.2978333333,11.6495833333
632.92,15.445,25.2831666667,19.21975,23.38325,21.0845,7.68441666666,13.50625,55.7723333333,46.9383333333,32.287375,16.8533333333,21.2669166667,11.6419166667
633.26,15.33425,25.17875,19.1173333333,23.32975,21.0035,7.69095833333,13.436375,55.6738333333,46.905,32.2454166667,16.781,21.20075,11.62675
633.59,15.1864166667,25.0726666667,19.0496666667,23.2475833333,20.8849166667,7.65770833334,13.3817916667,55.4596666667,46.8131666667,32.20975,16.7083333333,21.1170833333,11.553
633.92,15.1179166667,24.9506666667,18.9868333333,23.1856666667,20.8565,7.708875,13.3568333333,55.3140833333,46.7874166667,32.182875,16.6756666666,21.1075,11.5893333333
634.25,15.1261666667,24.9815833333,19.0135,23.216,20.8964166667,7.81195833333,13.392375,55.1546666667,46.792,32.2818333333,16.7470833333,21.1638333333,11.6705
634.58,15.0566666667,24.92525,18.9755,23.1764166667,20.8764166667,7.78141666667,13.36075,55.05225,46.8038333333,32.353375,16.7306666667,21.1259166667,11.7018333333
634.91,15.0338333333,24.89025,18.9799166666,23.166,20.86475,7.86804166667,13.39925,54.95975,46.8481666667,32.4398333333,16.7788333333,21.13625,11.7415833333
635.25,15.015,24.8499166666,18.9595,23.1706666667,20.8434166667,7.906625,13.3814166667,54.8828333333,46.83375,32.5175833333,16.7971666666,21.121,11.8050833333
