wavelength,Back_ParGulf,Belly_ParGulf,Breast_ParGulf,Crissum_ParGulf,Crown_ParGulf,DorTail_ParGulf,Rump_ParGulf,Throat_ParGulf,WingTip_ParGulf
275.18,7.4928,7.9485,5.78006666667,7.5923,3.8724,9.631,5.52126666667,5.23213333333,10.6258666667
275.55,7.19683333333,7.70643333334,5.63053333333,7.78706666667,3.6806,9.35673333333,5.541,5.0201,10.4662666667
275.93,7.53906666667,8.25179999999,5.84136666667,8.17243333333,3.982,9.59193333333,5.8394,5.1589,10.8330666667
276.30,6.9671,7.67943333334,5.34586666667,7.4756,3.55086666667,9.28939999999,5.5766,5.01056666667,10.3369
276.67,6.81356666667,7.61046666667,5.19986666667,7.08,3.537,9.64353333334,5.70706666667,4.9745,10.2957666667
277.04,7.7182,8.75819999999,6.135,8.10093333333,4.36333333333,10.9436,6.55673333333,5.98006666667,10.9829
277.41,8.12073333333,9.5166,6.96943333333,8.42370000001,5.036,11.4657333333,6.923,6.23953333333,11.3609
277.79,8.01216666667,9.49766666666,6.76023333333,8.01223333333,5.15573333333,11.6512,7.0094,5.72433333333,11.361
278.16,8.13436666667,9.73593333334,6.93066666667,8.1616,5.2534,11.753,7.1404,5.6784,11.5259333333
278.53,9.00506666667,10.8950333333,7.95813333333,9.14176666667,6.15866666667,12.6828666667,8.09086666667,6.7765,12.1632333333
278.90,9.15609999999,11.1986,8.0821,9.74490000001,6.35206666666,12.9035333333,8.15493333333,7.05593333333,12.403
279.27,9.49533333333,11.5466,8.36683333333,10.0922,6.5938,13.4062666667,8.58553333333,7.05623333333,12.6846666667
279.64,9.49396666667,11.4156,8.26213333333,9.77073333333,6.45066666667,13.4394,8.43293333333,6.8468,12.4409
280.02,9.60150000001,11.4038,8.54466666667,9.65516666666,6.50066666667,13.6508,8.5076,6.95253333333,12.2392666667
280.39,9.94590000001,11.8632666667,8.84023333333,10.0921666667,6.68466666667,13.8528,8.6796,7.0239,12.4766333333
280.76,9.90646666667,11.648,8.7696,9.81663333334,6.49046666667,13.4498,8.41893333333,6.8466,12.3992
281.13,9.46546666667,11.0224,8.2802,9.17266666666,5.95746666667,13.025,8.05753333333,6.48356666667,12.0056666667
281.50,9.31393333333,10.7064666667,8.03003333333,9.16999999999,5.82646666667,12.8556,7.83873333333,6.58533333333,11.9309333333
281.87,9.90316666665,11.3533333333,8.63843333333,9.79310000001,6.42713333333,13.3563333333,8.30053333333,7.3178,12.3786333333
282.25,9.20523333333,10.6112333333,8.06143333333,8.98793333334,5.7432,12.7478,7.70273333333,6.68586666667,11.7439
282.62,8.39566666667,9.67823333333,7.23926666667,8.38456666667,4.89353333333,11.9134666667,6.98206666667,5.65386666667,10.9955333333
282.99,8.03913333333,9.12360000001,6.83926666667,7.6879,4.43926666667,11.3400666667,6.59273333333,5.05373333333,10.6993333333
283.36,7.59433333333,8.613,6.2267,7.1051,3.93126666667,10.6846666667,5.95073333333,4.792,10.4487666667
283.73,7.55403333333,8.5315,6.08686666666,6.96826666667,3.6772,10.5099333333,5.7808,4.64286666667,10.4443333333
284.10,7.19263333333,8.22473333333,5.70506666667,6.85423333333,3.29393333333,10.0423333333,5.502,4.4767,10.1875333333
284.47,6.84246666667,7.84743333333,5.16006666667,6.48803333333,2.90106666667,9.71233333333,5.036,4.2072,9.82403333333
284.85,6.8203,7.8942,4.99526666667,6.57383333333,2.66453333333,9.61473333334,4.86293333333,4.15173333333,9.68093333333
285.22,6.24013333333,7.4793,4.4106,6.0824,2.13086666667,8.98026666667,4.322,3.5589,9.2056
285.59,6.06713333333,7.36870000001,4.06116666667,5.7387,1.74053333333,8.67913333333,4.11246666667,3.18196666667,8.96033333333
285.96,5.8042,7.11073333334,3.55733333333,5.50873333333,1.28986666667,8.18433333333,3.6314,2.69863333333,8.59243333333
286.33,6.14316666667,7.46589999999,3.74046666667,5.86873333333,1.57793333333,8.34146666667,3.79933333333,2.92616666667,9.05653333333
286.70,5.98926666667,7.45086666667,3.6027,5.73893333333,1.58086666667,8.19173333333,3.571,2.93553333333,9.029
287.07,5.97453333333,7.62190000001,3.71653333333,6.02543333333,1.77253333333,8.4342,3.67566666667,3.15693333333,9.09706666667
287.44,6.11193333333,7.94246666667,4.01953333333,6.32463333333,2.064,8.66620000001,4.00926666667,3.4546,9.1139
287.82,6.5622,8.54696666666,4.6767,7.02796666667,2.81066666666,9.01279999999,4.5786,4.08433333333,9.59226666667
288.19,6.18453333333,8.1929,4.37466666667,6.65216666667,2.36773333334,8.59020000001,4.20226666667,3.63653333333,9.1874
288.56,6.12786666667,8.3133,4.60373333333,7.02846666667,2.47226666667,8.42833333334,4.41613333333,3.8538,9.26833333333
288.93,6.10266666667,8.48933333333,4.93866666667,7.18133333333,2.66933333333,8.50933333333,4.65066666667,3.93866666667,9.172
289.30,6.64536666667,9.05953333333,5.52903333333,7.77643333333,3.24013333334,9.04333333333,5.1506,4.66293333333,9.59903333333
289.67,6.4397,9.11123333333,5.74586666667,7.6835,3.1012,8.99646666666,5.20953333333,4.77706666667,9.3994
290.04,6.5719,9.46910000001,6.2357,7.8617,3.31066666667,9.26233333335,5.63426666667,5.07406666667,9.71443333333
290.41,6.72216666667,9.67916666667,6.62956666667,8.1954,3.44473333333,9.57046666667,5.92953333333,5.25476666667,9.61150000001
290.78,7.4283,10.5002333333,7.54243333333,8.82966666666,4.00486666667,10.3130666667,6.7012,5.90226666667,10.1143
291.15,7.7324,11.0432333333,8.0101,9.2001,4.1862,10.5696666667,6.9894,6.2963,10.234
291.52,7.89773333333,11.2940666667,8.20596666667,9.35310000001,4.2256,10.6534666667,6.95786666667,6.33993333333,10.3688
291.89,7.66033333333,11.2689,7.95033333333,9.24846666667,3.82286666667,10.6013333333,6.91146666667,6.30353333333,10.1211666667
292.26,8.13726666667,11.9111666667,8.48203333333,9.56890000001,4.272,11.0142666667,7.4048,6.84976666667,10.6491333333
292.64,8.3415,12.2608666667,8.7254,9.61349999999,4.41793333333,11.2758666667,7.49726666667,6.97266666667,10.7800333333
293.01,8.49743333333,12.4870333333,8.76903333334,9.73559999999,4.54226666667,11.3666666667,7.5364,6.98513333333,11.0359666667
293.38,8.6019,12.6208666667,8.95113333333,9.87320000001,4.72173333333,11.447,7.67946666667,6.96586666667,11.2324
293.75,8.93506666667,12.8659,9.14076666667,10.4017,4.9482,11.6904666667,7.8282,6.9998,11.5449333333
294.12,8.8302,12.6231666667,8.966,10.4125,4.76186666667,11.4147333333,7.4778,6.73306666667,11.3232666667
294.49,8.6793,12.5358,8.74966666667,10.3174333333,4.7256,11.1138,7.25333333334,6.68433333333,11.2366666667
294.86,8.10373333333,11.7356,8.06,9.82356666667,4.18793333333,10.3079333333,6.42246666667,5.95523333333,10.6543
295.23,8.06713333333,11.6514666667,8.04686666667,9.81879999999,4.15973333334,10.1520666667,6.38266666667,5.82133333333,10.4663333333
295.60,7.79886666667,11.4744,7.7929,9.58276666667,3.8176,9.80933333333,6.15713333333,5.5223,10.1590333333
295.97,7.77706666667,11.4967333333,7.72603333333,9.42903333333,3.75913333333,9.66026666667,5.91486666667,5.17576666667,9.99203333333
296.34,7.44103333333,11.2917666667,7.3509,9.37029999999,3.54253333333,9.37480000001,5.48506666667,4.812,9.57613333333
296.71,7.12003333333,11.1491333333,7.15446666667,9.25906666667,3.36033333333,9.05979999999,5.29013333333,4.5514,9.44753333333
297.08,6.99376666667,11.0956333333,7.3206,9.33873333333,3.37333333333,8.98426666667,5.1904,4.6404,9.40816666667
297.45,6.723,11.0740666667,7.2891,9.34406666666,3.12166666667,8.59126666667,4.9734,4.3154,9.14813333333
297.82,6.76493333333,11.2488,7.3516,9.51583333333,3.205,8.57646666667,4.98646666667,4.26866666667,9.2043
298.19,6.7644,11.4492,7.4529,9.5752,3.23466666667,8.77333333333,5.01086666667,4.41573333333,9.04133333333
298.56,6.86533333333,11.7649666667,7.6596,9.84739999999,3.3974,8.96179999999,5.1498,4.61753333333,9.08046666667
298.93,6.99743333334,12.3227666667,8.00793333333,10.2298333333,3.58853333333,9.14273333334,5.50733333333,4.98833333333,9.29056666667
299.30,6.8276,12.4813666667,7.94903333333,10.1653666667,3.3814,8.99919999999,5.40073333333,4.78446666667,9.28263333333
299.67,7.0075,12.8618333333,8.46736666667,10.6101333333,3.62206666667,9.35473333334,5.71226666667,5.00343333333,9.5263
300.04,6.95186666667,12.9845333333,8.67563333334,10.8378666667,3.6338,9.34826666666,5.68633333333,5.01233333333,9.58046666667
300.41,6.92153333333,13.0798,8.91730000001,11.0728666667,3.57726666667,9.40020000001,5.6912,4.90516666667,9.6161
300.78,7.4399,13.6336666667,9.5094,11.4523666667,3.99353333333,9.85273333333,5.9702,5.23696666667,9.85526666667
301.15,7.18063333333,13.7232666667,9.21353333334,11.3005666667,3.73746666667,9.61113333334,5.6928,4.8119,9.4732
301.52,7.14813333333,13.7396333333,9.0766,11.2228333333,3.71186666667,9.6794,5.56126666667,4.8847,9.51576666667
301.89,7.5271,14.3752,9.54070000001,11.5238333333,4.27593333333,10.1960666667,5.9254,5.39693333333,9.93376666667
302.26,7.83146666667,14.8472666667,9.91669999999,12.0401333333,4.6754,10.2259333333,6.25153333333,5.75166666667,10.4826333333
