wavelength,Back_LanFulf,Belly_LanFulf,Breast_LanFulf,Crissum_LanFulf,Crown_LanFulf,DorTail_LanFulf,Patch10_LanFulf,Rump_LanFulf,Throat_LanFulf,WingTip_LanFulf
807.74,12.0975555555,39.6864444444,25.0344444445,34.827,8.64933333333,24.6012222222,13.7297777778,22.0101111111,31.7657777778,15.1866666667
808.05,12.0738888889,39.037,24.315,34.5092222222,8.463,24.1387777778,13.5556666667,21.9165555556,31.3147777778,15.0093333333
808.35,12.8183333334,39.5746666667,25.1982222222,35.7776666667,9.27322222222,25.0491111111,14.2551111111,22.9313333333,32.1391111111,15.8411111111
808.66,12.8694444445,39.2535555556,25.1308888889,35.7462222222,9.64266666666,24.9998888889,14.3191111111,22.8207777778,31.9397777778,16.1708888889
808.97,13.0897777778,40.0208888889,25.5612222222,35.8066666667,10.2453333333,25.7705555556,14.3643333333,23.2115555556,32.2677777778,16.6665555555
809.27,13.2798888889,40.0878888889,25.7858888889,35.9702222222,10.4614444444,25.7665555556,14.5411111111,23.6744444444,32.2347777778,17.0247777778
809.58,13.4362222222,40.0894444444,25.9291111111,35.9442222222,10.6156666667,26.2053333333,15.1418888889,24.052,32.3615555556,16.943
809.88,14.1726666667,40.3623333333,26.5712222222,35.8987777778,11.4448888889,26.8384444444,15.403,24.864,32.6943333334,17.3105555556
810.19,15.1072222222,41.6571111111,27.3781111111,36.3744444444,12.3975555556,27.6023333333,16.0428888889,25.721,33.4013333333,18.2652222222
810.49,15.2626666667,41.7363333333,27.6584444445,36.5792222222,12.3556666666,27.4293333333,16.2585555555,26.4536666667,33.6817777778,18.5184444444
810.80,15.0822222222,41.8547777778,27.6456666667,36.7355555556,12.0658888889,27.2597777778,16.2096666667,26.7621111111,33.7295555556,18.7485555556
811.10,15.9644444445,42.5518888889,28.0931111111,37.5254444444,13.1868888889,27.6963333333,17.0531111111,27.5131111111,34.1064444444,19.6684444445
811.41,15.9714444444,42.8586666667,28.5347777778,37.8538888889,13.1706666667,27.8344444444,16.8778888889,27.9681111111,34.4455555555,19.6786666667
811.71,14.8218888889,41.7581111111,27.3961111111,36.5631111111,11.9576666667,26.6017777778,15.6683333333,26.4451111111,33.0407777778,18.5638888889
812.02,15.2006666667,42.3265555555,27.9498888889,36.651,12.4152222222,26.844,16.2755555556,26.4997777778,33.0724444445,18.8418888889
812.32,15.5534444445,42.2596666666,28.4853333334,37.0057777778,12.6092222222,26.8206666667,16.8643333334,26.6854444444,33.3957777778,19.2674444444
812.63,15.7321111111,41.9417777778,28.432,36.864,12.7933333334,26.9472222222,16.6875555555,26.2514444445,33.1567777778,19.6261111111
812.93,16.1434444444,41.3788888889,28.2904444444,36.6917777778,12.5235555555,26.8886666667,16.1855555555,25.9258888889,32.8205555555,19.8472222222
813.24,15.9305555555,41.0974444444,27.836,36.8922222222,12.2232222222,26.6496666667,15.846,25.8446666667,32.507,19.8495555555
813.54,15.3692222222,40.0698888889,27.2641111111,36.3837777778,11.3442222222,26.2367777778,15.3268888889,25.3893333333,31.9775555555,19.1823333333
813.85,15.2764444444,40.5963333333,27.7303333333,36.7692222222,11.534,27.1065555556,15.5935555556,25.6158888889,32.2762222222,19.336
814.15,15.0476666667,40.1375555555,27.4603333333,36.6454444444,11.0051111111,27.2063333333,15.4922222222,25.2063333333,31.9258888889,18.6558888889
814.46,14.6243333333,39.1852222222,27.238,35.8623333333,10.2011111111,26.5397777778,15.0475555556,24.7301111111,31.5448888889,17.9047777778
814.76,14.2463333333,38.6294444444,26.7026666667,35.1976666667,9.75533333336,26.1623333333,15.1677777778,24.3088888889,31.2572222222,17.551
815.07,13.8887777778,38.8046666666,26.3466666667,35.2272222222,9.68011111109,25.6628888889,15.0461111111,24.3265555556,31.2816666667,17.3505555555
815.37,13.4257777778,39.0826666667,26.6686666667,35.4434444445,9.11933333333,25.7967777778,14.6208888889,24.2034444444,31.9982222222,16.9897777778
815.68,12.3022222222,39.2005555556,26.0077777778,34.9701111111,8.00488888889,25.0611111111,13.2151111111,23.202,31.6633333333,15.7871111111
815.98,11.797,39.3948888889,25.7761111111,34.6602222222,7.80477777778,24.7864444444,12.3483333333,22.9195555556,31.5676666667,15.3284444444
816.29,11.4026666666,39.9147777778,25.6082222222,34.3424444444,7.91566666667,24.3302222222,12.5013333333,22.5922222222,31.8983333333,15.1362222222
816.59,10.8317777778,39.8883333333,25.6728888889,34.0813333334,7.73866666667,24.1766666667,12.8084444444,21.9208888889,31.9486666666,14.5616666667
816.89,11.8743333333,40.4755555556,26.4421111111,34.4347777778,9.02833333334,24.5448888889,13.8152222222,22.9311111111,32.7991111111,15.3745555555
817.20,12.6451111111,40.3963333333,26.7284444444,34.5903333333,9.42788888888,24.3208888889,14.3178888889,22.9253333333,33.1628888889,15.6493333333
817.50,11.6228888889,40.0166666667,26.3575555555,34.0748888889,9.05388888888,23.6738888889,13.5757777778,21.9298888889,32.5605555556,15.0793333333
817.81,11.3977777778,40.4404444444,26.6358888889,34.2652222222,9.26777777778,24.1065555556,13.3231111111,21.7306666666,32.9135555556,15.1254444444
818.11,11.0512222222,40.8671111111,26.6965555555,34.4993333333,9.36733333333,24.3248888889,12.9447777778,21.5145555556,32.9445555556,14.6985555556
