wavelength,Back_SalAurm,Belly_SalAurm,Breast_SalAurm,Crissum_SalAurm,Crown_SalAurm,DorTail_SalAurm,Patch10_SalAurm,Patch11_SalAurm,Patch12_SalAurm,Rump_SalAurm,Throat_SalAurm,WingTip_SalAurm
242.29,4.01233333333,4.6172,2.76546666667,3.20373333333,2.58646666666,5.173,5.07393333333,1.53706666667,16.0062,3.11113333334,5.5864,4.79097037037
242.67,4.47933333333,5.19113333333,2.96293333333,3.45293333333,3.208,5.73454242424,5.27253333333,2.20493333333,16.2117,3.32466666667,5.926,4.88124444445
243.05,3.75700000001,4.66086666667,2.53113333333,2.7346,2.64973333333,5.25124242424,4.73446666666,2.09606666667,15.3842,2.7344,5.58206666667,4.44008148148
243.42,4.06080000001,5.17353333333,3.22866666667,3.069,3.15146666667,5.91615151515,5.19546666667,2.52346666667,15.7493333333,3.124,5.9724,5.21581481482
243.80,4.38066666667,5.52646666667,3.67166666667,3.44246666667,3.26233333333,6.02404545454,5.4554,2.70033333333,16.2957,3.497,6.23013333333,5.68825185185
244.17,4.26666666667,5.6,3.64266666667,3.52533333333,3.38133333333,6.13381818182,5.52533333333,2.68266666667,16.16,3.424,5.94666666667,5.71377777778
244.55,4.3796,5.97266666667,3.54366666667,3.612,3.48053333333,6.24276666667,5.62553333333,3.039,16.4380666667,3.7276,6.33546666667,5.94175555556
244.92,5.41220000001,7.0616,4.41286666667,4.39273333333,4.4276,7.32317272727,6.49666666667,4.06293333333,17.3114666667,4.70266666667,7.2964,7.02482962963
245.30,5.61846666666,7.34653333333,4.424,4.5136,4.4334,7.22862121212,6.695,3.99433333333,17.2921666667,4.9716,7.51179999999,7.49655555556
245.67,5.41066666667,6.90553333333,4.10273333333,3.7462,3.95493333334,6.85846363636,6.3016,3.5722,16.8753,4.64593333333,7.23606666666,7.25426666667
246.05,5.66106666667,7.14986666667,4.22306666667,3.84593333333,4.06213333333,7.10032424242,6.4034,3.68113333333,16.9612333333,4.72213333333,7.50346666667,7.55634074074
246.42,6.00506666667,7.18006666667,4.143,4.03106666667,4.19733333334,7.06178181818,6.61966666667,3.84653333333,17.1003666667,4.86973333333,7.71519999999,7.90943703703
246.79,6.34006666667,7.29673333333,4.57186666666,4.29166666667,4.36086666667,7.24327878788,6.88766666667,4.30813333333,17.3857333333,5.3504,7.93013333334,8.42348148148
247.17,6.53686666666,7.21406666667,4.46193333333,4.1806,4.37853333334,7.05448484848,6.87066666667,4.16826666667,17.4938333333,5.42986666667,7.81713333333,8.55230370371
247.54,6.42773333334,6.932,4.24586666666,3.9864,4.13966666667,6.75386363636,6.6284,4.1488,17.451,5.2542,7.63079999999,8.41477777778
247.92,6.34566666667,6.79166666667,4.042,3.86586666667,4.1046,6.81646666667,6.61553333333,4.1954,17.2404,5.1186,7.55866666667,8.38016296296
248.29,6.8148,7.11113333333,4.50313333333,4.41646666666,4.39133333333,7.26360606061,7.02166666667,4.6428,17.7134333333,5.6158,8.06973333334,8.84880740741
248.67,7.21859999999,7.48093333333,5.0104,4.9186,4.80413333333,7.80487272727,7.5978,5.2224,18.1346333333,5.95826666667,8.40926666666,9.26437037039
249.04,7.24353333333,7.4966,5.1378,5.10353333333,4.7144,7.86550606061,7.70966666667,5.59526666667,18.1358,6.07,8.44846666666,9.26294814815
