wavelength,Back_NemPilf,Belly_NemPilf,Breast_NemPilf,Crissum_NemPilf,Crown_NemPilf,DorTail_NemPilf,Patch10_NemPilf,Rump_NemPilf,Throat_NemPilf,WingTip_NemPilf
596.16,19.6658666667,59.6139333333,48.9148666667,45.8358666667,17.7896,17.3957333334,19.9014666667,21.7753333333,47.2969333333,11.8756666666
596.50,19.5741333333,59.5784666666,48.8795333333,45.7740666667,17.7384,17.3348,19.8019333333,21.7076666667,47.2541333333,11.8126
596.83,19.5260666666,59.6068666667,48.8784666667,45.7248666667,17.6900666667,17.2952,19.7490666667,21.6612,47.2405333333,11.7817333333
597.17,19.5516666667,59.5574666667,48.8979333333,45.7576666667,17.7202,17.3178666667,19.7694,21.6812666667,47.2533333333,11.8360666667
597.51,19.5116666667,59.5698,48.9071333333,45.7453333333,17.7166,17.2808666667,19.7398666667,21.6669333333,47.2750666667,11.8312666667
597.84,19.4844666667,59.6571333333,48.9571333334,45.7667333333,17.7074666667,17.2794666667,19.74,21.6565333333,47.3127333333,11.8143333333
598.18,19.5066,59.7251333333,49.0307333333,45.7877333333,17.7329333333,17.3094,19.7428,21.6892,47.3688666667,11.8422
598.52,19.4505333333,59.7502,49.0358666667,45.8281333333,17.6408,17.2696666667,19.6685333333,21.6278,47.3834,11.7751333333
598.85,19.2717333333,59.5414666667,48.9034,45.6506,17.4628666667,17.1322,19.5047333333,21.4858,47.2381333333,11.6533333333
599.19,19.3565333333,59.5218,48.9117333333,45.728,17.5080666667,17.172,19.5416666667,21.5361333333,47.2598,11.7327333333
599.53,19.3198,59.5916666667,48.9208,45.7031333334,17.462,17.1576666667,19.4994,21.4814666667,47.2746,11.6910666667
599.86,19.2951333333,59.5817333333,48.9124,45.6501333333,17.4588666667,17.1635333333,19.465,21.4598,47.2552,11.7284
600.20,19.2601333333,59.4968666667,48.8958,45.6376666667,17.3572,17.0971333333,19.423,21.4148666667,47.2077333333,11.7049333334
600.53,19.2398666667,59.5101333333,48.9142,45.6772666667,17.3522,17.0726666667,19.4064,21.4382666666,47.2177333333,11.7317333333
600.87,19.1534,59.5588,48.9554666666,45.6421333333,17.2687333333,16.9961333333,19.2938666667,21.3722,47.1823333333,11.6533333333
601.21,19.1348666667,59.6596666667,48.9904,45.6657333333,17.2622666667,16.9938666667,19.2668666667,21.3542666667,47.2075333333,11.6946
601.54,19.1046666667,59.5917333333,48.9525333334,45.6192666667,17.2081333333,16.9389333333,19.1504666667,21.3201333333,47.1264666667,11.6735333333
601.88,18.9930666667,59.5603333333,48.9277333333,45.5855333333,17.1064666667,16.8418,19.0431333333,21.2255333333,47.1315333333,11.6123333333
602.21,18.9498,59.4366,48.8260666667,45.4686666667,17.0575333333,16.7961333333,18.9542666667,21.1672,47.0266,11.6098
602.55,19.071,59.631,49.0067333333,45.6430666667,17.1799333333,16.9244666667,19.0331333333,21.2602,47.1979333333,11.7470666667
602.88,18.9585333333,59.6218666667,48.9871333333,45.5805333333,17.0916,16.8317333333,18.9224,21.1784666667,47.1672666667,11.6778666667
603.22,18.9204,59.5544,48.9577333333,45.535,17.0733333333,16.8252666667,18.8884,21.1738666667,47.1252,11.674
