wavelength,Back_CyaCaef,Belly_CyaCaef,Breast_CyaCaef,Crissum_CyaCaef,Crown_CyaCaef,DorTail_CyaCaef,Patch10_CyaCaef,Rump_CyaCaef,Throat_CyaCaef,WingTip_CyaCaef
240.04,2.79213333333,4.77493333333,3.50026666667,3.834,3.5104,4.5018,2.4584,3.996,1.67926666667,5.31113333333
240.42,2.3002,4.708,3.0728,3.5848,3.09523333333,4.3666,2.38086666667,3.82753333333,1.3476,5.247
240.79,3.21006666667,5.06566666667,3.74353333333,3.9904,3.49643333333,4.91446666666,3.44893333333,4.19753333333,2.22233333333,5.7588
241.17,4.32366666667,5.7792,4.74246666667,4.6858,4.0114,6.05606666667,4.38753333333,4.95553333333,2.66946666667,6.3542
241.54,4.61946666667,6.04473333333,5.15713333333,4.9108,3.978,6.64713333333,5.17653333333,5.37746666667,2.93486666667,6.87386666667
241.92,3.36046666667,4.72646666667,3.96493333333,3.36053333333,2.68663333333,5.53033333333,4.1038,3.92266666667,1.44446666667,5.5848
242.29,3.76933333333,5.0182,4.4332,3.9886,2.94796666667,5.84533333333,4.24753333333,4.5456,1.412,5.99726666667
242.67,3.69586666667,5.34093333333,4.55626666667,3.7392,3.15203333333,5.78473333333,4.3182,4.44266666667,1.0498,5.8388
243.05,3.39433333333,5.42026666667,4.24833333333,3.5214,2.7367,5.29293333333,3.8026,3.967,0.5516,5.36193333333
243.42,2.93166666667,4.8514,3.615,2.8378,2.14143333333,4.59053333333,3.20286666667,3.24986666667,-0.171999999999,4.66353333333
243.80,2.1858,4.1634,2.93,2.05046666667,1.31403333333,3.8928,2.30553333333,2.40426666667,-0.692199999999,3.591
244.17,1.70506666667,3.79266666667,2.26126666667,1.6538,0.814133333333,3.3792,1.853,1.96013333333,-0.867733333333,3.18033333333
244.55,1.55413333333,3.4932,2.19886666667,1.39926666667,0.469766666667,3.1784,1.5242,1.6792,-0.739800000001,2.53873333333
244.92,1.5832,3.62913333333,2.27926666667,1.64513333333,0.4507,3.18546666667,1.5786,1.8884,-0.3434,2.556
245.30,2.07386666667,4.03786666667,2.6948,2.3514,1.18676666667,3.6152,2.20173333333,2.54513333333,0.431800000001,3.0516
245.67,2.21693333333,4.13953333334,2.91013333333,2.46266666667,1.26763333333,3.54286666667,2.2934,2.76506666667,0.882666666667,3.09153333333
246.05,3.07186666667,4.8656,3.76906666667,3.36233333333,1.88463333333,4.04146666667,2.8614,3.61653333333,1.68486666667,3.8744
246.42,2.78226666667,4.5934,3.34353333333,3.02746666667,1.675,3.79706666667,2.79573333333,3.27293333333,1.4818,3.42753333333
246.79,2.6508,4.36166666667,3.39626666667,3.1068,1.38533333333,3.67913333333,2.86153333333,3.22333333333,1.49686666667,3.47166666667
247.17,3.02086666667,4.65386666667,3.78033333334,3.55826666666,1.8288,4.0462,3.45026666666,3.62246666667,1.9078,3.93806666667
247.54,3.19806666667,4.93793333333,3.98446666667,3.8032,2.04663333333,4.24933333333,3.7502,3.79473333333,2.23906666667,4.31066666667
247.92,3.5022,5.17766666667,4.221,4.021,2.34836666667,4.60473333333,4.05066666667,4.04813333333,2.33753333333,4.54813333333
248.29,4.0624,5.5658,4.64346666667,4.5128,2.89083333334,5.19793333333,4.5342,4.55553333333,2.85486666667,5.014
248.67,4.2272,5.72966666667,4.79533333333,4.70106666667,3.02913333333,5.26913333333,4.64986666667,4.76286666667,2.8192,5.30953333333
249.04,4.05946666667,5.69493333333,4.77853333333,4.51486666667,2.92656666667,5.21993333333,4.60646666667,4.63153333333,2.56006666667,5.40326666667
249.42,3.838,5.65446666667,4.72833333333,4.31286666667,2.62986666667,4.9302,4.4554,4.3722,2.46373333333,5.23313333333
249.79,4.22886666667,6.08013333333,5.15466666667,4.75193333333,3.06553333333,5.405,4.90093333333,4.6284,2.7166,5.5888
250.17,3.80006666667,5.681,4.69233333333,4.34293333333,2.7214,5.1038,4.8168,4.17353333333,2.2096,5.0624
250.54,4.34373333333,6.08126666667,5.24233333333,4.76493333333,2.91006666667,5.47726666667,5.1976,4.67186666667,2.6956,5.563
250.92,4.151,5.88053333333,4.80346666666,4.544,2.87926666667,5.2556,5.0158,4.4968,2.23273333333,5.12186666667
251.29,3.58506666667,5.40846666667,4.2244,3.89013333333,2.26683333333,4.79786666667,4.344,3.94793333333,1.70386666667,4.637
