wavelength,Back_DigSitf,Belly_DigSitf,Breast_DigSitf,Crissum_DigSitf,Crown_DigSitf,DorTail_DigSitf,Rump_DigSitf,Throat_DigSitf,WingTip_DigSitf
802.23,21.0916666666,45.0066666666,45.2591666667,45.2108333333,24.0415,25.25275,23.7465,40.8765,25.4743333333
802.54,20.8808333333,44.5785,44.7693333334,45.3681428572,24.1421666667,25.7410833333,23.041,40.8725,25.3915
802.84,22.263,44.4036666666,45.0346666666,45.0170476191,24.8475,26.16,24.3795,40.5981666667,26.7603333334
803.15,21.9438333333,43.847,45.11,44.6326904762,24.185,25.2750833333,24.0218333333,40.3628333333,26.0798333334
803.46,23.0503333333,43.4946666667,43.919,44.7012619047,23.4141666666,25.16175,23.8385,40.081,25.9595
803.76,23.7601666667,44.187,44.106,45.3601666667,23.8818333334,25.8331666667,24.2275,39.8778333333,26.1175
804.07,23.5861666667,43.321,43.502,45.1578333333,23.9468333333,25.54125,23.7865,40.1923333333,25.3105
804.38,24.6983333333,43.8545,43.9711666667,44.7016428572,24.5431666667,25.6515833333,24.5431666667,40.1786666667,25.2821666666
804.68,26.5066666666,45.889,45.9261666667,46.4179523809,26.5623333333,28.8039166667,26.8785,40.9415,27.2318333334
804.99,26.8498333333,46.375,46.4685,47.1732619048,27.2795,28.84925,27.7653333334,40.4708333334,27.8961666667
805.30,28.4846666667,47.64,47.8983333333,48.4355714285,28.7241666666,30.2265833333,28.8348333333,40.4313333333,29.4248333334
805.60,29.4886666666,48.132,48.2228333334,49.2251428571,29.942,31.3836666667,29.8696666667,41.5305,31.4471666667
805.91,28.5975,46.9633333333,47.1076666667,48.0295952381,28.7418333334,30.3599166667,29.3563333334,40.7446666667,30.5315
806.21,27.934,47.2063333334,47.1878333333,48.4251666667,28.159,30.2868333333,28.834,41.732,29.6398333333
806.52,27.8541666667,47.7663333333,46.8308333333,49.0318095238,28.007,31.0235833334,29.0951666667,42.6498333334,29.5535
806.83,28.1238333333,48.8465,48.0006666667,50.1756428571,29.8923333334,32.1798333334,30.3346666667,44.3291666666,30.469
807.13,28.1275,48.7793333333,48.4935,49.5422857142,30.0533333333,31.9984166667,30.7398333333,44.6416666666,31.1591666666
807.44,28.6835,49.4641666667,49.56,50.0300952381,30.444,32.61575,31.3241666667,45.2928333334,32.2041666667
807.74,27.4671666667,49.0488333333,48.9891666667,49.8723333333,30.242,32.0945833334,30.6776666666,44.7681666667,32.7191666666
808.05,25.995,47.8025,47.2841666667,47.9121428572,28.5448333333,29.6955,28.2961666667,43.885,30.6798333334
808.35,25.8036666667,47.7156666667,47.6101666667,47.4377380952,27.9398333334,29.1455833333,27.517,44.7966666666,30.8796666667
808.66,24.7073333334,47.161,47.1176666666,46.9720238095,27.5031666667,28.14275,27.3948333333,45.4053333334,30.6458333333
808.97,21.9251666667,46.3678333333,46.279,45.7664047619,25.7573333333,26.1030833333,25.8021666667,44.7638333334,27.4285
809.27,22.3888333334,47.2525,47.616,46.5226904762,26.6348333334,26.0328333333,25.8628333334,45.2313333333,27.1346666666
809.58,22.306,47.8768333333,47.3746666667,45.7242619048,27.1003333333,26.3586666667,25.7533333333,44.4065,27.4883333333
809.88,22.0173333333,46.949,47.4271666666,45.1796666667,27.095,25.8764166667,25.1368333334,43.5566666667,27.4136666667
810.19,20.7121666666,45.6078333334,46.7173333333,43.4217619048,25.058,24.3065833333,23.1391666667,42.8571666667,25.8671666667
810.49,19.7405,44.8128333333,45.4368333333,42.6821904762,24.2796666667,22.6224166667,21.3255,42.6993333333,24.6158333334
810.80,19.0338333333,44.5341666667,44.7293333333,42.1077380952,24.0363333334,22.3644166667,21.0835,42.2646666667,23.3775
811.10,18.9416666667,44.6095,44.708,42.0481666667,24.011,22.6879166666,21.4145,42.3346666667,23.7141666667
811.41,20.3596666666,44.8441666667,45.4915,43.1793095239,25.0361666666,24.2564166667,23.813,43.1655,24.6525
811.71,21.1448333333,45.6178333333,45.7375,45.5083809524,25.8143333333,26.1135,25.503,43.6781666667,24.8806666667
812.02,19.7146666667,44.6783333333,44.8233333333,45.7113809524,25.2298333334,25.6169166666,24.2865,43.2025,24.5765
812.32,21.8898333333,45.0616666666,45.0141666667,46.007952381,25.7833333333,26.76875,24.8576666666,43.4945,26.258
812.63,22.3428333334,46.1836666666,45.483,46.2940476191,26.3528333333,28.4901666666,25.604,43.6713333334,28.3333333333
812.93,22.565,46.1818333333,45.9126666666,46.5526190476,25.4526666666,28.6955,26.0891666667,42.9513333334,27.4351666667
