wavelength,Back_TanPalf,Belly_TanPalf,Breast_TanPalf,Crissum_TanPalf,Crown_TanPalf,DorTail_TanPalf,Patch10_TanPalf,Patch11_TanPalf,Patch12_TanPalf,Rump_TanPalf,Throat_TanPalf,WingTip_TanPalf
384.14,11.8543333333,43.4890432099,22.3077777778,24.9905555556,19.0664444445,6.49588888889,24.6962222222,4.65777777778,30.1066666667,23.9652222222,36.5966666667,6.61644444445
384.50,11.991,43.6347283951,22.4054444444,25.1125555555,19.1735555556,6.573,24.7746666667,4.74033333333,30.2248888889,24.0084444445,36.7035555556,6.67088888889
384.86,12.0357777778,43.7100123457,22.4247777778,25.0904444445,19.126,6.60444444444,24.7104444445,4.74833333333,30.208,23.9596666667,36.7065555556,6.67788888889
385.22,12.0876666667,43.8303209876,22.4991111111,25.1355555556,19.1645555556,6.589,24.7563333334,4.703,30.3601666667,24.055,36.7863333333,6.65011111111
385.58,12.0702222222,43.7923765432,22.4416666667,25.0487777778,19.0605555556,6.50933333333,24.6411111111,4.59744444444,30.2507777778,23.935,36.7212222222,6.58333333333
385.94,12.0327777778,43.8026419753,22.4006666667,24.9634444444,18.9837777778,6.38633333334,24.5324444445,4.47288888889,30.1797777778,23.8691111111,36.7337777778,6.45477777778
386.30,12.039,43.9018641975,22.4351111111,24.9866666667,18.9897777778,6.33066666667,24.5208888889,4.39055555556,30.2082222222,23.8593333333,36.8232222222,6.35144444445
386.66,12.0176666667,43.9534382716,22.4083333333,24.9325555556,18.9186666667,6.27266666667,24.4613333334,4.33066666666,30.1591111111,23.8102222222,36.8181111111,6.28055555555
387.03,11.9696666667,44.023882716,22.436,24.9647777778,18.8725555556,6.20088888889,24.4428888889,4.27333333333,30.1771111111,23.8293333333,36.855,6.22811111111
387.39,11.971,44.1465679012,22.4063333333,24.9923333333,18.8242222222,6.13166666666,24.4185555556,4.217,30.1353333333,23.8283333333,36.9346666667,6.10533333333
