wavelength,Back_AniLacf,Belly_AniLacf,Breast_AniLacf,Crissum_AniLacf,Crown_AniLacf,DorTail_AniLacf,Patch10_AniLacf,Patch11_AniLacf,Patch12_AniLacf,Patch13_AniLacf,Rump_AniLacf,Throat_AniLacf,WingTip_AniLacf
412.57,12.8391333333,8.084125,6.52633333333,7.18686666667,13.2057333333,8.32573333333,10.0334,10.4068,26.6814666667,11.1596,27.9565333333,7.07093333333,9.24386666667
412.92,12.7194,7.94029166666,6.39533333333,7.03666666667,13.1152666667,8.21513333333,9.90973333334,10.2708666667,26.5774666667,11.0289333333,27.8812666667,6.9514,9.12926666667
413.28,12.6525333333,7.87458333332,6.3,6.9186,13.0612666667,8.1438,9.82426666667,10.2039333333,26.5133333333,10.9432666667,27.8378,6.87006666667,9.05826666667
413.64,12.7034,7.895,6.3222,6.92353333333,13.1234666667,8.18026666667,9.84746666666,10.2506666667,26.5445333333,10.9609666667,27.865,6.89373333334,9.0988
414.00,12.6854,7.85775,6.29913333333,6.8778,13.1199333333,8.15793333333,9.82946666667,10.2469333333,26.5180666667,10.9272,27.8678666667,6.87093333333,9.09046666666
414.36,12.6576,7.80975,6.24146666667,6.828,13.1,8.13346666667,9.791,10.2201333333,26.4737333333,10.8725333333,27.8376,6.825,9.07233333334
414.72,12.6196,7.72804166667,6.17906666667,6.75173333333,13.0711333333,8.0862,9.73519999999,10.2054,26.4620666667,10.8142,27.8522666667,6.76626666667,9.03993333334
415.07,12.594,7.667125,6.125,6.6798,13.0672,8.04406666667,9.68746666666,10.1576666667,26.4272,10.7658,27.8147333333,6.72766666667,8.9842
415.43,12.536,7.56808333333,6.03986666667,6.58813333333,12.9864,8.00693333333,9.63986666667,10.0862,26.3666666667,10.6747,27.7540666667,6.6456,8.92466666667
415.79,12.4867333333,7.51316666666,5.99213333333,6.5186,12.9594666667,7.9798,9.5822,10.0402,26.3207333333,10.5991,27.7626666667,6.5816,8.88919999999
