wavelength,Back_EmbPlaf,Belly_EmbPlaf,Breast_EmbPlaf,Crissum_EmbPlaf,Crown_EmbPlaf,DorTail_EmbPlaf,Patch10_EmbPlaf,Patch11_EmbPlaf,Rump_EmbPlaf,Throat_EmbPlaf,WingTip_EmbPlaf
374.00,5.30626666667,24.4780666667,10.2695333333,9.21586666667,5.18346666667,6.29513333333,7.66846666667,5.1588,5.90426666667,13.3001333333,5.62466666667
374.37,5.3094,24.5544666667,10.2554,9.2338,5.17013333333,6.2688,7.5908,5.1608,5.93893333333,13.3695333333,5.64033333333
374.73,5.292,24.6234666667,10.2095333333,9.20113333334,5.1434,6.2258,7.49666666667,5.16186666667,5.95546666667,13.3660666667,5.637
375.09,5.2926,24.7407333333,10.1701333333,9.19700000001,5.15226666667,6.2192,7.4678,5.177,5.96313333333,13.4226666667,5.5922
375.45,5.37093333333,24.8704,10.2296,9.24259999999,5.20373333333,6.30473333333,7.53933333333,5.2286,6.03126666667,13.4976,5.6628
375.81,5.5098,24.9808,10.3758666667,9.34306666667,5.2808,6.42546666667,7.60313333333,5.31466666667,6.1406,13.6035333333,5.74246666667
376.18,5.49746666667,25.0545333333,10.4174666667,9.36513333333,5.2682,6.4154,7.5888,5.31706666667,6.14226666667,13.6108,5.7036
376.54,5.4532,25.0690666667,10.3939333333,9.34446666667,5.2106,6.33846666667,7.56586666667,5.28966666667,6.08193333333,13.5962,5.635
376.90,5.532,25.2876,10.5126,9.42913333332,5.294,6.41433333333,7.6256,5.3446,6.14266666667,13.7175333333,5.74413333334
377.26,5.57286666667,25.2656,10.5272666667,9.43493333333,5.2954,6.418,7.627,5.30006666667,6.16666666667,13.7046666667,5.76493333333
377.63,5.49206666667,25.3147333333,10.5186,9.41413333332,5.23646666667,6.35113333333,7.5578,5.23066666667,6.11786666667,13.6781333333,5.71353333333
377.99,5.44926666667,25.3000666667,10.4927333333,9.3834,5.17413333333,6.31453333333,7.4812,5.201,6.04146666667,13.6374,5.6504
378.35,5.5338,25.3810666667,10.5858,9.45953333333,5.2238,6.343,7.5464,5.2754,6.09313333333,13.676,5.68786666667
378.71,5.57226666667,25.4281333333,10.6567333333,9.51113333332,5.21753333333,6.336,7.5504,5.27133333333,6.09806666667,13.6906,5.67453333333
379.07,5.53,25.3914666667,10.6797333333,9.53226666667,5.16906666667,6.26246666667,7.51186666667,5.23153333333,6.0678,13.6538,5.6718
