wavelength,Back_CreDenm,Belly_CreDenm,Breast_CreDenm,Crissum_CreDenm,Crown_CreDenm,DorTail_CreDenm,Patch10_CreDenm,Rump_CreDenm,Throat_CreDenm,WingTip_CreDenm
773.18,10.17575,19.8220833333,15.7825,17.5138333333,37.70125,11.134,7.66608333334,12.0791666667,11.5416666667,14.0829166667
773.50,10.6944166667,20.5875833334,16.4450416667,18.2159166667,38.4134166667,11.6692916667,8.59508333333,12.8525416667,12.05125,14.9998333334
773.81,10.72575,20.6923333333,16.2163333334,18.2561666667,38.45475,11.3796666667,8.34416666667,12.4917916667,11.5396666667,14.8925833333
774.12,10.9710833333,21.0186666666,16.392875,18.5578333334,38.8354166667,11.4796666667,8.86416666666,12.9008333333,11.513,14.9635
774.43,11.5700833333,21.2359166667,16.6637916667,19.0206666667,39.32375,11.830875,9.18841666667,13.2327916667,11.9421666667,15.3008333333
774.74,11.272,20.6505833333,16.102125,18.6221666666,39.3066666667,11.47725,9.05266666667,13.0114166667,11.2496666667,15.1101666667
775.05,10.68975,20.1616666666,15.576625,18.37425,39.3726666667,11.1454583333,8.56674999999,12.3293333333,10.8209166667,14.7256666666
775.36,11.0110833333,20.24475,15.7012916667,18.5460833333,39.521,11.4810833333,8.85983333332,12.5283333333,10.8865833333,14.86075
775.67,11.15275,20.0306666667,15.9547916666,18.9698333333,39.7664166667,11.8165,9.00258333335,12.4914166667,11.113,14.7435833333
775.98,11.0820833333,19.5023333334,15.543875,18.8656666667,40.353,11.70725,8.73258333332,12.2714166667,10.5845,14.5139166667
776.30,10.6675833333,18.9075833333,15.3565,18.4524166666,40.0735833333,11.1985833333,8.26333333332,11.8493333333,9.87391666667,14.1805833333
776.61,10.4136666667,18.9134166667,15.4512083333,18.3191666667,40.1925833334,11.0704583333,7.87575,11.3440416667,10.0155,13.8016666667
776.92,10.4465,18.63075,15.386,17.8605,40.1684166667,10.9597916667,7.41991666666,10.9658333333,9.88533333332,13.5505833333
777.23,11.1470833333,19.0673333333,16.3076666667,18.5525833333,41.0321666667,11.8175,8.21350000001,12.0330833333,10.78175,14.3679166667
777.54,11.7714166667,19.9000833333,17.2146666667,19.0991666666,41.7268333334,12.32525,8.99550000001,12.7740416667,11.6810833333,15.25775
777.85,11.5501666667,19.5435,17.0701666667,18.59075,41.3995833333,12.3176666667,8.95833333334,12.6789583333,11.1374166667,14.9611666667
778.16,12.0600833333,20.07575,17.7480416667,19.0431666667,41.98425,12.814625,9.42683333332,13.297375,11.7545833333,15.4385833333
778.47,12.38525,19.8308333334,17.7475416667,18.8468333333,41.3466666667,12.9772083333,9.61958333333,13.5297083333,11.9564166667,15.2054166667
778.78,12.5905833333,19.7205833333,17.9425833333,18.57775,41.1949166667,12.88075,10.04475,14.0210416667,12.0464166667,15.2394166667
779.09,12.71425,19.5851666667,17.8780833333,18.1963333333,41.39125,12.6040416667,9.78958333335,13.95925,11.8698333333,15.4796666667
779.40,12.8890833333,19.8333333333,18.24075,18.43225,41.4505833333,12.676,9.75924999999,13.9630416667,12.253,15.6728333333
779.71,13.817,20.1949166667,18.7792916667,19.3806666667,41.9319166667,13.2710833333,10.1898333334,14.5232916667,12.8855,16.62975
780.02,13.9603333333,19.9056666667,18.745375,19.2995,41.51975,13.5104166667,10.09675,14.6063333333,12.7113333333,16.7155
780.33,13.8598333333,20.06475,18.56175,19.3553333333,41.71025,13.50825,10.13825,14.7562083333,12.3599166666,16.6355833333
780.64,14.0301666667,19.98875,18.5704583334,19.2284166667,42.0405833333,13.6280833334,10.3340833333,14.725125,12.1915,16.4983333333
780.95,13.2509166667,18.93525,17.5854166667,18.3334166667,41.6665833333,13.4251666667,9.30291666666,13.8563333333,11.0708333333,15.5005
781.26,12.8064166667,18.4925,16.7024166667,18.16,41.67975,12.9239166667,8.71808333334,13.2661666667,10.5895,15.1539166667
781.57,12.2471666667,18.0644166667,16.2273333333,17.5784166667,41.4935833333,12.8061666667,8.54633333333,12.7662916667,10.1170833333,14.6963333333
781.88,12.2361666667,18.56725,16.3655833333,17.6543333333,41.883,13.037625,8.99616666666,12.8922916667,10.4708333333,15.04975
782.19,12.38675,19.1673333333,16.65275,18.1506666667,42.5870833333,13.8740416667,9.06158333332,13.111375,10.9300833333,15.7393333334
782.50,12.6955,19.6639166667,16.7285,18.4293333333,42.4005,14.7462083333,9.65708333334,13.429375,11.2413333333,16.0560833333
782.81,12.8495833333,19.8053333333,16.5605,18.6334166667,42.45475,15.3267083334,10.0465833334,13.469625,11.4720833333,16.1731666667
783.12,12.1256666667,19.30825,16.0115,17.8591666666,42.1589166667,15.300875,9.59508333332,12.8778333333,11.0996666667,14.989
783.43,12.0426666667,19.4466666666,16.0885833333,17.87225,42.7375,15.3865,9.92208333331,13.02125,11.17025,14.9858333334
783.74,12.89625,20.133,16.5677083333,18.83125,43.4776666667,16.7127083333,10.8233333333,13.7591666667,12.0049166667,15.6196666666
784.05,13.9903333333,21.17675,17.4986666667,19.4916666667,44.1801666666,18.21725,11.7249166667,14.6985,13.148,16.603
784.36,15.1923333333,22.283,18.706125,20.5981666667,44.931,19.1764166667,13.29675,15.9155,14.84125,17.72675
784.67,15.638,22.5048333333,19.3772083333,20.6145833333,44.9263333333,19.8810833333,13.8449166667,16.1940833333,15.7075833333,18.0705833333
784.98,15.89025,22.4624166667,19.4085833333,20.99975,45.2855,20.01525,13.6924166667,16.1779166667,15.994,18.1711666666
785.29,16.3846666667,22.82725,19.6886666667,21.7065,45.7645833333,20.4862083333,13.95775,16.5978333333,15.9926666667,18.5643333333
785.60,16.41525,22.7025,19.2394583333,21.8598333333,45.4390833333,20.174,14.077,16.2111666667,16.04125,18.4135
785.91,15.97375,22.7179166667,19.3152083333,21.6923333333,45.62625,19.8245,13.8275833333,16.07225,15.8514166666,18.1266666667
786.22,14.6983333333,21.7351666667,18.3367916667,20.2400833333,45.0754166667,18.501375,12.7435,15.0102916667,14.7256666667,16.6874166667
786.53,14.0494166667,21.3249166667,17.5785416667,20.0636666667,44.0805833333,17.7005833333,12.0490833333,14.1917916667,14.151,16.504
786.84,13.8555,21.274,17.51125,19.8651666666,43.7833333333,17.3445416667,11.4916666667,13.9255833333,14.38975,16.3995
787.14,13.889,20.8433333333,17.9860833333,19.44425,43.6489166667,17.1209166667,11.0514166667,13.8987916667,14.8899166666,16.4280833333
787.45,13.3685833333,20.7288333333,17.5875416667,19.1351666667,42.8551666666,16.4675416666,10.3381666667,13.4305,14.603,16.0266666667
787.76,12.4740833333,19.9016666667,16.5824583333,18.5753333333,41.77675,15.317625,8.99324999998,12.61975,13.574,15.21725
788.07,12.2913333333,20.0379166667,16.2395416666,18.9813333333,42.4295,14.78225,8.59408333334,12.314125,13.3150833333,15.0039166667
788.38,12.5389166666,20.6908333333,16.7703333333,19.2390833333,42.6128333333,15.0855416667,9.02033333334,12.7559166667,13.809,15.306
