wavelength,Back_ThrPalm,Belly_ThrPalm,Breast_ThrPalm,Crissum_ThrPalm,Crown_ThrPalm,DorTail_ThrPalm,Patch10_ThrPalm,Patch11_ThrPalm,Rump_ThrPalm,Throat_ThrPalm,WingTip_ThrPalm
642.20,11.2962666667,20.6439666667,18.5843333333,21.5212373856,19.7264333333,11.0859333333,21.6735333333,20.3956666667,16.5422,19.9662666667,10.1692666667
642.53,11.3185333333,20.6084666667,18.5374,21.4934541177,19.6991666667,11.0637666667,21.6212666667,20.4732,16.5013333333,19.9542666667,10.2052666667
642.86,11.3592,20.6441666667,18.5682666666,21.4720747712,19.7517333333,11.0929666667,21.6346666667,20.5357333333,16.5128666667,19.9814666666,10.263
643.19,11.386,20.6566,18.5713333333,21.428768366,19.7412333333,11.1309666667,21.5260666667,20.5283333333,16.4870666667,19.9763333333,10.3512
643.52,11.284,20.5975,18.4665333333,21.3443103268,19.6570666667,11.0621,21.3901333333,20.4598,16.4876,19.8612,10.2956
643.85,11.4507333333,20.7462,18.6034666667,21.5314282353,19.8117666667,11.2495666667,21.5058666667,20.5525333333,16.6618666667,19.9999333333,10.4922666667
644.18,11.4248,20.7442333333,18.5558666667,21.4857631373,19.7822333333,11.2708333333,21.4098,20.4575333333,16.579,19.9632,10.5416666667
644.51,11.4648,20.8091666666,18.5870666667,21.5246766013,19.8421,11.3865333333,21.4354,20.552,16.5785333333,20.0044666667,10.5708666667
644.84,11.4319333333,20.7435666667,18.5430666667,21.590004183,19.8341,11.3883666667,21.407,20.5049333333,16.5392,20.0037333333,10.6057333333
645.17,11.4559333333,20.7457,18.5456666667,21.5942797386,19.8655666667,11.3564333333,21.4398666667,20.576,16.5366,20.0105333333,10.6265333333
645.50,11.3396666667,20.7064666667,18.4505333333,21.467313464,19.7818333333,11.2468,21.3556666667,20.428,16.4651333333,19.9092,10.5077333333
645.83,11.2353333333,20.6233,18.3419333333,21.335703268,19.6449,11.1256,21.2448,20.2985333333,16.326,19.7745333333,10.3277333333
646.16,11.1428666667,20.5030333333,18.2011333333,21.2293469281,19.5266333333,11.0006333333,21.1866,20.2239333333,16.2017333333,19.6556,10.1702666667
646.49,11.1307333333,20.4954,18.2079333333,21.2307670588,19.5531666667,11.0632333333,21.2272,20.1412,16.1663333333,19.6750666667,10.1423333333
646.82,11.0204666666,20.4089333333,18.1299333333,21.126408366,19.4743,10.9994666667,21.0741333333,20.0494666667,16.0992,19.5715333333,10.0468666667
647.15,11.0229333333,20.4906,18.1129333333,21.1720815686,19.4889,10.9977,21.0986666667,20.0802,16.1426,19.6386,10.0299333333
647.48,11.0208666667,20.4776666667,18.1371333333,21.2554036601,19.4681,10.9773,21.1534,20.0084,16.1412666667,19.6124,10.0489333333
647.81,11.1637333333,20.5981,18.2888,21.3810554248,19.5763,11.0397333333,21.2444,20.1306,16.2483333333,19.7127333333,10.1660666667
648.14,11.1192,20.5572,18.2573333333,21.364974902,19.4773666667,11.0097333333,21.1758666667,20.0832,16.2236,19.6401333333,10.1651333334
648.47,11.1318,20.5691,18.2583333333,21.4067105882,19.5005,11.0170666667,21.2004,20.1444666667,16.2169333333,19.674,10.1894
648.80,11.2613333333,20.6234666667,18.3628666667,21.5066695425,19.5766333333,11.1627333333,21.3234666667,20.2213333333,16.3608,19.7620666667,10.3803333333
649.13,11.2972666667,20.6479,18.4152666667,21.5789338562,19.6571333333,11.2592333333,21.364,20.2532666667,16.4816,19.8034,10.5142666667
649.46,11.2974,20.6790666667,18.3837333333,21.5600033987,19.6237666667,11.2258,21.3815333333,20.3025333333,16.4648,19.8235333333,10.5492
649.79,11.1998666667,20.6652666667,18.2984,21.5043769935,19.5812,11.0832,21.3808,20.2587333333,16.3572,19.7654,10.4148
650.11,11.2278,20.7046333333,18.3722,21.5571576471,19.6363333333,11.0620666667,21.3716,20.2951333333,16.3734,19.8002666667,10.4270666667
650.44,11.2209333333,20.7275,18.3589333333,21.4833351634,19.6258666667,11.0532333333,21.2585333333,20.3131333333,16.4034,19.8394,10.4105333333
650.77,11.22,20.8024,18.3693333333,21.4719566013,19.6163,11.1023,21.3093333333,20.3423333333,16.4674,19.8392666667,10.4076666667
651.10,11.2265333334,20.7745666667,18.3578,21.4134415686,19.5979,11.1012,21.2463333333,20.2692666667,16.4329333333,19.8053333333,10.3098666667
651.43,11.2423333333,20.8174333333,18.3718666667,21.477046536,19.5808666667,11.1661333333,21.2264666667,20.2287333333,16.4603333333,19.7562,10.2966
651.76,11.179,20.8492333334,18.3715333333,21.515130719,19.5647333333,11.1523333333,21.2574666667,20.227,16.4688,19.7537333333,10.2956
652.09,11.2279333333,20.9739,18.3754,21.553031634,19.5946,11.2051333333,21.2917333333,20.2655333334,16.5164666667,19.8187333333,10.3064
652.42,11.2469333334,20.9403333334,18.4064666667,21.5650094118,19.6128666667,11.1913,21.2493333333,20.2793333333,16.561,19.8355333333,10.2661333333
652.75,11.2621333333,20.9157333333,18.4397333333,21.5335801307,19.5291,11.2208333333,21.2843333334,20.3174,16.5826,19.8412666667,10.2904666667
653.08,11.228,20.8676666667,18.3774666667,21.4569762092,19.4652666667,11.2187333333,21.2393333333,20.3004,16.5839333334,19.8145333333,10.2743333333
653.41,11.2995333333,20.9166666667,18.4238666667,21.5198852288,19.535,11.2480666667,21.3405333333,20.3254666667,16.6007333333,19.8537333333,10.2995333333
653.74,11.2009333333,20.8096,18.3544666667,21.4202729412,19.4324,11.1692,21.1774666667,20.2309333333,16.472,19.7598,10.2216
654.06,11.1941333333,20.8752666667,18.3891333333,21.5110530719,19.4489333333,11.1921333333,21.2278,20.2709333333,16.488,19.8525333333,10.3061333333
654.39,11.2688666667,20.8381666667,18.3892666667,21.4786920261,19.4889,11.2015,21.2410666667,20.2913333334,16.5524666667,19.9184666667,10.3411333333
