wavelength,Back_SpoInaf,Belly_SpoInaf,Breast_SpoInaf,Crissum_SpoInaf,Crown_SpoInaf,DorTail_SpoInaf,Patch10_SpoInaf,Rump_SpoInaf,Throat_SpoInaf,WingTip_SpoInaf
827.51,33.5993916666,55.1926666666,45.5478333333,55.647,32.5068809524,25.973,33.3494166667,29.6848333333,39.7843333333,31.1338333334
827.82,33.452725,54.8598333333,44.905,54.9988333333,32.778,25.9473333333,33.2743333334,30.2075,39.6488333333,31.1495
828.12,32.7097,54.2475,43.5785,54.7156666667,32.3362380953,25.5966666667,32.49175,30.0668333333,38.8295,30.5685
828.42,32.2737583334,53.7476666667,43.4241666666,54.225,31.9366428571,25.3491666667,32.1754166667,29.7836666666,38.3028333333,30.6681666667
828.72,32.1017583333,53.4248333333,43.6818333333,54.525,31.9822380952,25.2348333333,31.97325,29.8466666667,38.2295,30.4278333334
829.02,32.0705416667,52.9308333333,43.382,54.619,31.9537619048,25.0945,31.9759166667,29.5515,37.993,30.2676666667
829.33,31.5559333334,52.4043333333,43.173,54.66,31.3573809523,24.2358333334,31.4635833334,28.9255,37.1921666666,29.8011666666
829.63,32.2415833333,52.916,43.688,55.8483333333,31.9392380953,24.5526666666,31.80075,29.6718333333,37.6405,30.4836666667
829.93,31.6045166666,52.8573333333,43.5531666667,56.0986666666,31.0650714285,24.0476666666,30.751,29.5055,38.0773333333,30.1651666667
830.23,32.267575,52.6271666666,43.5218333334,57.3606666667,31.3162380953,24.5488333334,30.5755833334,30.5055,39.7311666666,30.2245
830.54,31.80665,52.4143333334,43.2693333334,57.2865,31.0927619047,24.3376666667,30.6195833334,30.5768333333,38.312,29.872
830.84,32.768975,52.6783333333,43.956,58.173,32.1558095238,25.3206666666,31.0781666666,30.9523333333,39.7435,29.968
831.14,34.1666083333,54.042,44.9835,59.867,32.5997857143,26.5575,31.9425833334,30.6705,39.8003333333,30.8608333334
831.44,35.6125083334,55.6185,46.341,59.1833333333,33.5759285714,26.8883333333,33.7699166667,30.5478333333,40.628,31.2321666667
831.74,35.6766,55.107,46.1003333334,58.7511666667,33.0846904762,26.207,32.67175,29.5961666666,41.0396666666,30.4085
832.04,35.2468833333,55.1645,45.715,58.2318333333,32.2058571429,26.0486666666,31.8786666666,28.845,40.1895,30.9201666666
832.35,34.5637416667,55.2363333334,45.9983333333,58.0885,32.0956190476,26.0321666666,31.1194166666,28.7993333333,40.102,30.5446666667
832.65,34.7390666667,55.2568333333,46.2166666667,58.0446666667,32.6535476191,26.324,31.9793333333,29.55,38.9883333333,30.466
832.95,33.1076,54.6666666667,44.9258333333,56.3888333334,32.079547619,24.6851666666,30.9720833333,28.5741666667,38.6296666667,30.1111666666
833.25,33.33865,54.5263333333,44.8596666667,56.5788333333,32.351,24.7368333333,31.5264166667,29.2633333333,38.8595,29.8068333333
833.55,33.3240666666,55.1308333333,44.6656666666,56.592,32.1465238095,24.6346666667,31.4729166667,28.7798333333,38.345,29.6126666667
833.85,33.4324083334,55.4508333334,44.6813333333,56.4751666666,32.4366190476,24.5623333334,31.5080833334,29.2698333334,39.7588333333,30.1286666666
834.16,32.0284583334,54.8393333333,43.5858333333,56.1188333333,31.676547619,23.458,30.6430833334,28.5435,38.5336666666,30.2001666666
834.46,31.9486583334,54.179,43.4633333334,55.382,31.7513095238,23.3171666667,30.7965833334,28.9755,38.2115,30.1951666666
834.76,32.1836083333,53.8601666667,44.6486666667,56.6931666667,32.2705714285,23.7408333333,30.9973333333,29.9368333333,38.9,30.5501666667
835.06,31.5264,53.6291666667,44.5648333333,56.0885,31.9722857142,23.4608333334,30.8309166667,29.8076666667,38.9233333334,29.4116666666
835.36,30.7427833333,52.8173333333,44.091,55.7811666666,31.4854047619,22.5208333333,31.1285833334,29.1986666666,38.1816666667,28.1011666667
835.66,31.8390666666,53.4673333333,44.521,55.613,32.0691190476,22.9885,32.3755833334,30.1915,39.2911666666,29.6935
835.96,31.3186583333,53.5423333333,44.5331666666,55.7331666666,32.1635238096,23.0958333334,32.0436666666,30.5078333333,40.8063333333,30.2826666667
836.26,31.13065,53.1108333334,44.8,55.4041666666,32.0065952381,23.2971666667,31.98225,30.0183333334,41.1443333333,29.7226666666
836.57,30.424125,52.7356666667,44.934,54.5846666667,31.8355,22.2136666667,31.4843333334,28.9263333334,41.3626666667,30.1925
836.87,30.67225,51.5026666667,45.9206666667,53.3011666667,32.5435,22.732,32.7963333333,28.9048333333,41.17,30.515
837.17,30.01175,51.2521666666,45.8256666667,53.4585,32.2725952381,22.5698333333,32.6473333334,28.2946666667,40.4595,29.5766666666
837.47,32.445,53.3836666667,48.0575,53.8221666667,34.3312619048,25.4071666666,35.94925,31.2345,43.8285,30.3885
837.77,32.4047833334,53.6735,48.4355,54.1836666666,34.9902619047,25.3741666667,36.56475,31.1565,45.5781666666,29.9661666667
838.07,30.6177,53.4261666667,45.1821666667,51.9271666667,34.3631666667,23.4833333333,35.8315,30.1215,43.9328333333,27.552
838.37,32.0907583333,55.0516666667,45.3908333334,53.0605,35.4298809524,24.668,36.7625,31.5635,43.5471666666,29.9781666667
838.67,33.4406416667,55.2766666667,45.1966666667,52.9111666667,36.1926904762,25.473,36.1170833333,32.4963333333,43.8136666667,30.6403333334
