wavelength,Back_ThrGlaf,Belly_ThrGlaf,Breast_ThrGlaf,Crissum_ThrGlaf,Crown_ThrGlaf,DorTail_ThrGlaf,Patch10_ThrGlaf,Patch11_ThrGlaf,Rump_ThrGlaf,Throat_ThrGlaf,WingTip_ThrGlaf
347.81,12.7085,25.4825,23.3796666666,19.4919027777,8.0875,11.2706666667,21.7653333334,15.4538333334,16.7118333333,14.115,7.66141666666
348.18,12.6271666666,25.5376666667,23.5478333333,19.3819409722,8.07,11.4563333333,21.7005,15.3093333334,16.6481666666,14.1385,7.57991666666
348.54,12.826,25.7563333333,23.6911666666,19.5319386574,8.27,11.6121666666,21.8115,15.634,16.8251666666,14.1396666667,7.71308333333
348.91,13.3431666667,26.0710833333,24.3823333333,20.1520138889,8.95533333333,11.8746666667,22.2041666666,16.1591666667,17.3448333333,14.7941666666,8.23433333333
349.27,13.4473333333,26.3578333334,24.755,20.585724537,9.235,12.2111666667,22.5113333334,16.3296666666,17.6826666667,14.994,8.32433333333
349.64,13.7415,26.62325,25.143,20.641875,9.39616666667,12.4286666666,22.7626666666,16.4968333333,17.792,15.1033333333,8.50758333334
350.00,14.013,27.0450833334,25.426,20.880056713,9.49066666667,13.0453333333,23.0353333333,16.836,17.9466666667,15.4135,8.66325
350.37,14.2606666666,27.318,25.8196666667,21.0209710648,9.66866666667,13.2116666667,23.343,17.2176666667,18.1605,15.7721666667,8.79408333333
350.73,14.2845,27.485,25.9286666666,21.0905266204,9.79166666666,13.0978333333,23.6075,17.3411666667,18.2385,15.9921666667,8.896
351.10,14.3255,27.5215,26.0795,21.2595543982,9.88633333333,13.122,23.4343333334,17.227,18.2305,15.9933333333,8.87408333334
351.46,14.5371666667,27.73825,26.3711666667,21.5444861111,10.007,13.3628333334,23.6676666666,17.2455,18.5583333333,16.2431666667,8.90558333335
351.83,14.6768333334,27.9780833333,26.641,21.6840046297,10.1028333333,13.2991666666,23.8253333334,17.3598333334,18.849,16.3416666666,9.18275
352.19,14.9306666667,28.43175,26.7485,21.7440092593,10.1453333333,13.2453333334,24.1763333333,17.693,19.0446666667,16.443,9.36191666665
352.55,14.6815,28.0325833334,26.492,21.4871898148,9.73316666666,12.885,23.8686666667,17.1408333333,18.8491666666,16.1673333334,8.96716666665
352.92,14.4773333333,27.9871666667,26.2663333334,21.3221643518,9.34833333333,12.8066666666,23.6036666666,16.8801666666,18.626,15.779,8.687
353.28,14.4483333333,27.693,26.0496666667,21.0369849537,9.00516666666,12.5296666666,23.4038333334,16.9006666667,18.1908333333,15.7588333334,8.59208333334
353.65,14.5165,28.0254166667,26.2668333333,21.2671342593,9.086,12.5173333333,23.672,17.0258333334,18.4495,15.9731666667,8.62925
354.01,14.359,27.8955,26.1258333333,21.1149953704,8.893,12.18,23.6053333333,16.6506666666,18.4005,15.7278333334,8.48158333333
354.38,14.3116666667,27.7975,25.9956666666,20.9195092592,8.83133333333,12.2371666667,23.5065,16.5636666667,18.3063333333,15.6671666667,8.42833333334
354.74,14.6008333333,27.9639166667,26.286,21.1418668981,9.18283333333,12.4771666666,23.7063333333,16.9446666667,18.6281666666,15.8365,8.6885
355.11,14.5181666667,28.1075,26.1743333333,21.0548680555,9.03166666667,12.3285,23.837,17.0518333334,18.5658333333,15.7908333334,8.58808333333
355.47,14.54,28.3209166666,26.3085,21.0633587963,9.16633333334,12.3948333333,23.8796666667,17.2198333334,18.6498333333,15.9218333333,8.72208333334
355.83,14.6523333334,28.5420833333,26.5981666667,21.2011365741,9.427,12.5658333333,24.09,17.4596666667,18.7423333334,16.1223333333,8.74433333333
356.20,14.4781666667,28.1875,26.569,21.2006909722,9.29316666667,12.4238333334,23.8843333333,17.3753333333,18.6286666666,16.0575,8.50158333334
356.56,14.4811666667,28.45575,26.7836666667,21.3988587963,9.37216666667,12.5563333334,24.1108333334,17.568,18.741,16.249,8.56116666667
356.93,14.1635,28.5126666666,26.699,21.2043842592,9.26083333334,12.4733333333,23.9936666667,17.4963333333,18.669,16.1795,8.29033333334
357.29,14.2366666667,28.7925,26.8005,21.4018923612,9.36683333334,12.5873333333,24.1598333334,17.6066666666,18.9268333334,16.2731666666,8.49591666666
357.66,14.3018333333,28.7889166667,26.936,21.5161412037,9.41566666667,12.7943333333,24.2045,17.6508333334,18.9546666667,16.4533333334,8.47008333334
358.02,14.4485,28.9070833334,27.2491666667,21.7196655093,9.65183333333,12.9316666667,24.2808333333,17.8788333334,19.2056666666,16.6631666666,8.60991666667
358.38,14.732,29.1165,27.656,22.1935914351,9.97983333335,13.215,24.7186666667,18.1515,19.4746666667,17.0486666666,8.72
358.75,14.7621666666,29.2335833333,27.8808333333,22.3370995371,9.83616666668,13.275,24.8533333334,18.1533333333,19.5218333333,17.0686666666,8.6715
359.11,14.8131666666,29.3028333334,28.0945,22.5792384259,10.015,13.203,25.028,18.2141666667,19.6236666667,17.1978333333,8.77091666667
359.48,14.7696666667,29.3248333333,28.1625,22.6952025463,9.89233333333,13.1631666666,25.023,18.212,19.6255,17.0431666667,8.51233333334
359.84,14.631,29.2665,28.104,22.6122303241,9.75000000001,13.1665,24.9673333333,17.9433333333,19.5803333333,16.7768333333,8.30958333333
360.20,14.8026666666,29.5736666666,28.3945,22.6737916667,9.87799999999,13.3806666667,25.2066666667,18.2416666667,19.6666666667,16.9036666667,8.57041666667
360.57,14.8465,29.7000833334,28.531,22.7469525463,9.99666666665,13.4856666667,25.266,18.4251666667,19.7385,16.8933333334,8.6025
