wavelength,Back_ConSitm,Belly_ConSitm,Breast_ConSitm,Crissum_ConSitm,Crown_ConSitm,DorTail_ConSitm,Rump_ConSitm,Throat_ConSitm,WingTip_ConSitm
192.09,6.66666666666,-109.0,-124.0,94.6666666668,-173.333333333,-120.0,-33.6666666667,-138.333333333,-36.8333333333
192.47,43.3333999998,-98.5714000001,-133.809533333,201.904866667,-186.666666667,-124.285666667,-17.1427999999,-164.285666667,0.952399999986
192.85,111.515133333,26.3638000001,-16.0607333335,192.424133334,-44.8485333333,-1.81819999994,67.5759333335,-40.6061333333,71.3635333332
193.23,110.392066667,56.8628,33.5292666665,161.176666667,7.05886666674,39.0196666666,73.5294000001,6.07840000006,88.9216333335
193.61,100.952466667,56.3492666667,36.5079333333,132.380866667,16.1905333333,45.2380666667,70.9524,12.6984,88.0158333333
193.99,134.252933333,75.6321999997,36.7816000001,182.298866667,11.7240666666,47.5861333333,78.1610666667,4.5977333332,107.816
194.37,108.8888,66.1112,2.4999333334,195.555466667,-9.16653333314,36.9443999999,63.3333333332,-16.9444666667,110.9721
194.75,100.238133333,63.0951333333,13.3333333333,177.619,12.3809333333,40.9525333333,64.5237333334,2.85726666654,123.928633333
195.13,95.0792666666,69.6825333335,31.9047999999,147.142666667,29.6826,53.4920666667,58.4127333334,26.8255333332,104.285766667
195.51,118.115866667,99.2753999999,57.6812666667,163.0434,62.3188666667,80.2897999999,89.5652000001,55.942,126.0145
195.89,141.709466667,127.0086,69.9146666666,192.820466667,72.6495333333,94.0171333333,104.7862,64.7864,158.290633333
196.27,202.028933333,175.942,99.4202,298.5506,99.1303333335,129.275466667,149.2754,80.2898,238.9856
196.65,169.5652,142.608733333,57.6811999999,263.4782,59.7101333334,84.0579999999,106.956333333,58.2608,207.826
197.03,112.266666667,75.7333333333,15.7333333333,182.933333333,7.20000000014,25.0666666668,44.2666666668,10.9333333333,153.866666667
197.40,186.666533333,120.000000001,-51.1111999999,428.148133333,-94.0739333334,-37.7777999999,42.2222666666,-59.9999333339,316.296333333
197.78,358.8888,298.888866667,27.7778000006,832.222266667,-29.9999333338,74.4444666667,131.1112,28.8889333341,552.222033333
198.16,150.303,116.060533333,25.1514666665,272.1212,36.3636666666,61.5152,71.2122,46.6666,194.2425
