wavelength,Back_LoxNocf,Belly_LoxNocf,Breast_LoxNocf,Crissum_LoxNocf,Crown_LoxNocf,DorTail_LoxNocf,Rump_LoxNocf,Throat_LoxNocf,WingTip_LoxNocf
835.66,18.574,36.9681333333,31.3180666667,43.7156,20.2113333333,26.2033333333,20.3553333333,23.2029333333,27.5168666667
835.96,18.0650666667,36.5714,31.0927333333,43.629,19.2232,25.5388,19.6289333334,22.9674,26.8720666667
836.26,18.4722666666,36.5556666667,31.3777333333,43.9110666667,19.3777333334,25.4667333333,19.2945333334,22.9444,27.0944
836.57,18.0934,35.8855333333,31.0088,43.3148666667,18.4624,24.9446666667,18.7515333333,22.2448,26.0762666667
836.87,18.0849333333,35.6262666667,30.6958,43.2604666667,18.6878,24.7646,18.6946,22.717,26.2492
837.17,18.2816666667,35.5436,30.5454,43.2442,18.6167333333,25.1336666667,18.7022666667,23.1442666667,26.1746666667
837.47,17.7339333333,34.9786,29.9729333333,43.0112666667,18.1063333333,24.9282666667,17.6328,22.7318,26.1854
837.77,17.3721333334,34.4836,29.3451333333,42.9891333333,17.6154,24.8278666667,16.7506666667,22.2251333333,25.8692
838.07,18.4256666667,35.0132,29.5778666667,43.7819333333,18.3642,25.0746666667,17.4932666667,22.8758666667,26.5964
838.37,18.8980666667,35.6106666667,30.1562,45.1881333333,18.7604,25.8954,18.3288,23.3884,27.4656
838.67,18.7734,35.8052666667,29.9251333333,45.1218,18.0805333333,25.8054,17.8932666667,23.5205333333,27.1909333334
838.97,17.9502,34.7343333333,28.9515333333,44.0808666667,17.0569333333,25.0398666667,17.3014666667,22.0969333333,26.5726
839.27,19.9468,35.9520666667,30.2885333333,44.5006,19.2454,26.7376666667,19.3696,23.5419333333,27.9803333333
839.57,19.1544666667,35.5878666666,29.8017333333,43.8044,18.8112,26.4464,19.4187333333,22.9327333333,27.9345333333
839.87,20.0798,36.8882666666,31.1436666667,45.2748,19.6189333333,27.101,20.7358,24.0425333333,29.406
840.17,21.2549333333,38.3178,32.9685333333,45.9990666667,20.6408,28.2331333333,22.3408666667,25.2603333333,30.0400666667
840.47,21.8215333333,38.992,34.2394666667,46.7499333333,21.3591333333,28.4697333333,22.8939333333,25.6124666667,30.6982
840.77,21.5772,39.0032666667,34.6396666667,47.2956,21.0158666667,28.0503333333,22.9318,25.1476,30.7308
841.07,21.2041333333,38.6197333333,34.5862666667,46.9798666667,20.4503333333,28.0471333333,23.26,24.9142,30.2594666667
841.37,21.7632666667,39.6136,35.7207333333,47.3601333333,21.268,29.4996666667,24.5072,25.8741333334,31.1144
841.67,21.8949333333,39.6691333333,35.5489333333,46.6264666667,22.0852666667,29.3835333333,25.0026,26.1353333333,31.2581333333
841.97,21.1371333333,38.9566666667,35.1068,45.7486666667,21.8152666667,28.4821333333,24.862,24.9556666667,31.0798
842.27,21.9646,39.9228666667,35.9383333333,46.8323333333,22.5938666667,28.9736,25.6621333333,25.7174,31.6446
842.57,21.5616,40.156,36.2882666667,47.952,22.2704666667,28.9969333333,26.5704666667,25.4773333333,32.3844
842.87,21.7784666667,40.1243333333,36.0944666667,47.1642,21.8533333334,28.4577333333,26.3307333333,25.5598666667,31.393
843.17,22.2308666667,40.6226,36.1348666667,46.7963333333,22.2957333334,28.9365333333,26.4722,26.1348,31.4397333333
843.47,19.4177333333,37.9476,33.5080666667,45.6768,18.7190666667,26.2738,23.7992666667,23.3043333333,28.7046
