wavelength,Back_SicLuam,Belly_SicLuam,Breast_SicLuam,Crissum_SicLuam,Crown_SicLuam,DorTail_SicLuam,Patch10_SicLuam,Rump_SicLuam,Throat_SicLuam,WingTip_SicLuam
248.67,9.81659999999,9.16606666667,9.08940000001,7.78200909091,9.95126666667,14.5134,10.3252,8.78286666667,9.52153333333,10.5272
249.04,9.69526666667,8.99206666667,8.96853333333,7.65041818182,9.84060000001,14.1818,10.7947666667,8.55126666667,9.12560000001,10.0892
249.42,9.35579999999,9.11746666667,8.92773333333,7.62705151515,9.66693333334,13.9217333333,10.9992333333,8.71133333333,8.76966666667,9.9586
249.79,9.13513333333,8.74513333333,8.86066666666,7.66886060606,9.37653333333,13.6567333333,11.0751,8.545,8.31420000001,9.3304
250.17,8.65719999999,8.41813333333,8.40983333333,7.39563939394,8.83506666666,13.2609333333,10.517,8.22066666667,7.95390000001,9.41906666668
250.54,9.49026666666,9.06279999999,8.54423333333,8.24317272727,9.22666666667,13.5382666667,10.8934333333,8.81076666667,8.31870000001,9.79486666666
250.92,9.13106666667,8.97566666666,7.80586666667,8.3827,8.97579999999,13.1968,10.4501333333,8.6777,7.99193333334,9.29866666666
251.29,9.3814,9.14719999999,8.76963333333,8.42246363636,9.28379999999,13.2292,10.6216666667,9.27730000001,8.19003333333,9.69393333332
251.66,9.26626666666,8.97819999999,8.2781,8.22595151515,9.07866666667,13.1056,10.3951333333,9.2764,8.02346666666,9.45386666666
252.04,8.71886666666,8.54,7.23496666667,8.2166969697,8.43666666667,12.4862,9.53486666666,8.74656666667,7.34153333333,8.65706666668
252.41,8.25886666667,8.1032,6.65246666667,7.58565757576,7.97593333333,12.1797333333,8.7685,8.6199,6.8471,7.86286666667
252.79,8.41573333333,8.29400000001,6.98933333333,7.88113939394,8.3296,12.5520666667,8.8961,9.1684,7.42653333333,8.15053333333
253.16,8.55153333333,8.52213333334,7.3086,8.02186060606,8.41959999999,12.8345333333,8.20333333333,9.60026666668,8.04920000001,8.71286666668
253.54,9.00433333333,8.53986666666,7.5995,8.31186363636,8.58406666667,13.1638,8.0494,9.95933333333,8.59883333333,8.52513333332
253.91,7.79173333333,7.94379999999,6.8338,7.52335757576,7.7842,12.2083333333,7.14933333333,9.38799999999,8.4569,8.4378
254.28,8.15673333333,8.27960000001,7.25423333333,7.77260606061,8.18733333333,12.3578666667,7.46926666667,9.75803333332,9.01296666667,8.3564
254.66,7.45373333333,7.3736,7.00393333333,7.08718787879,7.81526666667,11.8954666667,7.05216666667,9.16469999999,8.75513333333,7.69466666666
255.03,7.83626666667,8.04520000001,7.83623333334,7.40971515151,8.3208,12.0886666667,7.5273,9.27326666666,8.98076666667,8.27093333332
