wavelength,Back_SpoLucf,Belly_SpoLucf,Breast_SpoLucf,Crissum_SpoLucf,Crown_SpoLucf,DorTail_SpoLucf,Patch10_SpoLucf,Rump_SpoLucf,Throat_SpoLucf,WingTip_SpoLucf
837.47,23.0505,62.7563333333,39.7058333333,46.9698333333,21.5686666667,24.7325833334,25.84675,25.468,37.823,22.4265
837.77,21.8735833333,61.4955,39.0631666666,45.9225,20.67275,23.7160833333,24.8808333333,24.6553333334,36.6144166667,21.6834166667
838.07,20.9693333334,60.1879166667,38.2543333333,44.60925,20.3510833334,23.2565,24.1346666667,24.1220833333,35.8678333333,20.9693333334
838.37,21.1341666666,60.7910833333,38.3255833334,45.1355833333,20.5580833334,23.2464166667,24.2703333333,24.2574166667,36.5206666667,21.5181666667
838.67,20.032,60.8440833333,37.4865,44.92525,19.4310833334,22.54275,22.89,23.09025,35.26975,20.04525
838.97,18.0601666667,59.72675,35.00275,43.2119166667,17.7704166667,20.3228333333,20.5298333333,21.2610833333,32.947,18.1429166667
839.27,16.3870833333,58.9486666667,33.4871666667,41.6248333333,16.2193333333,19.0715833333,19.1136666667,18.9038333333,30.7885833333,16.7784166667
839.57,16.6666666667,59.4576666667,33.71275,42.74875,16.203,19.0556666667,19.1399166667,18.5076666666,30.6915833333,16.9196666667
839.87,14.879,58.5639166667,32.6268333333,41.7530833333,14.8213333333,18.267,17.7625,17.1135,29.49825,15.5565833333
840.17,15.4864166666,58.2480833334,33.36175,41.4818333333,15.2161666667,18.5865833333,18.2735833334,17.4915833333,29.5790833333,15.95575
840.47,14.2856666667,57.7806666667,33.5175,41.34075,15.10775,18.72175,18.4665,16.8084166667,29.4499166667,16.2273333333
840.77,14.9341666667,57.8464166667,34.3641666667,42.1105833333,15.2778333333,19.0005833334,19.3013333333,17.21075,29.98275,16.7095833333
841.07,17.6666666667,59.8405833333,36.3913333333,44.3913333334,17.9710833333,21.5796666666,22.3623333334,19.42025,32.5651666667,19.6230833333
841.37,18.122,60.70775,36.9793333333,45.2665,18.2904166667,21.9975833333,22.44175,18.50475,33.0269166667,19.3934166667
841.67,19.5018333333,61.325,38.2831666667,46.1935,19.6115833333,23.68425,23.38675,19.2513333333,33.2080833334,19.7213333333
841.97,18.9595833333,59.7249166667,38.2195,45.61975,19.6395833333,23.4345,23.5135,18.7065,33.3018333333,19.90825
842.27,20.2171666667,59.6950833333,39.8508333333,46.4656666667,20.6549166667,24.8378333333,24.4811666667,19.17975,35.7165833334,21.2549166667
842.57,19.3494166667,57.2770833333,39.2858333333,45.6069166667,20.0538333333,23.6250833333,23.17225,18.9639166667,36.4186666667,20.4393333333
842.87,18.5951666667,56.4578333333,38.0925833333,44.8513333333,18.7543333333,23.2130833333,22.36375,17.9936666667,36.2525833334,19.9044166667
843.17,18.7993333333,55.37625,36.88175,44.03225,18.4408333333,23.13625,22.1685,17.1326666666,35.7348333333,19.8746666667
843.47,19.3694166667,55.518,36.9745,45.0264166667,18.58125,23.8738333333,22.8416666667,17.2484166667,36.3551666667,20.4015833334
843.77,19.964,56.8344166667,37.2501666667,44.7841666667,19.1246666667,24.0008333334,22.8218333333,18.5851666667,37.55,20.6036666667
844.07,19.7575833333,57.0175833333,37.1764166667,44.3399166667,19.5279166667,24.29,22.076,19.02675,37.36425,20.3633333333
844.37,17.132,53.3629166667,34.6025,41.2435833333,17.2165833334,21.8273333334,19.5643333333,17.25875,34.7504166667,17.7453333334
844.67,15.5445833333,51.351,32.9383333333,39.2145833333,16.0848333333,20.9269166667,18.8903333333,16.6459166667,32.9383333333,17.8511666667
