wavelength,Back_PooCinf,Belly_PooCinf,Breast_PooCinf,Crissum_PooCinf,Crown_PooCinf,DorTail_PooCinf,Patch10_PooCinf,Rump_PooCinf,Throat_PooCinf,WingTip_PooCinf
626.61,13.0531222222,52.3914,52.4566666667,48.2920666667,8.55119999999,7.94506666666,41.2252666667,16.6655555556,53.4387833333,9.02746666666
626.94,13.0748333333,52.3525,52.4633666667,48.2646,8.55846666667,7.9496,41.2023333333,16.6838,53.3974583333,9.03826666667
627.28,13.0653,52.3340333333,52.4783666667,48.2342666667,8.56793333333,7.94413333333,41.1753333333,16.692,53.3750916667,9.08253333334
627.61,13.0501777778,52.3007666667,52.4504,48.1948666666,8.56139999999,7.93299999999,41.1432,16.6737111111,53.3464,9.05840000001
627.94,13.0328555555,52.1811333333,52.3667666667,48.1236666667,8.55366666667,7.91653333333,41.0598666667,16.6244,53.2475666667,9.0222
628.27,13.0483222222,52.1994333333,52.4110666667,48.1638666667,8.55906666667,7.91473333334,41.0838,16.6409555556,53.2920416666,9.04453333333
628.61,13.0770555556,52.2210666666,52.4235333333,48.153,8.58520000001,7.931,41.106,16.6740666667,53.3139083333,9.0818
628.94,13.1092333333,52.2185333333,52.4016333333,48.1376666667,8.62333333334,7.96886666666,41.0980666667,16.684,53.3304416667,9.09566666667
629.27,13.1272666667,52.1988,52.3588,48.1226,8.627,8.0038,41.0721333333,16.6970888889,53.2996,9.1378
629.60,13.1400888889,52.2108333333,52.4041666667,48.1629333333,8.65906666667,8.02673333333,41.1106,16.7056444444,53.3469916667,9.14800000001
629.94,13.0674111111,52.0831333333,52.3162333333,48.0472,8.624,8.00566666667,41.0250666667,16.6604888889,53.3002333333,9.12153333334
630.27,13.1610666667,52.1390666667,52.3698,48.0941333333,8.7214,8.09306666667,41.1020666667,16.7243111111,53.3658,9.21073333334
