wavelength,Back_PipMelm,Belly_PipMelm,Breast_PipMelm,Crissum_PipMelm,Crown_PipMelm,DorTail_PipMelm,Patch10_PipMelm,Patch11_PipMelm,Rump_PipMelm,Throat_PipMelm,WingTip_PipMelm
842.87,2.33706666666,28.8768,30.3261333333,37.7174,10.0543333333,-4.51079999999,-1.99266666666,-5.61600000001,5.01806666666,37.0652666666,-0.416733333334
843.17,3.27473333333,28.4016,31.9104,39.3566,10.4484,-4.48346666667,-1.87139999999,-5.45806666667,4.50306666667,38.1482,-0.896733333326
843.47,2.51806666666,29.1228666667,31.7234,39.5872,10.6914,-5.49026666667,-2.24973333332,-6.91446666667,5.51086666666,38.741,-0.412799999998
843.77,5.0684,31.5667333333,34.5951333333,40.8832,12.1136666667,-1.82973333333,-0.231333333328,-4.35333333334,7.78139999999,41.2196666667,2.62873333333
844.07,7.93453333335,33.7013333333,37.0348,42.2698666667,15.0716,2.47446666667,2.904,-1.043,11.4723333333,41.6360666667,6.17579999999
844.37,10.3614666667,35.6023333333,38.2329333333,42.4095333333,18.5341333334,4.69873333333,6.16446666666,2.18880000001,14.6987333333,42.0281333333,8.55433333333
844.67,9.9798,33.9357333333,36.9477333333,40.2008666667,16.9277333333,3.71486666667,5.24106666667,0.78306666668,15.2209333333,41.5461333333,8.81513333333
844.97,8.72620000001,34.7982666667,37.4522,39.8513333333,17.8768666667,2.44166666667,3.09973333334,0.339666666672,13.9278666667,41.1675333333,9.40560000001
845.27,1.77446666667,32.3740666667,34.7002666667,38.0095333333,12.9256666667,-4.43646666667,-2.1342,-6.47473333333,9.16066666667,40.0719333333,4.94006666667
845.57,2.76020000001,33.6841333333,34.9708,36.8420666667,14.3393333333,-2.38593333333,-0.257266666658,-3.39180000002,10.9473333333,38.5731333333,7.57900000001
845.87,-4.987,28.1394666667,29.2765333333,31.1112,7.28673333332,-10.5942666667,-8.68213333333,-10.7235333333,5.06473333335,34.3152,0.981800000002
846.17,-8.58613333333,25.8364666667,27.0558,26.9779333333,2.77553333334,-12.3736,-12.0882,-13.9299333333,3.11293333333,31.4397333333,-2.56806666667
846.47,-9.27199999999,25.3895333333,24.6489333333,24.7254,2.04353333333,-12.1328,-12.3627333333,-13.8697333333,2.80973333333,29.1955333333,-1.66026666668
