wavelength,Back_TanVarf,Belly_TanVarf,Breast_TanVarf,Crissum_TanVarf,Crown_TanVarf,DorTail_TanVarf,Patch10_TanVarf,Patch11_TanVarf,Rump_TanVarf,Throat_TanVarf,WingTip_TanVarf
398.92,10.3043333333,25.1147777778,17.6708888889,24.1633333333,7.87811111111,9.89355555554,8.7048888889,10.5222222222,9.87966666666,19.7497777778,7.91433333333
399.28,10.2848888889,25.0037777778,17.5296666666,24.0838888889,7.836,9.92477777778,8.69244444443,10.4965,9.84855555558,19.6435555556,7.91905555556
399.64,10.2446666667,24.8517777778,17.3884444445,23.9516666667,7.74422222222,9.876,8.62044444445,10.4220555555,9.78144444447,19.5014444444,7.94488888889
400.00,10.183,24.6885555556,17.258,23.7793333334,7.66166666667,9.84855555557,8.57411111111,10.3593888889,9.71611111111,19.3898888889,7.92133333333
400.36,10.1842222222,24.598,17.1554444444,23.7106666667,7.62288888889,9.87399999999,8.58355555556,10.388,9.70533333336,19.3096666667,7.9405
400.72,10.1883333333,24.5143333333,17.0597777778,23.6604444445,7.62733333333,9.88588888889,8.62133333333,10.4237777778,9.69155555556,19.2383333333,7.97372222222
401.08,10.2124444444,24.4671111111,17.0138888889,23.6153333333,7.64655555555,9.92444444445,8.67477777777,10.4503333333,9.7217777778,19.2252222222,8.03961111111
401.44,10.2235555556,24.3606666666,16.9431111111,23.5415555556,7.61866666667,9.91733333333,8.67055555557,10.4472777778,9.729,19.1166666667,8.07505555556
401.80,10.2602222222,24.297,16.8922222222,23.5321111111,7.62955555555,9.95866666665,8.69866666667,10.5001111111,9.77666666669,19.1031111111,8.15927777778
402.16,10.253,24.2533333333,16.8068888889,23.5078888889,7.64844444445,9.97644444445,8.71899999999,10.4943888889,9.80544444443,19.0565555555,8.198
402.52,10.2436666667,24.18,16.7536666666,23.42,7.61933333333,9.98333333333,8.73733333333,10.4905,9.82244444444,19.0088888889,8.18816666667
402.88,10.267,24.1613333333,16.728,23.3923333333,7.62466666667,10.01,8.79,10.5199444445,9.8411111111,18.9856666667,8.23322222222
403.24,10.2108888889,24.017,16.5865555555,23.2448888889,7.54355555555,9.96977777777,8.73722222223,10.4788333333,9.78655555556,18.8763333333,8.23338888889
403.60,10.2125555556,23.948,16.5455555555,23.228,7.53888888889,10.0181111111,8.80166666667,10.5006666667,9.78455555554,18.8664444444,8.22705555556
403.95,10.1738888889,23.8771111111,16.4254444444,23.1662222222,7.48222222222,9.97166666665,8.75188888889,10.4532777778,9.70933333333,18.7982222222,8.22777777778
404.31,10.1131111111,23.8007777778,16.3491111111,23.0715555556,7.44055555555,9.91388888889,8.69677777777,10.3763888889,9.66633333333,18.7225555555,8.21216666667
404.67,10.0657777778,23.7242222222,16.2587777778,22.9992222222,7.37322222222,9.85211111111,8.63177777778,10.3076666667,9.60499999998,18.661,8.19111111111
405.03,10.0055555555,23.655,16.1595555555,22.9265555556,7.32511111111,9.82733333335,8.59611111111,10.2306111111,9.52488888888,18.5924444445,8.14488888889
405.39,9.92933333333,23.5495555556,16.0625555556,22.8235555556,7.26255555556,9.78244444443,8.53566666667,10.1617222222,9.43499999999,18.5284444444,8.0945
405.75,9.85977777777,23.458,15.9236666667,22.7056666667,7.18811111111,9.71711111111,8.46911111111,10.0581666667,9.34511111111,18.3853333333,8.01088888889
406.11,9.84822222223,23.3757777778,15.8411111111,22.6402222222,7.153,9.71211111111,8.44666666665,10.0671666667,9.30311111112,18.3088888889,8.01155555555
406.47,9.90533333334,23.3883333333,15.8361111111,22.6493333333,7.19211111111,9.7608888889,8.49422222223,10.0896666667,9.30922222221,18.3412222222,8.07672222222
406.83,9.83011111111,23.2781111111,15.738,22.5213333333,7.13266666667,9.69555555557,8.42700000001,10.0042777778,9.23511111112,18.2606666667,8.03183333333
407.19,9.80199999999,23.2641111111,15.6856666667,22.4721111111,7.10777777778,9.65233333332,8.38100000001,9.96155555554,9.191,18.2277777778,8.01005555556
407.55,9.78855555555,23.2283333333,15.6108888889,22.4042222222,7.09177777778,9.63100000001,8.34577777779,9.9596111111,9.17455555556,18.1955555556,8.02672222222
407.90,9.74766666668,23.1636666667,15.5717777778,22.3654444444,7.04944444444,9.60722222221,8.33833333333,9.93677777777,9.15633333332,18.1331111111,7.99861111111
408.26,9.71133333334,23.0491111111,15.437,22.2936666667,6.99255555556,9.58844444443,8.3338888889,9.89944444444,9.08100000001,18.0637777778,7.96194444445
408.62,9.68411111112,22.9888888889,15.386,22.2388888889,6.96388888889,9.60855555555,8.31599999999,9.89555555556,9.0751111111,18.0144444444,7.93505555555
408.98,9.64677777779,22.8832222222,15.2981111111,22.158,6.89077777778,9.56444444446,8.28011111111,9.86733333334,9.05100000001,17.9367777778,7.92027777778
409.34,9.63277777779,22.8531111111,15.2472222222,22.1194444444,6.84355555555,9.55633333332,8.27811111111,9.84727777779,9.01955555557,17.8788888889,7.91644444444
409.70,9.611,22.8051111111,15.2271111111,22.0745555556,6.795,9.55299999999,8.32355555554,9.85288888889,9.01566666668,17.9034444445,7.95983333333
410.06,9.58866666668,22.7196666667,15.1923333333,21.9538888889,6.74188888889,9.53833333334,8.28500000001,9.80094444444,8.9958888889,17.8697777778,7.94972222222
410.42,9.51533333332,22.6278888889,15.0921111111,21.8838888889,6.68311111111,9.4801111111,8.24211111111,9.75561111112,8.94888888888,17.7851111111,7.92733333333
410.77,9.54244444445,22.6265555556,15.0905555556,21.8796666667,6.69144444445,9.49677777777,8.28722222222,9.77366666666,8.98200000001,17.792,7.96311111111
411.13,9.51577777777,22.5737777778,15.0327777778,21.8375555555,6.66166666667,9.48066666666,8.28377777778,9.76977777779,8.96199999999,17.739,7.96266666667
411.49,9.50977777779,22.5054444445,14.9858888889,21.7772222222,6.61077777778,9.4501111111,8.27055555554,9.71688888889,8.95788888889,17.6798888889,7.97538888889
411.85,9.47644444446,22.4377777778,14.897,21.6936666667,6.57355555556,9.41555555554,8.25700000001,9.68172222222,8.91688888888,17.616,7.98722222222
412.21,9.48800000001,22.4072222222,14.9057777778,21.6185555555,6.58955555556,9.39966666668,8.27188888888,9.68727777778,8.94377777779,17.5714444445,8.02972222222
412.57,9.44911111112,22.302,14.8612222222,21.5201111111,6.55588888889,9.36122222223,8.25766666667,9.63388888889,8.91522222221,17.505,8.04755555555
412.92,9.47488888888,22.2957777778,14.8338888889,21.4912222222,6.58166666666,9.39066666665,8.29577777778,9.66577777778,8.92455555554,17.4785555555,8.11061111111
413.28,9.39444444443,22.1932222222,14.6961111111,21.3715555556,6.49866666667,9.30366666668,8.23799999999,9.598,8.85655555556,17.3368888889,8.08244444444
413.64,9.37833333334,22.129,14.636,21.3187777778,6.50444444445,9.29766666667,8.2131111111,9.57177777778,8.8591111111,17.2542222222,8.06488888889
414.00,9.33755555557,22.0707777778,14.5446666667,21.3064444445,6.48088888889,9.25233333334,8.25144444443,9.52944444444,8.83299999999,17.171,8.04611111111
414.36,9.28344444443,21.964,14.4133333333,21.2074444445,6.37911111111,9.21155555557,8.17744444446,9.45627777778,8.77777777777,17.0643333333,7.98994444444
414.72,9.20688888888,21.809,14.2441111111,21.0791111111,6.30544444444,9.1558888889,8.10522222221,9.39272222222,8.70344444445,16.9214444444,7.95505555556
