wavelength,Back_TanFucf,Belly_TanFucf,Breast_TanFucf,Crissum_TanFucf,Crown_TanFucf,DorTail_TanFucf,Patch10_TanFucf,Patch11_TanFucf,Patch12_TanFucf,Patch13_TanFucf,Rump_TanFucf,Throat_TanFucf,WingTip_TanFucf
808.05,17.8963333333,49.2495555556,18.6782222222,48.4423333333,23.8616666667,18.4498205128,12.0822222222,18.3,18.2115555556,23.8238888889,24.3914444444,15.3741111111,15.21
808.35,16.4337777778,48.459,17.1457777778,47.5135555556,22.0667777778,17.3227948718,10.4506666667,16.7574444444,17.1198888889,22.6106666667,22.8826666666,14.0635555556,13.7658888889
808.66,14.73,47.755,15.9764444445,47.4468888889,20.3724444444,15.7770213675,9.10066666667,15.8692222222,16.1506666667,21.9676666667,21.5924444444,13.1884444445,12.304
808.97,14.4177777778,46.9075555556,15.3682222222,47.2691111111,19.7992222222,15.4422008547,8.87555555555,15.7696666667,16.2916666667,20.9906666667,21.8874444444,12.5971111111,11.3656666667
809.27,14.0685555555,47.0702222222,14.331,47.7473333333,19.4028888889,14.7265,8.73422222222,15.2572222222,15.9895555556,20.1215555556,21.9736666667,12.0096666667,11.2493333333
809.58,13.9742222222,45.835,14.424,47.253,19.2228888889,15.1406837607,9.22966666665,15.7464444444,16.1281111111,20.3953333333,22.3858888889,12.9787777778,12.229
809.88,14.02,45.7953333333,13.9096666667,47.4633333334,19.0654444444,14.9217521368,8.90544444443,15.0536666667,16.1565555556,20.0854444444,22.236,13.3305555555,12.2002222222
810.19,14.9633333334,46.4188888889,14.4067777778,47.5315555556,19.6356666666,15.0278504273,9.49788888888,15.4637777778,16.8266666666,20.5117777778,22.9174444445,14.0593333333,13.378
810.49,14.1325555555,45.8368888889,13.868,46.5328888889,19.2983333334,14.274508547,8.79988888889,15.1072222222,16.1793333333,20.1615555555,22.3336666667,14.1884444444,12.7958888889
810.80,14.2108888889,46.3836666666,13.2624444444,46.7092222222,19.6604444444,13.8918589744,8.535,15.7254444444,16.065,19.8018888889,23.0432222222,14.0126666666,13.5598888889
811.10,14.1572222222,46.2318888889,13.156,47.047,20.1058888889,13.8071196581,8.56577777777,15.4868888889,15.6872222222,19.305,23.0658888889,14.0141111111,13.9283333334
811.41,15.4868888889,46.6608888889,14.2714444444,48.377,21.4214444444,14.3000769231,9.40944444446,15.9444444444,16.059,20.4491111111,24.024,14.5575555556,15.2582222222
811.71,16.5013333333,47.0031111111,15.4807777778,49.2022222222,22.8691111111,15.0218974359,10.1625555556,16.9901111111,16.5874444444,21.2447777778,25.399,15.6102222222,16.5586666667
812.02,17.5582222222,46.7552222222,16.0891111111,49.4652222222,24.1763333333,15.6395641026,10.6546666667,17.4154444444,16.1175555556,21.452,25.8023333333,16.403,17.1586666667
812.32,18.1302222222,47.0657777778,16.7612222222,50.6477777778,25.0473333333,16.1396410256,10.8344444445,17.4311111111,16.1787777778,22.1493333333,25.6734444444,16.834,18.0283333333
812.63,18.4136666667,46.8212222222,18.0125555556,50.2864444444,25.5583333334,16.4728760684,11.7124444444,17.712,16.5235555556,23.0956666667,25.8018888889,17.2393333333,18.6855555555
812.93,18.4655555556,48.1145555556,18.5955555556,50.513,25.6754444444,17.0474444444,11.8334444444,17.6131111111,16.5726666666,23.7537777778,26.0367777778,17.2084444444,19.2024444444
813.24,19.3655555555,48.7796666667,19.8391111111,50.5884444445,26.3711111111,18.193542735,13.0778888889,18.906,16.9968888889,25.0503333333,26.6866666667,17.9442222222,20.5857777778
813.54,19.5625555556,48.9634444444,20.5491111111,50.7935555556,26.3977777778,18.985974359,13.7708888889,19.5483333333,17.2457777778,25.8543333333,27.1128888889,18.3754444445,20.6636666667
813.85,20.3962222222,48.9738888889,21.472,51.1821111111,26.766,19.544491453,14.5647777778,19.8867777778,17.9051111111,26.2558888889,27.4311111111,17.9334444444,21.2173333333
814.15,20.6765555555,48.5101111111,22.0968888889,50.919,26.4966666667,19.7519188034,15.163,19.5905555555,17.6412222222,25.9397777778,27.2486666667,18.1147777778,20.9691111111
814.46,20.5273333333,48.4625555556,22.6593333333,50.9225555555,27.1283333333,20.1830470085,16.0036666667,19.639,17.999,26.3766666667,27.5793333333,18.737,21.607
814.76,20.3041111111,48.7191111111,23.4414444444,50.9111111111,27.2366666667,20.7930769231,16.6324444444,20.0988888889,18.071,26.7843333333,27.4968888889,18.9751111111,21.7425555556
815.07,20.6867777778,48.8755555556,23.6903333333,50.2895555555,27.3132222222,21.349440171,17.5218888889,20.7677777778,18.4781111111,27.1245555555,27.4073333333,19.1783333333,21.7104444444
815.37,20.1908888889,48.4263333333,22.8543333333,49.3947777778,26.7421111111,21.0135,17.3794444444,20.3658888889,18.5364444445,26.8361111111,27.1724444445,18.4154444444,21.3747777778
815.68,19.9363333333,48.352,22.2753333333,48.3255555556,26.648,20.6928974359,17.2647777778,20.0025555556,18.009,26.8874444444,26.7013333333,18.2881111111,21.3316666667
815.98,19.7621111111,48.5402222222,21.8978888889,48.0806666667,26.345,20.545025641,16.4506666667,19.5594444445,17.8426666667,26.4395555556,26.4801111111,17.7076666666,20.7353333333
816.29,19.9281111111,48.176,21.7247777778,48.3416666667,26.7136666667,19.6874273504,16.1692222222,19.3892222222,17.6341111111,26.0641111111,26.0364444444,16.7496666667,20.1767777778
816.59,18.251,47.4158888889,20.5042222222,47.5706666667,25.2922222222,17.6589444445,14.2938888889,17.6876666667,16.2091111111,24.757,24.5741111111,14.7301111111,18.2368888889
816.89,18.5553333333,47.5854444444,20.7138888889,47.8066666667,26.0274444444,17.6682948718,13.8922222222,17.6835555556,16.632,24.4914444445,24.3393333333,14.4183333333,18.4446666667
817.20,19.2228888889,48.3845555556,20.7498888889,48.5208888889,26.3803333333,18.0588547009,13.7967777778,18.2548888889,17.3961111111,24.7715555555,24.9351111111,15.2145555556,18.7048888889
817.50,19.6172222222,48.1393333333,20.9197777778,48.5911111111,26.9136666667,18.4358803419,13.583,18.8994444444,18.7401111111,25.452,25.4652222222,15.7496666667,19.5373333333
817.81,20.8774444444,49.3014444444,21.8305555556,49.7193333333,27.5492222222,19.3432905983,14.1925555556,19.9895555555,20.2637777778,27.0791111111,26.5701111111,16.2685555555,20.081
818.11,21.245,49.881,21.4832222222,50.2692222222,28.0471111111,19.8387564102,14.656,20.2806666667,20.9696666667,27.3832222222,27.145,16.7606666667,20.6438888889
818.41,20.7047777778,50.1834444444,20.9251111111,50.9175555555,27.6064444444,18.7271324786,13.7298888889,19.4443333333,20.3376666667,26.6153333333,26.7377777778,16.2627777778,19.9092222222
818.72,20.1124444445,50.0468888889,20.7688888889,51.1134444445,27.3323333333,18.4405641026,13.1386666667,19.3622222222,20.4057777778,26.2657777778,26.4063333333,16.2915555555,19.5145555555
819.02,19.803,50.3557777778,20.6131111111,51.0564444444,26.8638888889,18.4480299145,12.6984444444,19.5404444444,20.1532222222,26.0536666667,26.6338888889,15.8948888889,18.9928888889
819.33,19.3758888889,49.824,20.5203333334,50.7141111111,26.5551111111,18.5654401709,12.6761111111,19.6203333333,19.6106666667,25.6652222222,26.4475555556,16.2068888889,18.5544444444
819.63,19.2812222222,49.2207777778,20.2782222222,50.5698888889,26.4454444444,18.9448461538,12.8958888889,19.4653333333,19.2223333333,25.4064444444,26.2528888889,16.6751111111,18.6442222222
819.93,19.2821111111,48.305,20.0153333334,50.0967777778,26.3317777778,19.1453547008,13.1313333333,19.5101111111,19.0466666666,25.0104444444,26.1864444445,16.9158888889,18.5208888889
820.24,18.7005555555,47.9601111111,19.4037777778,49.6628888889,25.8194444444,18.8114145299,13.1218888889,18.9506666667,18.4274444444,24.6805555555,26.017,16.8465555555,18.195
820.54,17.8906666667,47.4857777778,19.1514444444,49.2374444444,25.2145555556,18.4262905983,12.872,18.4105555556,17.8462222222,24.1157777778,25.3912222222,16.2864444444,17.7731111111
