wavelength,Back_OryNutm,Belly_OryNutm,Breast_OryNutm,Crissum_OryNutm,Crown_OryNutm,DorTail_OryNutm,Rump_OryNutm,Throat_OryNutm,WingTip_OryNutm
674.69,6.82953333333,6.28373333333,6.7419,7.86926666667,7.31666666667,9.33006666667,6.6408,6.9922,10.8114666667
675.02,6.8892,6.28236666667,6.89896666667,7.95233333333,7.45162222222,9.37466666667,6.678,7.00466666667,10.8998
675.35,6.88086666667,6.22536666667,6.88533333333,7.92306666667,7.39946666667,9.36623333333,6.68526666667,7.025,10.8515333333
675.67,6.84093333333,6.12823333333,6.96163333333,7.81766666667,7.39824444444,9.37863333333,6.66036666666,7.05146666667,10.8844
676.00,6.84906666667,6.03186666667,6.91963333333,7.74146666667,7.40177777778,9.38583333333,6.64776666667,7.0296,10.8652666666
676.32,7.03553333333,6.20886666667,7.17056666667,7.94706666667,7.57495555555,9.5775,6.8256,7.18293333333,11.0827333333
676.65,6.99806666667,6.14723333333,7.18653333333,8.00833333333,7.58973333333,9.6529,6.79726666667,7.14493333333,11.0802
676.97,7.03746666667,6.2283,7.31853333333,8.0974,7.69591111111,9.70903333333,6.89403333333,7.27393333333,11.185
677.30,7.1228,6.18916666667,7.42313333333,8.1436,7.76942222222,9.7496,6.98153333333,7.32713333333,11.2919333333
677.63,7.322,6.29176666667,7.5454,8.25513333333,7.97753333333,9.90663333333,7.14343333333,7.45693333333,11.5016
677.95,7.26673333333,6.29606666667,7.4914,8.20873333333,7.96635555556,9.8748,7.10343333333,7.46,11.5150666667
678.28,7.2406,6.2804,7.43443333333,8.17893333333,7.85308888889,9.80753333334,7.06076666667,7.42326666667,11.4735333333
678.60,7.16093333333,6.2085,7.35033333333,8.1164,7.76611111111,9.72403333333,7.01426666667,7.4706,11.4086
678.93,7.01273333333,6.05143333333,7.19903333333,7.91573333333,7.62557777778,9.5144,6.81646666667,7.3346,11.326
679.25,6.99993333333,6.14836666667,7.1627,7.94973333333,7.62186666667,9.4816,6.79826666667,7.30766666667,11.2958666667
679.58,7.12646666667,6.34903333333,7.31116666667,8.0806,7.76562222222,9.576,6.94483333333,7.51233333333,11.4518
679.90,6.9424,6.1885,7.08103333333,7.9042,7.54233333333,9.4214,6.7501,7.35246666666,11.2408666667
680.23,6.93666666667,6.17803333333,7.03033333333,7.80746666667,7.48217777778,9.36293333333,6.67503333333,7.35266666667,11.245
680.55,6.935,6.14773333333,7.00596666667,7.79853333333,7.49251111111,9.3407,6.6498,7.30733333333,11.2722666666
680.88,6.79166666667,6.0446,6.8306,7.67246666667,7.39431111111,9.19536666667,6.4878,7.18393333333,11.1214666667
681.20,6.50306666667,5.865,6.60433333333,7.43293333333,7.134,8.96073333333,6.23443333333,6.9876,10.8725333334
681.53,6.4072,5.8187,6.55936666667,7.39166666667,7.06124444444,8.88146666667,6.20753333333,6.90893333333,10.8134
681.85,6.6684,6.08106666667,6.80276666667,7.5988,7.31648888889,9.14616666667,6.45186666667,7.07013333333,11.1041333333
682.18,6.72806666667,6.2217,6.91036666667,7.65813333333,7.40024444444,9.2366,6.54476666667,7.064,11.1569333333
682.50,6.93933333333,6.38806666667,7.0907,7.88333333333,7.54293333333,9.4587,6.74776666667,7.2076,11.3075333333
682.83,7.05706666667,6.46776666667,7.19786666667,8.02693333333,7.68571111111,9.64193333333,6.8544,7.29793333333,11.3741333333
683.15,6.7546,6.11593333333,6.9542,7.81066666667,7.43177777778,9.40616666667,6.5754,6.977,11.0682
683.48,6.66773333333,6.04816666667,6.9414,7.695,7.34446666667,9.33223333333,6.47603333333,6.9274,10.982
683.80,6.79026666667,6.15083333333,7.1531,7.82773333333,7.48726666667,9.5165,6.6647,7.07446666667,11.0651333333
684.13,6.66773333333,6.07036666667,7.02203333333,7.6582,7.31293333333,9.43263333333,6.57393333333,6.9474,10.8735333333
684.45,6.70406666667,6.15993333333,7.0855,7.6672,7.37348888889,9.5614,6.63446666667,6.99913333333,10.9601333333
684.78,6.767,6.21496666667,7.15593333333,7.73806666667,7.45786666667,9.66093333333,6.6831,7.0652,10.9987333333
685.10,6.75746666667,6.19816666667,7.1725,7.67326666667,7.43166666667,9.68356666667,6.65943333333,7.04446666667,10.9909333333
685.43,6.58433333333,6.05093333333,7.0305,7.56633333333,7.3392,9.55626666667,6.52736666667,6.9826,10.8100666667
